,who,sacked,newton,with,11,seconds,left,in,the,first,half,?
but,0.4487357437610626,0.26797935366630554,0.2325286716222763,0.4495173394680023,0.09181738644838333,0.25348636507987976,0.26543357968330383,0.48674455285072327,0.4859698414802551,0.34309494495391846,0.27247828245162964,0.27921953797340393
with,0.3282766342163086,0.15382704138755798,0.1584642082452774,0.9999999403953552,-0.04597003385424614,0.2122124582529068,0.219827800989151,0.4080928862094879,0.4223487675189972,0.2691199779510498,0.2849871516227722,0.2433311939239502
11,0.11859084665775299,-0.017497261986136436,-0.07622427493333817,-0.04597003385424614,1.0000001192092896,-0.026930980384349823,-0.08154259622097015,0.03469983860850334,-0.0219515822827816,0.010843289084732533,-0.0578436441719532,-0.04295448586344719
seconds,0.16846957802772522,0.13567239046096802,0.2576914131641388,0.2122124582529068,-0.026930980384349823,0.9999998807907104,0.19058671593666077,0.15088556706905365,0.1997634470462799,0.30911749601364136,0.2934293746948242,0.20335537195205688
left,0.24052289128303528,0.23188671469688416,0.03717528656125069,0.219827800989151,-0.08154259622097015,0.19058671593666077,1.0,0.21139952540397644,0.33113980293273926,0.20286494493484497,0.1788269281387329,0.13251960277557373
",",0.3365725874900818,0.2514380216598511,0.2648763358592987,0.4120737314224243,0.049171943217515945,0.2238321751356125,0.2448868453502655,0.5201468467712402,0.4933079481124878,0.34503069519996643,0.26690807938575745,0.31091248989105225
newton,0.19243690371513367,0.1704728752374649,1.0000001192092896,0.1584642082452774,-0.07622427493333817,0.2576914131641388,0.03717528656125069,0.23639483749866486,0.1876603662967682,0.2017267495393753,0.11401809751987457,0.09645649790763855
was,0.3318818509578705,0.32993462681770325,0.25264593958854675,0.27411898970603943,0.08354385942220688,0.1993371546268463,0.21956826746463776,0.45514053106307983,0.48711544275283813,0.5022147297859192,0.21022500097751617,0.18412111699581146
sacked,0.21875178813934326,1.0000001192092896,0.1704728752374649,0.15382704138755798,-0.017497261986136436,0.13567239046096802,0.23188671469688416,0.2192855328321457,0.23815631866455078,0.16517746448516846,0.14904317259788513,0.07766196876764297
by,0.39727845788002014,0.21727506816387177,0.19122301042079926,0.39731505513191223,0.06314127892255783,0.2159029096364975,0.2067900449037552,0.370934396982193,0.4408751428127289,0.3877052962779999,0.22449548542499542,0.17966607213020325
demarcus,0.3140353262424469,0.2664787769317627,0.2614399194717407,0.2439263015985489,-0.02458834834396839,0.1806168109178543,0.14324861764907837,0.22156311571598053,0.23321470618247986,0.24397456645965576,0.12953998148441315,0.20002961158752441
ware,0.1765473484992981,0.1892334520816803,0.22452892363071442,0.1641360968351364,-0.0074523151852190495,0.053452905267477036,0.11024657636880875,0.16143673658370972,0.14636042714118958,0.16772674024105072,0.07027461379766464,0.07426849752664566
as,0.3923053741455078,0.1766921728849411,0.18695951998233795,0.40387406945228577,0.057463642209768295,0.11847973614931107,0.24601076543331146,0.3887844979763031,0.48381632566452026,0.33842000365257263,0.23334455490112305,0.27043893933296204
time,0.36634087562561035,0.25194674730300903,0.24373620748519897,0.31862112879753113,0.0010674382792785764,0.39999985694885254,0.18303614854812622,0.3431483507156372,0.43061500787734985,0.4013477563858032,0.2958219349384308,0.27391523122787476
expired,0.18601444363594055,0.31355100870132446,0.04998011142015457,0.24975842237472534,-0.029818575829267502,0.31583499908447266,0.24479429423809052,0.16136841475963593,0.26217955350875854,0.26324257254600525,0.178346648812294,0.22768248617649078
in,0.2792111933231354,0.2192855328321457,0.23639483749866486,0.4080928862094879,0.03469983860850334,0.15088556706905365,0.21139952540397644,1.0,0.6662389636039734,0.4127444326877594,0.25644969940185547,0.20430970191955566
the,0.3733934462070465,0.23815631866455078,0.1876603662967682,0.4223487675189972,-0.0219515822827816,0.1997634470462799,0.33113980293273926,0.6662389636039734,1.0,0.49448907375335693,0.3189295828342438,0.22068053483963013
half,0.2674400806427002,0.14904317259788513,0.11401809751987457,0.2849871516227722,-0.0578436441719532,0.2934293746948242,0.1788269281387329,0.25644969940185547,0.3189295828342438,0.286257803440094,1.0000001192092896,0.07471233606338501
.,0.3541337847709656,0.19507746398448944,0.20699870586395264,0.4446153938770294,0.020607711747288704,0.21767209470272064,0.28830423951148987,0.5591574311256409,0.5934505462646484,0.4345304071903229,0.2995082437992096,0.4130953550338745
