,what,british,general,negotiated,at,montreal,?
in,0.30808621644973755,0.23084034025669098,0.259066641330719,0.2906990051269531,0.4374977946281433,0.18092122673988342,0.20430970191955566
september,0.2153792530298233,0.23420247435569763,0.24167464673519135,0.2643998861312866,0.28713759779930115,0.21035273373126984,0.2665146589279175
1760,0.10068996995687485,0.025434056296944618,0.11014151573181152,0.13085144758224487,0.08847644925117493,0.1363859623670578,0.12722811102867126
",",0.3087472915649414,0.25734075903892517,0.3022127151489258,0.20660267770290375,0.38314947485923767,0.24191880226135254,0.31091248989105225
and,0.31309178471565247,0.325880765914917,0.25860127806663513,0.23920446634292603,0.3571503460407257,0.1864165961742401,0.20544172823429108
before,0.3801657259464264,0.13159668445587158,0.1992262303829193,0.2614395022392273,0.36107107996940613,0.20390182733535767,0.2507109045982361
any,0.43670421838760376,0.15945293009281158,0.18700112402439117,0.20737306773662567,0.2206675112247467,0.13606347143650055,0.4113408327102661
hostilities,0.21486833691596985,0.23159918189048767,0.26813483238220215,0.48163408041000366,0.20977173745632172,0.14588308334350586,0.14715032279491425
erupted,0.14322622120380402,0.1683577299118042,0.04564133286476135,0.17762470245361328,0.1907084435224533,0.15543042123317719,0.11324462294578552
",",0.3087472915649414,0.25734075903892517,0.3022127151489258,0.20660267770290375,0.38314947485923767,0.24191880226135254,0.31091248989105225
governor,0.21184112131595612,0.2543089985847473,0.4081312417984009,0.22963948547840118,0.19360993802547455,0.1756344884634018,0.135940283536911
vaudreuil,0.16990774869918823,0.25237029790878296,0.1705619841814041,0.1784018725156784,0.21161621809005737,0.40791055560112,0.19054962694644928
negotiated,0.10894132405519485,0.2704387307167053,0.19438262283802032,1.0,0.2099427580833435,0.1571321040391922,0.09223373234272003
from,0.2737620174884796,0.21991202235221863,0.1645994782447815,0.15403197705745697,0.3447161316871643,0.1743229627609253,0.19969791173934937
montreal,0.1556982845067978,0.3027436137199402,0.12068101763725281,0.1571321040391922,0.26404693722724915,1.0,0.13639995455741882
a,0.3320399522781372,0.1984395682811737,0.2157215178012848,0.22143876552581787,0.3095070421695709,0.1820511817932129,0.23916715383529663
capitulation,0.31746381521224976,0.16989342868328094,0.23508211970329285,0.307822585105896,0.19841571152210236,0.16126319766044617,0.20604896545410156
with,0.2464839518070221,0.1637800633907318,0.1510423719882965,0.30734148621559143,0.29126521944999695,0.22356709837913513,0.2433311939239502
general,0.24928055703639984,0.21951381862163544,1.0000001192092896,0.19438262283802032,0.2006627768278122,0.12068101763725281,0.1972234547138214
amherst,0.26161208748817444,0.2880619764328003,0.1691579967737198,0.15999062359333038,0.3216142952442169,0.3627932071685791,0.14774024486541748
.,0.3567904531955719,0.23159366846084595,0.2929490804672241,0.198323056101799,0.4549728035926819,0.22505514323711395,0.4130953550338745
