,when,did,the,meuse,and,waal,merge,?
from,0.405669629573822,0.20248863101005554,0.40150508284568787,0.15937340259552002,0.3601827025413513,0.10252905637025833,0.17503918707370758,0.19969791173934937
1421,-0.11153890192508698,-0.1887500137090683,0.04676410183310509,0.2381410002708435,-0.07762996107339859,0.14604200422763824,-0.12617287039756775,-0.17428839206695557
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.17968733608722687,0.48971283435821533,0.16721856594085693,0.1999436765909195,0.29463258385658264
1904,0.04960932210087776,0.19370432198047638,-0.0006568706012330949,0.0602944977581501,0.08174386620521545,0.048604030162096024,0.11891965568065643,0.1387721598148346
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.21688565611839294,0.6633074283599854,0.2183123230934143,0.24273967742919922,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.28249096870422363,0.5171257257461548,0.14903073012828827,0.26616451144218445,0.22068053483963013
meuse,0.1268012970685959,0.14388921856880188,0.28249096870422363,0.9999999403953552,0.19935591518878937,0.45813530683517456,0.1721024215221405,0.21687322854995728
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.19935591518878937,1.0,0.2400875836610794,0.18629194796085358,0.20544172823429108
waal,0.14714795351028442,0.12280487269163132,0.14903073012828827,0.45813530683517456,0.2400875836610794,0.9999999403953552,0.0806756466627121,0.11904393881559372
merged,0.054479438811540604,0.156179741024971,0.22961698472499847,0.17303462326526642,0.1286735236644745,0.05501195043325424,0.7338131070137024,0.16063673794269562
further,0.2538713812828064,0.216647207736969,0.32531118392944336,0.1711679846048355,0.3426179587841034,0.17993248999118805,0.19882024824619293,0.20960763096809387
upstream,0.16442538797855377,0.1007513701915741,0.3064279854297638,0.3631223738193512,0.2549908459186554,0.1409679800271988,0.27154234051704407,0.10082495212554932
at,0.38876327872276306,0.28390252590179443,0.457212895154953,0.18315337598323822,0.3571503460407257,0.09101667255163193,0.10970847308635712,0.21978627145290375
gorinchem,0.15104639530181885,0.09900565445423126,0.23802877962589264,0.37432369589805603,0.20553700625896454,0.41974106431007385,0.1504683494567871,0.23002080619335175
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.17968733608722687,0.48971283435821533,0.16721856594085693,0.1999436765909195,0.29463258385658264
form,0.31953904032707214,0.18086659908294678,0.29286009073257446,0.14163857698440552,0.30469027161598206,0.14208510518074036,0.30493253469467163,0.1463010311126709
merwede,0.08564914017915726,0.10374099761247635,0.20795460045337677,0.4850001931190491,0.1710251420736313,0.44391798973083496,0.27561014890670776,0.13861164450645447
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.23117180168628693,0.588965117931366,0.1970512419939041,0.2164151519536972,0.4130953550338745
,when,did,the,meuse,and,waal,merge,?
this,0.4959332048892975,0.3609912693500519,0.6274310946464539,0.17495959997177124,0.42353692650794983,0.1787569671869278,0.2843819558620453,0.3155723512172699
system,0.27706024050712585,0.1967303454875946,0.3233085572719574,0.16120104491710663,0.231138214468956,0.04779854789376259,0.10764409601688385,0.15556083619594574
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.20204558968544006,0.5116966962814331,0.18245531618595123,0.19220814108848572,0.1826142966747284
numerous,0.18119986355304718,0.18944735825061798,0.3353725075721741,0.10928171873092651,0.3871175944805145,0.1516876369714737,0.13165819644927979,0.0875130444765091
bays,0.20350497961044312,0.1151980385184288,0.2551051080226898,0.280823290348053,0.2796389162540436,0.1378275603055954,0.1196242943406105,0.13760831952095032
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.21688565611839294,0.6633074283599854,0.2183123230934143,0.24273967742919922,0.31091248989105225
