,what,kind,of,protists,are,euglenophytes,?
euglenophytes,0.2614889442920685,0.32507407665252686,0.2600511312484741,0.7519447207450867,0.43266451358795166,1.0,0.20885837078094482
are,0.29724663496017456,0.296465665102005,0.39081433415412903,0.42034509778022766,1.0,0.43266451358795166,0.24591213464736938
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.20517109334468842,0.265255331993103,0.23667465150356293,0.23916715383529663
group,0.2114069163799286,0.23503069579601288,0.25542253255844116,0.39706721901893616,0.35980498790740967,0.34812024235725403,0.13827809691429138
of,0.33290785551071167,0.2285657674074173,1.0,0.2637709975242615,0.39081433415412903,0.2600511312484741,0.1826142966747284
common,0.19989867508411407,0.34846702218055725,0.2949881851673126,0.30943942070007324,0.3463647663593292,0.38012561202049255,0.20434872806072235
flagellated,0.20418716967105865,0.31631505489349365,0.25554975867271423,0.6722708344459534,0.425241619348526,0.7203661203384399,0.14124587178230286
protists,0.2744068503379822,0.29975372552871704,0.2637709975242615,0.9999999403953552,0.42034509778022766,0.7519447207450867,0.2308621108531952
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.31522586941719055,0.45265161991119385,0.34377843141555786,0.32716336846351624
contain,0.1832355558872223,0.2706027626991272,0.30574339628219604,0.3743324875831604,0.5326977372169495,0.42758896946907043,0.18853069841861725
chloroplasts,0.2524593770503998,0.25487130880355835,0.23179760575294495,0.6909186244010925,0.3103833794593811,0.6786432862281799,0.13049766421318054
derived,0.20143714547157288,0.2652199864387512,0.28474852442741394,0.33131110668182373,0.21504636108875275,0.31527385115623474,0.1241099163889885
from,0.2737620174884796,0.1906990259885788,0.4249346852302551,0.19439697265625,0.2674213647842407,0.21371963620185852,0.19969791173934937
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.20517109334468842,0.265255331993103,0.23667465150356293,0.23916715383529663
green,0.16762696206569672,0.15850861370563507,0.2225196659564972,0.23136547207832336,0.21746626496315002,0.2956790030002594,0.11409882456064224
alga,0.12795694172382355,0.20433013141155243,0.15750092267990112,0.5097509622573853,0.26283004879951477,0.5931171178817749,0.15664592385292053
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.2356090098619461,0.3452940285205841,0.2628285586833954,0.4130953550338745
