,what,was,the,name,of,the,count,of,apulia
robert,0.1948658525943756,0.24186499416828156,0.2257954627275467,0.12209802120923996,0.2398476004600525,0.2257954627275467,0.1837114691734314,0.2398476004600525,0.24873390793800354
guiscard,0.19880060851573944,0.247543066740036,0.2827313542366028,0.23379822075366974,0.3012388050556183,0.2827313542366028,0.3903944194316864,0.3012388050556183,0.5440175533294678
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.25886058807373047,0.4946078956127167,0.2644314467906952
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.22033736109733582,0.32280945777893066,0.4207492768764496,0.20062413811683655,0.32280945777893066,0.1724475771188736
other,0.341873437166214,0.14651623368263245,0.44152235984802246,0.20388714969158173,0.38583824038505554,0.44152235984802246,0.17941510677337646,0.38583824038505554,0.15474390983581543
norman,0.12319435924291611,0.21643765270709991,0.23459704220294952,0.1913251429796219,0.15827171504497528,0.23459704220294952,0.149617537856102,0.15827171504497528,0.2978394031524658
adventurer,0.17236240208148956,0.22595933079719543,0.20287156105041504,0.17510253190994263,0.21995224058628082,0.20287156105041504,0.19170890748500824,0.21995224058628082,0.30395281314849854
previously,0.24305304884910583,0.41197097301483154,0.33854439854621887,0.1781589686870575,0.2850290536880493,0.33854439854621887,0.13921292126178741,0.2850290536880493,0.19455616176128387
elevated,0.1305171251296997,0.2670429050922394,0.3096965551376343,0.15473249554634094,0.2597423791885376,0.3096965551376343,0.13400401175022125,0.2597423791885376,0.2698497176170349
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.25972336530685425,0.41548454761505127,0.20637381076812744
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.21435627341270447,0.733189046382904,0.23246920108795166
dignity,0.30506110191345215,0.188059464097023,0.26360175013542175,0.137582927942276,0.23600144684314728,0.26360175013542175,0.09316808730363846,0.23600144684314728,0.19128374755382538
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.23121918737888336,1.0,0.25955861806869507
count,0.11588504165410995,0.16032585501670837,0.21435627341270447,0.18942542374134064,0.23121918737888336,0.21435627341270447,0.9999999403953552,0.23121918737888336,0.27125751972198486
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.23121918737888336,1.0,0.25955861806869507
apulia,0.2082095742225647,0.20967955887317657,0.23246920108795166,0.14136889576911926,0.25955861806869507,0.23246920108795166,0.27125751972198486,0.25955861806869507,1.0
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.2237670123577118,0.3886612355709076,0.18973934650421143
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.21435627341270447,0.733189046382904,0.23246920108795166
result,0.19945499300956726,0.18558235466480255,0.27778977155685425,0.16677403450012207,0.231380432844162,0.27778977155685425,0.18317055702209473,0.231380432844162,0.10207867622375488
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.23121918737888336,1.0,0.25955861806869507
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.1914493292570114,0.38364991545677185,0.4394008219242096,0.27201569080352783,0.38364991545677185,0.24904879927635193
military,0.18809624016284943,0.24704936146736145,0.2290858030319214,0.1336529552936554,0.27347031235694885,0.2290858030319214,0.1644480675458908,0.27347031235694885,0.2056129276752472
successes,0.2219461053609848,0.26976051926612854,0.329790323972702,0.13686081767082214,0.25049006938934326,0.329790323972702,0.23151305317878723,0.25049006938934326,0.19613291323184967
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.25886058807373047,0.4946078956127167,0.2644314467906952
ultimately,0.3084288239479065,0.26205137372016907,0.38258427381515503,0.032128721475601196,0.2608107626438141,0.38258427381515503,0.07952691614627838,0.2608107626438141,0.12043791264295578
drove,0.1460457593202591,0.3095202147960663,0.24859486520290375,0.0839577168226242,0.21205836534500122,0.24859486520290375,0.2010166198015213,0.21205836534500122,0.18102578818798065
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.21435627341270447,0.733189046382904,0.23246920108795166
byzantines,0.16134203970432281,0.1420312076807022,0.23397722840309143,0.09694524854421616,0.2067587524652481,0.23397722840309143,0.18398833274841309,0.2067587524652481,0.42548438906669617
out,0.3633197546005249,0.28168347477912903,0.39404502511024475,0.18450941145420074,0.34176841378211975,0.39404502511024475,0.2170235812664032,0.34176841378211975,0.18670707941055298
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.23121918737888336,1.0,0.25955861806869507
southern,0.18679563701152802,0.23717372119426727,0.3282862603664398,0.1812441051006317,0.31933003664016724,0.3282862603664398,-0.013775438070297241,0.31933003664016724,0.28593704104423523
italy,0.16949890553951263,0.26177310943603516,0.2633645832538605,0.11483806371688843,0.2844046950340271,0.2633645832538605,0.17114271223545074,0.2844046950340271,0.581744909286499
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.2325478494167328,0.5352458953857422,0.22142012417316437
