,what,newcastle,radio,station,is,based,at,the,great,north,children,'s,hospital,?
the,0.42745697498321533,0.2253497689962387,0.23511973023414612,0.23609806597232819,0.5823672413825989,0.29860720038414,0.457212895154953,1.0,0.2822027802467346,0.36298373341560364,0.15654058754444122,-0.01540423184633255,0.17318566143512726,0.22068053483963013
city,0.17493832111358643,0.32860881090164185,0.16687847673892975,0.28755414485931396,0.3186660706996918,0.20024986565113068,0.2310783565044403,0.35769423842430115,0.1521005928516388,0.3820379972457886,0.15206816792488098,0.004406440537422895,0.3044719099998474,0.13423943519592285
also,0.42747777700424194,0.20407575368881226,0.23882150650024414,0.23779743909835815,0.5012649297714233,0.2596239149570465,0.36980849504470825,0.6021018624305725,0.29709839820861816,0.24276778101921082,0.26143842935562134,-0.0014726108638569713,0.23234371840953827,0.21848613023757935
has,0.20338068902492523,0.18862372636795044,0.15469539165496826,0.16654619574546814,0.5668748617172241,0.2381371408700943,0.2743658423423767,0.4177538752555847,0.179184690117836,0.21093007922172546,0.14232949912548065,-0.040683966130018234,0.170236274600029,0.15994466841220856
a,0.3320399522781372,0.21405641734600067,0.19488471746444702,0.21760036051273346,0.658733606338501,0.2977409064769745,0.3095070421695709,0.5829201340675354,0.21836373209953308,0.25008413195610046,0.12013130635023117,0.04866964742541313,0.23276586830615997,0.23916715383529663
radio,0.16863368451595306,0.15122142434120178,0.9999999403953552,0.4113904535770416,0.1481926590204239,0.16601984202861786,0.20139797031879425,0.23511973023414612,0.11447300761938095,0.1604752391576767,0.13510049879550934,0.13450658321380615,0.20717759430408478,0.08763375133275986
lollipop,0.25240612030029297,0.15251973271369934,0.23157091438770294,0.14510875940322876,0.19758036732673645,0.14321066439151764,0.12011854350566864,0.18249577283859253,0.07536324858665466,0.14550399780273438,0.12476903200149536,0.07211143523454666,0.07797495275735855,0.31978729367256165
station,0.1613752841949463,0.26673999428749084,0.4113904535770416,1.0,0.19625909626483917,0.15491430461406708,0.2690275013446808,0.23609806597232819,0.1276046484708786,0.2489755004644394,0.11799591779708862,-0.04233921319246292,0.29561933875083923,0.12574981153011322
based,0.274813175201416,0.18891511857509613,0.16601984202861786,0.15491430461406708,0.3248139023780823,1.0000001192092896,0.17453226447105408,0.29860720038414,0.11559975147247314,0.14165037870407104,0.09562429785728455,0.06600074470043182,0.15793205797672272,0.134929820895195
at,0.2838611304759979,0.18403437733650208,0.20139797031879425,0.2690275013446808,0.25906258821487427,0.17453226447105408,1.0,0.457212895154953,0.21875426173210144,0.2535056173801422,0.2094024121761322,-0.08481216430664062,0.3072851002216339,0.21978627145290375
the,0.42745697498321533,0.2253497689962387,0.23511973023414612,0.23609806597232819,0.5823672413825989,0.29860720038414,0.457212895154953,1.0,0.2822027802467346,0.36298373341560364,0.15654058754444122,-0.01540423184633255,0.17318566143512726,0.22068053483963013
