,what,do,beriods,use,as,teeth,?
the,0.42745697498321533,0.30239659547805786,0.2851976752281189,0.34342584013938904,0.48381632566452026,0.19723956286907196,0.22068053483963013
phylum,0.20018324255943298,0.26568078994750977,0.28499892354011536,0.18886107206344604,0.22215606272220612,0.31804731488227844,0.18758688867092133
has,0.20338068902492523,0.22084827721118927,0.173438161611557,0.2701425552368164,0.351646363735199,0.16849826276302338,0.15994466841220856
a,0.3320399522781372,0.26237669587135315,0.22214990854263306,0.30793872475624084,0.39550232887268066,0.21283109486103058,0.23916715383529663
wide,0.22181174159049988,0.16336190700531006,0.20808544754981995,0.2923398017883301,0.2620913088321686,0.2484811246395111,0.12719376385211945
range,0.19613829255104065,0.1469113826751709,0.27454495429992676,0.2555616497993469,0.22109805047512054,0.16932545602321625,0.1204894632101059
of,0.33290785551071167,0.26150479912757874,0.23081111907958984,0.2750902473926544,0.3886612355709076,0.19241274893283844,0.1826142966747284
body,0.2143840193748474,0.1887626349925995,0.2512798011302948,0.22484350204467773,0.24814960360527039,0.28172317147254944,0.20136451721191406
forms,0.16334041953086853,0.22607646882534027,0.2542140483856201,0.2837582528591156,0.265371173620224,0.22645001113414764,0.1196754202246666
",",0.3087472915649414,0.3283645510673523,0.23813533782958984,0.3276674151420593,0.48816442489624023,0.20114922523498535,0.31091248989105225
including,0.18328791856765747,0.18796655535697937,0.16096395254135132,0.2895544767379761,0.3863891661167145,0.11512710154056549,0.1633303165435791
the,0.42745697498321533,0.30239659547805786,0.2851976752281189,0.34342584013938904,0.48381632566452026,0.19723956286907196,0.22068053483963013
flattened,0.17925192415714264,0.22649505734443665,0.24689121544361115,0.20232318341732025,0.2303493469953537,0.5013988614082336,0.14000996947288513
",",0.3087472915649414,0.3283645510673523,0.23813533782958984,0.3276674151420593,0.48816442489624023,0.20114922523498535,0.31091248989105225
deep-sea,0.2213214784860611,0.16941651701927185,0.23557083308696747,0.21302321553230286,0.23674142360687256,0.1829562783241272,0.21262329816818237
platyctenids,0.20016786456108093,0.2775275409221649,0.41817063093185425,0.1976064145565033,0.19725194573402405,0.5425897836685181,0.1917940229177475
",",0.3087472915649414,0.3283645510673523,0.23813533782958984,0.3276674151420593,0.48816442489624023,0.20114922523498535,0.31091248989105225
in,0.30808621644973755,0.23402775824069977,0.2081892043352127,0.2715643048286438,0.3887844979763031,0.1853443831205368,0.20430970191955566
which,0.5261979103088379,0.31153854727745056,0.2864810526371002,0.39254313707351685,0.41006597876548767,0.26112839579582214,0.25814583897590637
the,0.42745697498321533,0.30239659547805786,0.2851976752281189,0.34342584013938904,0.48381632566452026,0.19723956286907196,0.22068053483963013
adults,0.2567427158355713,0.2945818305015564,0.26694294810295105,0.2828303575515747,0.16857901215553284,0.2919231057167053,0.22581297159194946
of,0.33290785551071167,0.26150479912757874,0.23081111907958984,0.2750902473926544,0.3886612355709076,0.19241274893283844,0.1826142966747284
most,0.3219912350177765,0.31522849202156067,0.3377319574356079,0.3331718146800995,0.3548237979412079,0.16124671697616577,0.2107497900724411
species,0.14617158472537994,0.20613440871238708,0.2945016324520111,0.23278357088565826,0.2342512160539627,0.29723212122917175,0.1957087516784668
lack,0.28247135877609253,0.3394893705844879,0.25991952419281006,0.3525133430957794,0.23638373613357544,0.27135682106018066,0.16953514516353607
combs,0.16265150904655457,0.22223100066184998,0.2572955787181854,0.2571667432785034,0.28271484375,0.28022292256355286,0.24039559066295624
",",0.3087472915649414,0.3283645510673523,0.23813533782958984,0.3276674151420593,0.48816442489624023,0.20114922523498535,0.31091248989105225
and,0.31309178471565247,0.276123583316803,0.2836010158061981,0.34145063161849976,0.49487000703811646,0.23773503303527832,0.20544172823429108
the,0.42745697498321533,0.30239659547805786,0.2851976752281189,0.34342584013938904,0.48381632566452026,0.19723956286907196,0.22068053483963013
coastal,0.18264484405517578,0.1405515819787979,0.19018130004405975,0.15719905495643616,0.151224747300148,0.21063010394573212,0.13777320086956024
beroids,0.19189316034317017,0.26919740438461304,0.29866230487823486,0.2344503402709961,0.2262221872806549,0.27946123480796814,0.2394029200077057
",",0.3087472915649414,0.3283645510673523,0.23813533782958984,0.3276674151420593,0.48816442489624023,0.20114922523498535,0.31091248989105225
which,0.5261979103088379,0.31153854727745056,0.2864810526371002,0.39254313707351685,0.41006597876548767,0.26112839579582214,0.25814583897590637
lack,0.28247135877609253,0.3394893705844879,0.25991952419281006,0.3525133430957794,0.23638373613357544,0.27135682106018066,0.16953514516353607
tentacles,0.17259258031845093,0.2578895092010498,0.26396283507347107,0.2705498933792114,0.16763678193092346,0.42958199977874756,0.15145425498485565
