,what,organization,is,devoted,to,jihad,against,israel,?
as,0.31749409437179565,0.24784187972545624,0.43216490745544434,0.19090630114078522,0.42092081904411316,0.18456658720970154,0.24545185267925262,0.1793055236339569,0.27043893933296204
the,0.42745697498321533,0.311172217130661,0.5823672413825989,0.19689401984214783,0.535392165184021,0.22348956763744354,0.3090755045413971,0.21617624163627625,0.22068053483963013
first,0.28086137771606445,0.2089657038450241,0.30889374017715454,0.19093872606754303,0.3792489171028137,0.12645503878593445,0.24928933382034302,0.12160500884056091,0.18701928853988647
intifada,0.27514395117759705,0.3165431320667267,0.21721422672271729,0.26075828075408936,0.1905428171157837,0.5728253126144409,0.30024218559265137,0.39114224910736084,0.22262464463710785
gathered,0.25028154253959656,0.21712945401668549,0.1553744077682495,0.3087131977081299,0.277311235666275,0.23041744530200958,0.24858912825584412,0.19728638231754303,0.14883534610271454
momentum,0.2866780757904053,0.18791362643241882,0.17100326716899872,0.1634116917848587,0.24623270332813263,0.2569907605648041,0.15502142906188965,0.13734634220600128,0.1894138902425766
and,0.31309178471565247,0.21951423585414886,0.3859752118587494,0.23796989023685455,0.48971283435821533,0.18178227543830872,0.3292689621448517,0.24438269436359406,0.20544172823429108
palestinian,0.16339266300201416,0.3197074830532074,0.17935296893119812,0.14584118127822876,0.19484737515449524,0.5393670797348022,0.15105772018432617,0.5574578046798706,0.19147373735904694
shopkeepers,0.23327481746673584,0.2696121335029602,0.16122661530971527,0.2232338786125183,0.32263708114624023,0.2596849799156189,0.1490766853094101,0.21223598718643188,0.15865011513233185
closed,0.1689339131116867,0.11310221254825592,0.15169702470302582,0.20188993215560913,0.2852984070777893,0.12205206602811813,0.1438003033399582,0.1372574269771576,0.15595348179340363
their,0.35142919421195984,0.195579394698143,0.2101074606180191,0.20941393077373505,0.44619059562683105,0.19877080619335175,0.2741570472717285,0.19422240555286407,0.1898253709077835
shops,0.1309920698404312,0.15415555238723755,0.19404397904872894,0.12216531485319138,0.1749279499053955,0.14661312103271484,0.07355732470750809,0.152871772646904,0.09888634085655212
in,0.30808621644973755,0.2513086795806885,0.5394441485404968,0.21890759468078613,0.45010748505592346,0.15748675167560577,0.27273955941200256,0.2300325185060501,0.20430970191955566
