,how,much,does,victoria,produce,in,australian,pears,?
victorian,0.18811437487602234,0.1766148805618286,0.16254262626171112,0.7158359885215759,0.12532368302345276,0.21606117486953735,0.4990655183792114,0.19875037670135498,0.07572567462921143
farms,0.17464080452919006,0.2566746771335602,0.19724391400814056,0.24758359789848328,0.35395506024360657,0.2572706937789917,0.16776816546916962,0.23637202382087708,0.15135478973388672
produce,0.24825716018676758,0.28528735041618347,0.3036338984966278,0.09362562000751495,1.0,0.21160131692886353,0.10639812797307968,0.2723270654678345,0.19229066371917725
nearly,0.23273618519306183,0.3652237057685852,0.20287664234638214,0.11618539690971375,0.23763088881969452,0.3414846360683441,0.18517808616161346,0.24013729393482208,0.11670064926147461
90,-0.07865460216999054,-0.1207486242055893,-0.13686193525791168,0.007660414092242718,-0.20656976103782654,0.022158663719892502,0.015271678566932678,-0.023859433829784393,-0.0034062080085277557
%,0.1237400695681572,0.26866111159324646,0.1996830552816391,0.07985731214284897,0.17460432648658752,0.19465309381484985,0.03155963495373726,0.11871559172868729,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,0.3119818866252899,0.2505437433719635,0.19541172683238983,0.5696388483047485,0.19989325106143951,0.23338207602500916,0.1826142966747284
australian,0.21116776764392853,0.12241297215223312,0.13278554379940033,0.42558738589286804,0.10639812797307968,0.1796053647994995,1.0000001192092896,0.19089429080486298,0.10848008096218109
pears,0.2001650184392929,0.28854212164878845,0.2293839156627655,0.2035556137561798,0.2723270654678345,0.22629091143608093,0.19089429080486298,0.9999998807907104,0.11514560133218765
and,0.33647966384887695,0.38395699858665466,0.3461615741252899,0.24507255852222443,0.2701570689678192,0.4954058527946472,0.2769584059715271,0.306355357170105,0.20544172823429108
third,0.14508451521396637,0.18641111254692078,0.16555646061897278,0.1536635309457779,0.11783801764249802,0.3309578001499176,0.15139690041542053,0.17050395905971527,0.15394791960716248
of,0.2480744868516922,0.2671096920967102,0.3119818866252899,0.2505437433719635,0.19541172683238983,0.5696388483047485,0.19989325106143951,0.23338207602500916,0.1826142966747284
apples,0.27076178789138794,0.15342865884304047,0.1796252727508545,0.057988010346889496,0.2892913520336151,0.2226586639881134,0.10937180370092392,0.459663063287735,0.21918579936027527
.,0.3287222981452942,0.3374604284763336,0.3022993505001068,0.23069117963314056,0.2587496340274811,0.5591574311256409,0.2256850302219391,0.24150043725967407,0.4130953550338745
