,by,what,year,was,selling,children,into,slavery,common,among,the,mongols,?
the,0.4408751428127289,0.42745697498321533,0.3609684407711029,0.48711544275283813,0.25230732560157776,0.15654058754444122,0.39493247866630554,0.2249661535024643,0.2705984115600586,0.3507058024406433,1.0,0.310281366109848,0.22068053483963013
mongols,0.233955517411232,0.171964630484581,0.12914645671844482,0.19519121944904327,0.1336943358182907,0.16505059599876404,0.17504456639289856,0.23433436453342438,0.16178350150585175,0.2554643750190735,0.310281366109848,0.9999999403953552,0.11517509818077087
practiced,0.21399946510791779,0.19797801971435547,0.15051524341106415,0.2840479016304016,0.24352078139781952,0.22154851257801056,0.15132643282413483,0.2937001883983612,0.23516297340393066,0.288318008184433,0.20430389046669006,0.2381935715675354,0.07469849288463593
debt,0.14746113121509552,0.2230634093284607,0.2661300003528595,0.22891651093959808,0.31854718923568726,0.18772180378437042,0.1237148568034172,0.3288976848125458,0.14136208593845367,0.12729589641094208,0.200801283121109,0.17372168600559235,0.14442241191864014
slavery,0.17184978723526,0.25784245133399963,0.1499517560005188,0.25732719898223877,0.2891097366809845,0.21240684390068054,0.220035582780838,1.0,0.17213112115859985,0.20559731125831604,0.2249661535024643,0.23433436453342438,0.21057774126529694
",",0.3680937886238098,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.23531173169612885,0.28531143069267273,0.2826121151447296,0.20510926842689514,0.2497023195028305,0.2640531659126282,0.4933079481124878,0.26664721965789795,0.31091248989105225
and,0.4289871156215668,0.31309178471565247,0.2506658732891083,0.3740963041782379,0.2637762427330017,0.2624970078468323,0.36597734689712524,0.2265450358390808,0.229714497923851,0.39211368560791016,0.5171257257461548,0.2535054385662079,0.20544172823429108
by,1.0000001192092896,0.2455483376979828,0.28805047273635864,0.4752357602119446,0.2589837908744812,0.20646940171718597,0.30473223328590393,0.17184978723526,0.10355567932128906,0.3222726583480835,0.4408751428127289,0.233955517411232,0.17966607213020325
1290,-0.08307982981204987,-0.09204740822315216,0.023658959195017815,-0.016437700018286705,0.00398173788562417,0.12711814045906067,-0.08426705002784729,-0.056091465055942535,-0.0009217876940965652,-0.11345428973436356,-0.16398735344409943,-0.06781921535730362,-0.025558773428201675
in,0.370934396982193,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.2517387568950653,0.2065156251192093,0.38021373748779297,0.19568555057048798,0.23149342834949493,0.3211768567562103,0.6662389636039734,0.22694018483161926,0.20430970191955566
all,0.2944089472293854,0.41981086134910583,0.2920427918434143,0.23179835081100464,0.32181423902511597,0.16303220391273499,0.2507680058479309,0.2661515772342682,0.246805801987648,0.3706320822238922,0.4860881567001343,0.23575349152088165,0.29575422406196594
parts,0.233709454536438,0.3415631353855133,0.12191024422645569,0.239912748336792,0.19545873999595642,0.1717769056558609,0.3835471272468567,0.20031942427158356,0.23979786038398743,0.22869783639907837,0.4042440354824066,0.20533503592014313,0.12310896813869476
of,0.3646814823150635,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.223910853266716,0.1978350728750229,0.32255905866622925,0.20040786266326904,0.2949881851673126,0.3679063022136688,0.733189046382904,0.23517343401908875,0.1826142966747284
the,0.4408751428127289,0.42745697498321533,0.3609684407711029,0.48711544275283813,0.25230732560157776,0.15654058754444122,0.39493247866630554,0.2249661535024643,0.2705984115600586,0.3507058024406433,1.0,0.310281366109848,0.22068053483963013
mongol,0.1995033621788025,0.15870186686515808,0.1197909265756607,0.17204789817333221,0.06958438456058502,0.11365031450986862,0.1455553025007248,0.17520129680633545,0.1407814472913742,0.18552954494953156,0.2924198508262634,0.905461847782135,0.12849251925945282
empire,0.19236046075820923,0.21723191440105438,0.1953045278787613,0.30602675676345825,0.21974895894527435,0.11486808955669403,0.19112050533294678,0.2562173306941986,0.15141336619853973,0.1757367104291916,0.32532164454460144,0.47929102182388306,0.14909450709819794
commoners,0.24584393203258514,0.2286444753408432,0.2030668407678604,0.2416309118270874,0.25738298892974854,0.3667173385620117,0.1650315821170807,0.34530243277549744,0.5269681811332703,0.34835681319236755,0.3023621737957001,0.28726696968078613,0.19055870175361633
were,0.4406847059726715,0.22298263013362885,0.23735305666923523,0.590133786201477,0.24248859286308289,0.24450503289699554,0.2657007873058319,0.28417330980300903,0.14443030953407288,0.35641026496887207,0.3906462490558624,0.3104121685028076,0.17890112102031708
