,when,did,british,government,give,land,for,development,of,ohio,country,?
in,0.4431333839893341,0.2593238651752472,0.23084034025669098,0.3066793978214264,0.20895415544509888,0.22871792316436768,0.4322226941585541,0.2550492286682129,0.5696388483047485,0.2508675754070282,0.3040012717247009,0.20430970191955566
1749,0.18237678706645966,0.18609482049942017,0.0968446433544159,0.29749977588653564,0.16011665761470795,0.1017090231180191,0.13623002171516418,0.25974780321121216,0.2117093801498413,0.17619794607162476,0.26409631967544556,0.20547500252723694
the,0.5091903209686279,0.34736719727516174,0.28973397612571716,0.31798112392425537,0.29086416959762573,0.28587454557418823,0.4739971458911896,0.3362044394016266,0.733189046382904,0.24653035402297974,0.30432501435279846,0.22068053483963013
british,0.1642608791589737,0.2039594054222107,1.0,0.29284414649009705,0.16256682574748993,0.16519016027450562,0.1970057189464569,0.1436256319284439,0.23701532185077667,0.2192528396844864,0.2571737766265869,0.09711728990077972
government,0.23078718781471252,0.2792121469974518,0.29284414649009705,1.0000001192092896,0.2148617058992386,0.28320056200027466,0.23902073502540588,0.229208305478096,0.3475167155265808,0.12934496998786926,0.384080171585083,0.18851417303085327
gave,0.29486924409866333,0.4154756963253021,0.19416284561157227,0.21925665438175201,0.5821815729141235,0.2299938052892685,0.3676709234714508,0.14180372655391693,0.3650403320789337,0.12927913665771484,0.13163252174854279,0.1910865753889084
land,0.20329858362674713,0.19881628453731537,0.16519016027450562,0.28320056200027466,0.21804755926132202,1.0000001192092896,0.19845563173294067,0.1926106959581375,0.3057127296924591,0.18425393104553223,0.25981757044792175,0.1432059109210968
to,0.5423505902290344,0.4452643394470215,0.22690963745117188,0.28343796730041504,0.4396136403083801,0.2885280251502991,0.4451248347759247,0.27639102935791016,0.41548454761505127,0.1818198561668396,0.31281599402427673,0.29463258385658264
the,0.5091903209686279,0.34736719727516174,0.28973397612571716,0.31798112392425537,0.29086416959762573,0.28587454557418823,0.4739971458911896,0.3362044394016266,0.733189046382904,0.24653035402297974,0.30432501435279846,0.22068053483963013
ohio,0.20791125297546387,0.11018496751785278,0.2192528396844864,0.12934496998786926,0.13894933462142944,0.18425393104553223,0.19870628416538239,0.1861904114484787,0.1960361748933792,0.9999999403953552,0.1654648780822754,0.10064033418893814
company,0.2219121903181076,0.16800642013549805,0.23512013256549835,0.23873265087604523,0.10914643108844757,0.18134024739265442,0.25874319672584534,0.23337338864803314,0.20467796921730042,0.19065408408641815,0.1993149369955063,0.12195809185504913
of,0.3757161796092987,0.2513895630836487,0.23701532185077667,0.3475167155265808,0.33489471673965454,0.3057127296924591,0.4185989499092102,0.28700894117355347,1.0,0.1960361748933792,0.28866857290267944,0.1826142966747284
virginia,0.14300817251205444,0.1734718233346939,0.20323075354099274,0.1655055582523346,0.13766013085842133,0.19478802382946014,0.16586531698703766,0.1432015299797058,0.2102794647216797,0.43450677394866943,0.20564234256744385,0.18036006391048431
for,0.43402108550071716,0.318512886762619,0.1970057189464569,0.23902073502540588,0.41813769936561584,0.19845563173294067,0.9999999403953552,0.28623178601264954,0.4185989499092102,0.19870628416538239,0.2644098401069641,0.264628142118454
the,0.5091903209686279,0.34736719727516174,0.28973397612571716,0.31798112392425537,0.29086416959762573,0.28587454557418823,0.4739971458911896,0.3362044394016266,0.733189046382904,0.24653035402297974,0.30432501435279846,0.22068053483963013
purpose,0.2300710678100586,0.2756897211074829,0.149917870759964,0.2199486345052719,0.2689655125141144,0.16305768489837646,0.3468001186847687,0.22142533957958221,0.23855330049991608,0.1760825216770172,0.1753542572259903,0.21892647445201874
of,0.3757161796092987,0.2513895630836487,0.23701532185077667,0.3475167155265808,0.33489471673965454,0.3057127296924591,0.4185989499092102,0.28700894117355347,1.0,0.1960361748933792,0.28866857290267944,0.1826142966747284
developing,0.2821664810180664,0.21685825288295746,0.1925417184829712,0.1850757747888565,0.2786272466182709,0.15955320000648499,0.32847198843955994,0.6712352633476257,0.27299609780311584,0.1517440229654312,0.21247602999210358,0.1301516592502594
trade,0.1979909986257553,0.16199031472206116,0.15393289923667908,0.3212445080280304,0.15556000173091888,0.1941966563463211,0.2946145534515381,0.2643839418888092,0.2310105711221695,0.17192970216274261,0.2299901396036148,0.09336511790752411
and,0.4716290831565857,0.34479495882987976,0.325880765914917,0.2859337627887726,0.3040338158607483,0.2874513864517212,0.5064792633056641,0.26069340109825134,0.5116966962814331,0.2680337131023407,0.30884742736816406,0.20544172823429108
settlements,0.163706973195076,0.12037473917007446,0.16136783361434937,0.301584929227829,0.08404895663261414,0.3144846558570862,0.19061164557933807,0.21307112276554108,0.2813670039176941,0.10286673903465271,0.2819398045539856,0.1671062707901001
in,0.4431333839893341,0.2593238651752472,0.23084034025669098,0.3066793978214264,0.20895415544509888,0.22871792316436768,0.4322226941585541,0.2550492286682129,0.5696388483047485,0.2508675754070282,0.3040012717247009,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,0.28973397612571716,0.31798112392425537,0.29086416959762573,0.28587454557418823,0.4739971458911896,0.3362044394016266,0.733189046382904,0.24653035402297974,0.30432501435279846,0.22068053483963013
ohio,0.20791125297546387,0.11018496751785278,0.2192528396844864,0.12934496998786926,0.13894933462142944,0.18425393104553223,0.19870628416538239,0.1861904114484787,0.1960361748933792,0.9999999403953552,0.1654648780822754,0.10064033418893814
country,0.21558639407157898,0.24348343908786774,0.2571737766265869,0.384080171585083,0.18851011991500854,0.25981757044792175,0.2644098401069641,0.1693711280822754,0.28866857290267944,0.1654648780822754,1.0000001192092896,0.12647280097007751
.,0.475719153881073,0.35288307070732117,0.23159366846084595,0.2521961033344269,0.34017711877822876,0.259204238653183,0.4726039469242096,0.2822875380516052,0.5352458953857422,0.2659587562084198,0.26130348443984985,0.4130953550338745
