,what,reason,is,given,that,you,should,also,protest,public,companies,?
brownlee,0.1723894327878952,0.08846500515937805,0.2225184291601181,0.1553538739681244,0.12388560175895691,0.20312419533729553,0.17498253285884857,0.25355273485183716,0.22331325709819794,0.2555769383907318,0.1530417799949646,0.27307888865470886
argues,0.3211183547973633,0.234305739402771,0.2095448076725006,0.20408602058887482,0.3249100148677826,0.20902645587921143,0.24935844540596008,0.2078157514333725,0.1755249798297882,0.21325989067554474,0.17617015540599823,0.20733967423439026
that,0.6297725439071655,0.462776243686676,0.3995479643344879,0.3486595153808594,1.0,0.4862920045852661,0.4588061273097992,0.6005857586860657,0.2501324415206909,0.2622828185558319,0.24354611337184906,0.32716336846351624
disobedience,0.3298627436161041,0.25908952951431274,0.21453623473644257,0.22285719215869904,0.3551425039768219,0.23798149824142456,0.30054971575737,0.30266615748405457,0.5334797501564026,0.3216745853424072,0.1617949903011322,0.19890835881233215
in,0.30808621644973755,0.21220409870147705,0.5394441485404968,0.2528568208217621,0.435920387506485,0.21252386271953583,0.23054338991641998,0.5073733329772949,0.29343265295028687,0.29074716567993164,0.2321794629096985,0.20430970191955566
opposition,0.2798226773738861,0.2645430862903595,0.21637342870235443,0.15429365634918213,0.2671529948711395,0.18046121299266815,0.24460628628730774,0.25369539856910706,0.39896345138549805,0.20554739236831665,0.1678735315799713,0.15647298097610474
to,0.455847829580307,0.3437597155570984,0.42745086550712585,0.3428947925567627,0.5436353087425232,0.4194425344467163,0.44452130794525146,0.5348826050758362,0.22359536588191986,0.2672370672225952,0.2619103491306305,0.29463258385658264
the,0.42745697498321533,0.29647648334503174,0.5823672413825989,0.37508252263069153,0.5473989248275757,0.30037742853164673,0.32399165630340576,0.6021018624305725,0.25126034021377563,0.22857438027858734,0.26917189359664917,0.22068053483963013
decisions,0.3351972997188568,0.2646579444408417,0.2378915399312973,0.25580745935440063,0.3629890978336334,0.3172081708908081,0.42301931977272034,0.26944777369499207,0.23000876605510712,0.23798143863677979,0.30530810356140137,0.29068708419799805
of,0.33290785551071167,0.23645815253257751,0.4854315221309662,0.39388060569763184,0.41498205065727234,0.1774725764989853,0.23792634904384613,0.4924938678741455,0.24564224481582642,0.2391265481710434,0.22608543932437897,0.1826142966747284
non-governmental,0.22915460169315338,0.24059279263019562,0.21368014812469482,0.24875383079051971,0.27752166986465454,0.20564240217208862,0.27485325932502747,0.31326359510421753,0.38696929812431335,0.4151158034801483,0.2860998809337616,0.2302026003599167
agencies,0.2035544514656067,0.13149213790893555,0.1606675088405609,0.1487192064523697,0.2424272745847702,0.17751699686050415,0.20758730173110962,0.2734302580356598,0.16327117383480072,0.359627366065979,0.38087955117225647,0.1637895703315735
such,0.23989605903625488,0.2693645656108856,0.23545363545417786,0.2584693133831024,0.4479874074459076,0.273107647895813,0.4382869005203247,0.4748345613479614,0.14223773777484894,0.21115711331367493,0.2765038311481476,0.17851735651493073
as,0.31749409437179565,0.29302218556404114,0.43216490745544434,0.32487574219703674,0.4735107421875,0.2761067748069763,0.414644330739975,0.5774298906326294,0.1851891577243805,0.2423635572195053,0.17324307560920715,0.27043893933296204
trade,0.1555381417274475,0.2141588032245636,0.17870411276817322,0.15771639347076416,0.20906251668930054,0.17571724951267242,0.10406092554330826,0.2907755970954895,0.1840919554233551,0.19600893557071686,0.3457300364971161,0.09336511790752411
unions,0.19864864647388458,0.19329385459423065,0.1290096491575241,0.17378565669059753,0.23865030705928802,0.21269497275352478,0.2713305950164795,0.23307785391807556,0.3607417941093445,0.2253931164741516,0.36228740215301514,0.1424994021654129
