,what,percent,of,the,labor,force,work,in,agriculture,?
22,0.02076123282313347,-0.0527067594230175,-0.029035527259111404,0.01572294719517231,-0.10408484935760498,0.0547940731048584,-0.015716295689344406,0.01694893091917038,-0.09178370982408524,0.06663474440574646
%,0.20738190412521362,0.6792206168174744,0.19953428208827972,0.21490740776062012,0.17515096068382263,0.1623663455247879,0.11495567858219147,0.19465309381484985,0.20654213428497314,0.21441808342933655
of,0.33290785551071167,0.3004763424396515,1.0,0.733189046382904,0.23769748210906982,0.27094775438308716,0.23473061621189117,0.5696388483047485,0.3250654935836792,0.1826142966747284
gdp,0.2943311929702759,0.4503449499607086,0.173078253865242,0.16116170585155487,0.2757367789745331,0.1953384429216385,0.1976233422756195,0.17962713539600372,0.36818188428878784,0.232579305768013
still,0.4548931419849396,0.22956891357898712,0.3288819193840027,0.40142056345939636,0.16618958115577698,0.23834636807441711,0.315437912940979,0.3424699008464813,0.22520047426223755,0.3039587736129761
comes,0.2575639486312866,0.22521443665027618,0.2978210747241974,0.32399529218673706,0.08672754466533661,0.16420765221118927,0.10846629738807678,0.18555757403373718,0.16706101596355438,0.15980161726474762
from,0.2737620174884796,0.22041577100753784,0.4249346852302551,0.40150508284568787,0.1662713587284088,0.14128944277763367,0.20936714112758636,0.4274188280105591,0.21866300702095032,0.19969791173934937
the,0.42745697498321533,0.277066707611084,0.733189046382904,1.0,0.21506793797016144,0.2800885736942291,0.2704800069332123,0.6662389636039734,0.29133129119873047,0.22068053483963013
unreliable,0.3126639723777771,0.15434779226779938,0.10907898843288422,0.17130182683467865,0.14257797598838806,0.11609502136707306,0.27046337723731995,0.15851743519306183,0.11111421138048172,0.3206176459789276
agricultural,0.17047324776649475,0.2602977752685547,0.3318701386451721,0.2716485559940338,0.36305850744247437,0.15468205511569977,0.23574306070804596,0.2751860022544861,0.8810046911239624,0.0713675245642662
sector,0.18244388699531555,0.2908273935317993,0.23412683606147766,0.27798449993133545,0.2561330497264862,0.2409936487674713,0.2743303179740906,0.2731133699417114,0.38999059796333313,0.06294605135917664
which,0.5261979103088379,0.28669944405555725,0.5011631846427917,0.6521818041801453,0.2094700187444687,0.22571609914302826,0.30331435799598694,0.4840516746044159,0.25763067603111267,0.25814583897590637
employs,0.12176327407360077,0.27125298976898193,0.265817791223526,0.1987496167421341,0.27764925360679626,0.2264266312122345,0.36706921458244324,0.24663735926151276,0.3427754342556,0.15923810005187988
75,0.07002212852239609,0.07245071977376938,0.06640326231718063,0.06040945649147034,0.1239621713757515,-0.021749943494796753,0.002195873064920306,0.075807124376297,0.18918131291866302,0.017522118985652924
%,0.20738190412521362,0.6792206168174744,0.19953428208827972,0.21490740776062012,0.17515096068382263,0.1623663455247879,0.11495567858219147,0.19465309381484985,0.20654213428497314,0.21441808342933655
of,0.33290785551071167,0.3004763424396515,1.0,0.733189046382904,0.23769748210906982,0.27094775438308716,0.23473061621189117,0.5696388483047485,0.3250654935836792,0.1826142966747284
the,0.42745697498321533,0.277066707611084,0.733189046382904,1.0,0.21506793797016144,0.2800885736942291,0.2704800069332123,0.6662389636039734,0.29133129119873047,0.22068053483963013
labour,0.11658018827438354,0.2304009199142456,0.18614540994167328,0.1636447161436081,0.6383106112480164,0.1810794621706009,0.24647341668605804,0.17481884360313416,0.2628304362297058,0.15689024329185486
