,how,is,oxygen,produced,from,carbon,dioxide,on,the,other,planets,of,the,solar,system,?
the,0.33890387415885925,0.5823672413825989,0.20428593456745148,0.22045251727104187,0.40150508284568787,0.23183570802211761,0.21460992097854614,0.5107308030128479,1.0,0.44152235984802246,0.20188187062740326,0.733189046382904,1.0,0.2513602674007416,0.3233085572719574,0.22068053483963013
o,0.1453389823436737,0.18684464693069458,0.2476140707731247,0.15490064024925232,0.13131019473075867,0.2423134744167328,0.24641740322113037,0.15472573041915894,0.19071193039417267,0.1553722470998764,0.1188117042183876,0.16054381430149078,0.19071193039417267,0.13764536380767822,0.09822624921798706,0.23868927359580994
2,-0.02554285153746605,-0.07940074801445007,0.04063820466399193,0.03720271214842796,0.02852952666580677,0.04288798198103905,0.06231680512428284,-0.0046874904073774815,-0.019434669986367226,-0.06383107602596283,0.007377310656011105,-0.013777675107121468,-0.019434669986367226,-0.08236190676689148,-0.05926584079861641,0.001977203879505396
surrounding,0.18849462270736694,0.30233362317085266,0.23340004682540894,0.1319780945777893,0.30142489075660706,0.3086932897567749,0.2959634065628052,0.26614251732826233,0.37289485335350037,0.32104793190956116,0.1953260600566864,0.36802753806114197,0.37289485335350037,0.19576598703861237,0.2134222388267517,0.05288729816675186
these,0.41104358434677124,0.2498808652162552,0.26223719120025635,0.23263806104660034,0.2928802967071533,0.2907121181488037,0.2755005657672882,0.32800400257110596,0.49086877703666687,0.6478539705276489,0.3169272243976593,0.42684608697891235,0.49086877703666687,0.23706036806106567,0.3248380720615387,0.2571668326854706
other,0.3591516315937042,0.25895947217941284,0.2354368269443512,0.1774824857711792,0.30141791701316833,0.28401443362236023,0.26538601517677307,0.3410046398639679,0.44152235984802246,0.9999999403953552,0.26925450563430786,0.38583824038505554,0.44152235984802246,0.21179282665252686,0.20899327099323273,0.24682199954986572
planets,0.29556089639663696,0.16834743320941925,0.24189706146717072,0.11131899803876877,0.21203003823757172,0.3426355719566345,0.28035008907318115,0.20737648010253906,0.20188187062740326,0.26925450563430786,0.9999999403953552,0.20174142718315125,0.20188187062740326,0.5224552750587463,0.2901630699634552,0.17739015817642212
is,0.22544461488723755,1.0,0.21825239062309265,0.25678005814552307,0.27355384826660156,0.2770232558250427,0.2507719099521637,0.3635730445384979,0.5823672413825989,0.25895947217941284,0.16834743320941925,0.4854315221309662,0.5823672413825989,0.24076320230960846,0.2282046526670456,0.22961433231830597
produced,0.17719948291778564,0.25678005814552307,0.1870262175798416,1.0000001192092896,0.19831010699272156,0.20797565579414368,0.23704779148101807,0.18712371587753296,0.22045251727104187,0.1774824857711792,0.11131899803876877,0.18961067497730255,0.22045251727104187,0.16089439392089844,0.11324847489595413,0.1623450517654419
solely,0.2691812813282013,0.23670457303524017,0.20885875821113586,0.2141856700181961,0.18940754234790802,0.18864069879055023,0.1777813583612442,0.32246771454811096,0.3111725449562073,0.26430001854896545,0.10137290507555008,0.25502604246139526,0.3111725449562073,0.20724228024482727,0.2446676641702652,0.20999903976917267
by,0.34370526671409607,0.3899846076965332,0.1292176991701126,0.4647648334503174,0.3373257517814636,0.14195193350315094,0.1844359040260315,0.33887791633605957,0.4408751428127289,0.3321913778781891,0.18244759738445282,0.3646814823150635,0.4408751428127289,0.1893312931060791,0.23017624020576477,0.17966607213020325
