,in,what,model,do,grana,look,like,pancakes,?
in,1.0,0.30808621644973755,0.2267826348543167,0.23402775824069977,0.14713047444820404,0.16591975092887878,0.31010183691978455,0.2399512529373169,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.14028635621070862,0.30239659547805786,0.1994064897298813,0.2806221544742584,0.32912567257881165,0.26809951663017273,0.22068053483963013
helical,0.23940430581569672,0.25002196431159973,0.21076230704784393,0.1955568492412567,0.15172117948532104,0.1897478550672531,0.23739326000213623,0.23562374711036682,0.12295936793088913
thylakoid,0.17373895645141602,0.20312407612800598,0.1647818684577942,0.2739792764186859,0.3266880214214325,0.2530823051929474,0.28998255729675293,0.23445259034633636,0.19202344119548798
model,0.2267826348543167,0.2303347885608673,1.0000001192092896,0.12848353385925293,0.18403860926628113,0.1704413741827011,0.17645251750946045,0.12462392449378967,0.14843042194843292
",",0.5201468467712402,0.3087472915649414,0.244965597987175,0.3283645510673523,0.2331293672323227,0.3016788363456726,0.4085598886013031,0.27975964546203613,0.31091248989105225
grana,0.14713047444820404,0.12482953071594238,0.18403860926628113,0.15412117540836334,1.0,0.12888182699680328,0.12753435969352722,0.190858855843544,0.1099926009774208
consist,0.25787875056266785,0.15849626064300537,0.12593457102775574,0.2415720373392105,0.16236050426959991,0.1707257777452469,0.2953990697860718,0.2809418737888336,0.04707268625497818
of,0.5696388483047485,0.33290785551071167,0.18271391093730927,0.26150479912757874,0.22976471483707428,0.21060073375701904,0.3244853615760803,0.21088753640651703,0.1826142966747284
a,0.539380669593811,0.3320399522781372,0.29218459129333496,0.26237669587135315,0.20700667798519135,0.23710425198078156,0.38655611872673035,0.2537707984447479,0.23916715383529663
stack,0.1475137621164322,0.26367607712745667,0.24533702433109283,0.19006256759166718,0.07969458401203156,0.3097069561481476,0.28925836086273193,0.27341964840888977,0.23750631511211395
of,0.5696388483047485,0.33290785551071167,0.18271391093730927,0.26150479912757874,0.22976471483707428,0.21060073375701904,0.3244853615760803,0.21088753640651703,0.1826142966747284
flattened,0.17907880246639252,0.17925192415714264,0.15409699082374573,0.22649505734443665,0.2286701798439026,0.32439151406288147,0.40324145555496216,0.2783169150352478,0.14000996947288513
circular,0.16191816329956055,0.20507359504699707,0.24914099276065826,0.16983886063098907,0.19912056624889374,0.27939510345458984,0.3032497465610504,0.24835316836833954,0.11291391402482986
granal,0.22007456421852112,0.15025797486305237,0.179660364985466,0.12559494376182556,0.7843918204307556,0.14689721167087555,0.11500677466392517,0.20169168710708618,0.11100257933139801
thylakoids,0.19204016029834747,0.18655724823474884,0.12507212162017822,0.2835867404937744,0.31276199221611023,0.29111847281455994,0.3281303942203522,0.2614251375198364,0.17522360384464264
that,0.435920387506485,0.6297725439071655,0.16250061988830566,0.44533252716064453,0.15312106907367706,0.3872837722301483,0.5397313237190247,0.2083909958600998,0.32716336846351624
resemble,0.21878932416439056,0.2502787411212921,0.21832533180713654,0.19048118591308594,0.21358747780323029,0.43931832909584045,0.4419601857662201,0.2369752675294876,0.09784040600061417
pancakes,0.2399512529373169,0.2202543020248413,0.12462392449378967,0.1629621982574463,0.190858855843544,0.17528162896633148,0.23719264566898346,1.0,0.13566060364246368
.,0.5591574311256409,0.3567904531955719,0.1938832700252533,0.3613996207714081,0.185146301984787,0.3426704406738281,0.393751323223114,0.17917954921722412,0.4130953550338745
