,what,was,intended,to,take,a,csm,and,lm,",",fully,fueled,",",to,the,moon,?
the,0.42745697498321533,0.48711544275283813,0.29853108525276184,0.535392165184021,0.31620436906814575,0.5829201340675354,0.15609420835971832,0.5171257257461548,0.25534775853157043,0.4933079481124878,0.2750830352306366,0.17533089220523834,0.4933079481124878,0.535392165184021,1.0,0.23613092303276062,0.22068053483963013
three-stage,0.28242170810699463,0.2916625738143921,0.23809345066547394,0.31171131134033203,0.3078911304473877,0.3501368761062622,0.21199344098567963,0.3519040644168854,0.20864856243133545,0.32764673233032227,0.2515873312950134,0.29629796743392944,0.32764673233032227,0.31171131134033203,0.40471455454826355,0.24694617092609406,0.24989326298236847
saturn,0.12153393030166626,0.24932558834552765,0.1714949607849121,0.18787172436714172,0.16102086007595062,0.20805643498897552,0.33487534523010254,0.18160289525985718,0.2892628610134125,0.22104106843471527,0.1244385838508606,0.2196943163871765,0.22104106843471527,0.18787172436714172,0.24189656972885132,0.5790216326713562,0.1619711071252823
v,0.16628342866897583,0.16128918528556824,0.17383375763893127,0.2109750658273697,0.09648798406124115,0.21861357986927032,0.26196232438087463,0.19040757417678833,0.20622140169143677,0.22053663432598114,0.15919147431850433,0.14854277670383453,0.22053663432598114,0.2109750658273697,0.18580520153045654,0.10153426229953766,0.28677162528038025
was,0.22111038863658905,1.0000001192092896,0.2740823030471802,0.3636345863342285,0.15919329226016998,0.4508470594882965,0.15221786499023438,0.3740963041782379,0.14216841757297516,0.45456063747406006,0.22765973210334778,0.276437908411026,0.45456063747406006,0.3636345863342285,0.48711544275283813,0.18183675408363342,0.18412111699581146
designed,0.15902110934257507,0.28384989500045776,0.4950100779533386,0.3077097535133362,0.19009709358215332,0.28430381417274475,0.18946874141693115,0.2359010875225067,0.1511140763759613,0.201692596077919,0.2628755569458008,0.1797342300415039,0.201692596077919,0.3077097535133362,0.2559613883495331,0.1378369778394699,0.11213942617177963
to,0.455847829580307,0.3636345863342285,0.48327770829200745,1.0,0.4075521230697632,0.45503583550453186,0.11701257526874542,0.48971283435821533,0.17625956237316132,0.44245919585227966,0.30777493119239807,0.1734107881784439,0.44245919585227966,1.0,0.535392165184021,0.17707908153533936,0.29463258385658264
send,0.28887391090393066,0.11789905279874802,0.30253374576568604,0.3854542672634125,0.4471520483493805,0.2153356671333313,0.1447778195142746,0.3002150058746338,0.12934845685958862,0.24667364358901978,0.1569632589817047,0.08687876164913177,0.24667364358901978,0.3854542672634125,0.2581755518913269,0.21667833626270294,0.1784207671880722
a,0.3320399522781372,0.4508470594882965,0.31608664989471436,0.45503583550453186,0.2789212465286255,1.0,0.19198624789714813,0.3739250600337982,0.1819782704114914,0.427140474319458,0.25668543577194214,0.19372175633907318,0.427140474319458,0.45503583550453186,0.5829201340675354,0.23150557279586792,0.23916715383529663
fully,0.3561125099658966,0.22765973210334778,0.29668813943862915,0.30777493119239807,0.2169455885887146,0.25668543577194214,0.23570440709590912,0.23881065845489502,0.2657141089439392,0.2252698540687561,0.9999998807907104,0.17225521802902222,0.2252698540687561,0.30777493119239807,0.2750830352306366,0.16411103308200836,0.2089291661977768
fueled,0.14996778964996338,0.276437908411026,0.1936866194009781,0.1734107881784439,0.08026584982872009,0.19372175633907318,0.26585015654563904,0.20658761262893677,0.18606500327587128,0.215896874666214,0.17225521802902222,0.9999998807907104,0.215896874666214,0.1734107881784439,0.17533089220523834,0.17686763405799866,0.11968302726745605
csm,0.16508343815803528,0.15221786499023438,0.2288256287574768,0.11701257526874542,0.09028736501932144,0.19198624789714813,0.9999998807907104,0.15724779665470123,0.4229579269886017,0.20636554062366486,0.23570440709590912,0.26585015654563904,0.20636554062366486,0.11701257526874542,0.15609420835971832,0.3297808766365051,0.19925744831562042
and,0.31309178471565247,0.3740963041782379,0.21507462859153748,0.48971283435821533,0.296702116727829,0.3739250600337982,0.15724779665470123,1.0,0.15283863246440887,0.6633074283599854,0.23881065845489502,0.20658761262893677,0.6633074283599854,0.48971283435821533,0.5171257257461548,0.2018347829580307,0.20544172823429108
lm,0.22412168979644775,0.14216841757297516,0.21655592322349548,0.17625956237316132,0.14024771749973297,0.1819782704114914,0.4229579269886017,0.15283863246440887,1.0000001192092896,0.15934062004089355,0.2657141089439392,0.18606500327587128,0.15934062004089355,0.17625956237316132,0.25534775853157043,0.3554265797138214,0.2270602136850357
to,0.455847829580307,0.3636345863342285,0.48327770829200745,1.0,0.4075521230697632,0.45503583550453186,0.11701257526874542,0.48971283435821533,0.17625956237316132,0.44245919585227966,0.30777493119239807,0.1734107881784439,0.44245919585227966,1.0,0.535392165184021,0.17707908153533936,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,0.29853108525276184,0.535392165184021,0.31620436906814575,0.5829201340675354,0.15609420835971832,0.5171257257461548,0.25534775853157043,0.4933079481124878,0.2750830352306366,0.17533089220523834,0.4933079481124878,0.535392165184021,1.0,0.23613092303276062,0.22068053483963013
moon,0.15898863971233368,0.18183675408363342,0.19858910143375397,0.17707908153533936,0.1969168335199356,0.23150557279586792,0.3297808766365051,0.2018347829580307,0.3554265797138214,0.18567080795764923,0.16411103308200836,0.17686763405799866,0.18567080795764923,0.17707908153533936,0.23613092303276062,1.0,0.1442703753709793
.,0.3567904531955719,0.40146201848983765,0.18925566971302032,0.4645031690597534,0.3045158088207245,0.50484299659729,0.23357412219047546,0.588965117931366,0.22923575341701508,0.6812511086463928,0.2809041440486908,0.17096124589443207,0.6812511086463928,0.4645031690597534,0.5934505462646484,0.2040150910615921,0.4130953550338745
