,what,was,the,forerunner,of,the,modern-day,ieee,?
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.2702838182449341,0.18837453424930573,0.1324402391910553,0.2952616214752197,0.3623356223106384,0.10250775516033173
served,0.1271134465932846,0.35597074031829834,0.25209251046180725,0.23461943864822388,0.2967056334018707,0.25209251046180725,0.19402144849300385,0.12486335635185242,0.117141492664814
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.19402161240577698,0.3886612355709076,0.48381632566452026,0.26096105575561523,0.1882835477590561,0.27043893933296204
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2831423580646515,0.5052502155303955,0.5829201340675354,0.2843576967716217,0.16850139200687408,0.23916715383529663
vice,0.13314306735992432,0.22215546667575836,0.2412198781967163,0.21595166623592377,0.21141734719276428,0.2412198781967163,0.1605319380760193,0.21847063302993774,0.1369185745716095
president,0.1870913952589035,0.2505730390548706,0.24330610036849976,0.23188470304012299,0.21610750257968903,0.24330610036849976,0.2160147875547409,0.2169038951396942,0.14148259162902832
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23956505954265594,1.0,0.733189046382904,0.27121108770370483,0.2129846066236496,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2814067304134369,0.733189046382904,1.0,0.3206247389316559,0.1838465929031372,0.22068053483963013
american,0.1909721940755844,0.31632548570632935,0.24562937021255493,0.233587846159935,0.22180068492889404,0.24562937021255493,0.2462172657251358,0.24350228905677795,0.18877598643302917
institute,0.17608846724033356,0.25862374901771545,0.24399729073047638,0.31698378920555115,0.2977932393550873,0.24399729073047638,0.2607114613056183,0.3035942316055298,0.115291528403759
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23956505954265594,1.0,0.733189046382904,0.27121108770370483,0.2129846066236496,0.1826142966747284
electrical,0.19961315393447876,0.2032313495874405,0.2523402273654938,0.2807043790817261,0.23057208955287933,0.2523402273654938,0.24140797555446625,0.37310829758644104,0.10923371464014053
engineers,0.259060800075531,0.21913187205791473,0.25282254815101624,0.24821928143501282,0.189129039645195,0.25282254815101624,0.2562360167503357,0.33787575364112854,0.18139411509037018
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.16085320711135864,0.4946078956127167,0.4933079481124878,0.31467822194099426,0.24352361261844635,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.2814067304134369,0.733189046382904,1.0,0.3206247389316559,0.1838465929031372,0.22068053483963013
forerunner,0.16314412653446198,0.2848304808139801,0.2814067304134369,0.9999999403953552,0.23956505954265594,0.2814067304134369,0.3799912631511688,0.23890851438045502,0.11524749547243118
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.15771563351154327,0.35032153129577637,0.33289089798927307,0.24719898402690887,0.23260299861431122,0.40561532974243164
along,0.22421957552433014,0.24175575375556946,0.39495137333869934,0.12665881216526031,0.34889817237854004,0.39495137333869934,0.1733405888080597,0.16813218593597412,0.17134909331798553
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.11617525666952133,0.41827285289764404,0.4223487675189972,0.2160293161869049,0.20541632175445557,0.2433311939239502
the,0.42745697498321533,0.48711544275283813,1.0,0.2814067304134369,0.733189046382904,1.0,0.3206247389316559,0.1838465929031372,0.22068053483963013
institute,0.17608846724033356,0.25862374901771545,0.24399729073047638,0.31698378920555115,0.2977932393550873,0.24399729073047638,0.2607114613056183,0.3035942316055298,0.115291528403759
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23956505954265594,1.0,0.733189046382904,0.27121108770370483,0.2129846066236496,0.1826142966747284
radio,0.16863368451595306,0.20381812751293182,0.23511973023414612,0.17065481841564178,0.16079017519950867,0.23511973023414612,0.2551240921020508,0.26406601071357727,0.08763375133275986
engineers,0.259060800075531,0.21913187205791473,0.25282254815101624,0.24821928143501282,0.189129039645195,0.25282254815101624,0.2562360167503357,0.33787575364112854,0.18139411509037018
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.15463894605636597,0.3680361211299896,0.3456730246543884,0.26119497418403625,0.22289595007896423,0.42300865054130554
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23956505954265594,1.0,0.733189046382904,0.27121108770370483,0.2129846066236496,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2814067304134369,0.733189046382904,1.0,0.3206247389316559,0.1838465929031372,0.22068053483963013
modern-day,0.3245202898979187,0.3210471272468567,0.3206247389316559,0.3799912631511688,0.27121108770370483,0.3206247389316559,0.9999999403953552,0.26375576853752136,0.2257315069437027
ieee,0.14314574003219604,0.14395272731781006,0.1838465929031372,0.23890851438045502,0.2129846066236496,0.1838465929031372,0.26375576853752136,1.0,0.16785793006420135
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.16085320711135864,0.4946078956127167,0.4933079481124878,0.31467822194099426,0.24352361261844635,0.31091248989105225
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.18347573280334473,0.4249346852302551,0.40150508284568787,0.22400224208831787,0.023023417219519615,0.19969791173934937
1892,-0.018924584612250328,0.010261036455631256,0.1010928824543953,-0.06132245436310768,0.06631195545196533,0.1010928824543953,0.06354222446680069,-0.026802396401762962,-0.03980826586484909
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.13121427595615387,0.41548454761505127,0.535392165184021,0.2658022344112396,0.1780811995267868,0.29463258385658264
1894,0.07307696342468262,0.19647718966007233,0.16498081386089325,0.042703378945589066,0.21172243356704712,0.16498081386089325,0.14981062710285187,-0.02852693200111389,0.1500938981771469
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.221965953707695,0.5352458953857422,0.5934505462646484,0.29782742261886597,0.20208533108234406,0.4130953550338745
