,what,special,audio,recording,was,released,for,the,40th,anniversary,?
to,0.455847829580307,0.28623831272125244,0.17755460739135742,0.20760086178779602,0.3636345863342285,0.21765387058258057,0.4451248347759247,0.535392165184021,0.18511655926704407,0.16979461908340454,0.29463258385658264
celebrate,0.21552272140979767,0.26470762491226196,0.0858602523803711,0.16139040887355804,0.21851348876953125,0.11180666089057922,0.21948079764842987,0.2793319821357727,0.15543615818023682,0.5735248923301697,0.21275196969509125
the,0.42745697498321533,0.3027077615261078,0.19614098966121674,0.2685704827308655,0.48711544275283813,0.24578391015529633,0.4739971458911896,1.0,0.23304851353168488,0.29318708181381226,0.22068053483963013
40th,0.18865251541137695,0.11889999359846115,0.18639683723449707,0.16013067960739136,0.16539856791496277,0.18892307579517365,0.18838761746883392,0.23304851353168488,1.0,0.24856117367744446,0.0836496576666832
anniversary,0.15616674721240997,0.3297252953052521,0.19114266335964203,0.21561017632484436,0.28924626111984253,0.30425864458084106,0.24768374860286713,0.29318708181381226,0.24856117367744446,1.0,0.1981802135705948
in,0.30808621644973755,0.2897285223007202,0.12252579629421234,0.2528064250946045,0.45514053106307983,0.2659924626350403,0.4322226941585541,0.6662389636039734,0.13990257680416107,0.25491592288017273,0.20430970191955566
2003,-0.17906495928764343,-0.1112508773803711,0.03430483862757683,0.09947379678487778,-0.14445069432258606,0.18538565933704376,-0.12971410155296326,-0.14761915802955627,0.1133333370089531,-0.03392336517572403,-0.17560148239135742
",",0.3087472915649414,0.23880577087402344,0.19032666087150574,0.26766908168792725,0.45456063747406006,0.2775750756263733,0.4464869201183319,0.4933079481124878,0.12832628190517426,0.20396199822425842,0.31091248989105225
an,0.2821882665157318,0.19840748608112335,0.183404803276062,0.25948628783226013,0.3694365322589874,0.15115685760974884,0.3236706852912903,0.4207492768764496,0.20738162100315094,0.13877741992473602,0.19793890416622162
audio,0.1803951859474182,0.1697750836610794,1.0,0.4841238558292389,0.12714031338691711,0.24554280936717987,0.2392863929271698,0.19614098966121674,0.18639683723449707,0.19114266335964203,0.14977853000164032
drama,0.21173490583896637,0.1532471925020218,0.2792806029319763,0.18292087316513062,0.23157335817813873,0.2131873518228531,0.22676996886730194,0.2408958077430725,0.08390043675899506,0.11997956037521362,0.21114452183246613
titled,0.21236079931259155,0.22411590814590454,0.2433909773826599,0.3110889494419098,0.26757439970970154,0.565670371055603,0.19508877396583557,0.267250657081604,0.13058115541934967,0.35536715388298035,0.23354937136173248
zagreus,0.15790869295597076,0.12452410161495209,0.15791307389736176,0.12948669493198395,0.18729132413864136,0.11394750326871872,0.13305552303791046,0.21099844574928284,0.046943727880716324,0.17180098593235016,0.15545772016048431
