,what,served,as,a,justification,for,imposing,imperialistic,policies,on,certain,peoples,or,regions,?
the,0.42745697498321533,0.25209251046180725,0.48381632566452026,0.5829201340675354,0.26831284165382385,0.4739971458911896,0.21148686110973358,0.2731722891330719,0.22566401958465576,0.5107308030128479,0.392071396112442,0.3388310670852661,0.4174870550632477,0.36158451437950134,0.22068053483963013
concept,0.28724339604377747,0.09437885135412216,0.26051822304725647,0.29586365818977356,0.41107696294784546,0.24192313849925995,0.2021377980709076,0.3213779032230377,0.30397829413414,0.19591249525547028,0.34462058544158936,0.1806388944387436,0.2812420427799225,0.17222994565963745,0.17160645127296448
environmental,0.16198831796646118,0.16625085473060608,0.23170624673366547,0.22703608870506287,0.2564709186553955,0.2977549731731415,0.2995786964893341,0.2497461885213852,0.3403283655643463,0.20105937123298645,0.291689395904541,0.2366413027048111,0.3004831373691559,0.25436192750930786,0.19728143513202667
determinism,0.404575914144516,0.13399550318717957,0.290753036737442,0.3134007751941681,0.462643563747406,0.2835916578769684,0.3432953953742981,0.40165677666664124,0.43158742785453796,0.19977809488773346,0.4671204090118408,0.25192171335220337,0.3337767422199249,0.22430981695652008,0.30780893564224243
served,0.1271134465932846,1.0000001192092896,0.35688039660453796,0.19521114230155945,0.04983660206198692,0.23524442315101624,0.15354183316230774,0.13779856264591217,0.17018230259418488,0.18530599772930145,0.11567226052284241,0.15811152756214142,0.18323823809623718,0.1575777679681778,0.117141492664814
as,0.31749409437179565,0.35688039660453796,1.0,0.39550232887268066,0.26791077852249146,0.44774648547172546,0.22978781163692474,0.24923013150691986,0.27189746499061584,0.36047765612602234,0.33222660422325134,0.24019794166088104,0.4400654137134552,0.1956164389848709,0.27043893933296204
a,0.3320399522781372,0.19521114230155945,0.39550232887268066,1.0,0.31046465039253235,0.44038116931915283,0.21695511043071747,0.21167249977588654,0.1655852198600769,0.3848365545272827,0.369277685880661,0.1869891732931137,0.48853766918182373,0.21088102459907532,0.23916715383529663
moral,0.3679145574569702,0.11590275913476944,0.1960955560207367,0.2165852189064026,0.3891794979572296,0.2581615149974823,0.3549443185329437,0.4122508466243744,0.4141118824481964,0.13754414021968842,0.30213794112205505,0.25241535902023315,0.2179391086101532,0.12140192091464996,0.2608962953090668
justification,0.41217631101608276,0.04983660206198692,0.26791077852249146,0.31046465039253235,1.0,0.3395598828792572,0.3276726305484772,0.295436292886734,0.3521157205104828,0.27333176136016846,0.37744009494781494,0.20102688670158386,0.34312984347343445,0.1995091289281845,0.4005378186702728
for,0.3017193675041199,0.23524442315101624,0.44774648547172546,0.44038116931915283,0.3395598828792572,0.9999999403953552,0.35134100914001465,0.15795865654945374,0.2570570409297943,0.36199691891670227,0.3654305636882782,0.21658408641815186,0.4111599624156952,0.1788649559020996,0.264628142118454
domination,0.2354229837656021,0.13498622179031372,0.286222368478775,0.2537585496902466,0.33824285864830017,0.27632057666778564,0.28482601046562195,0.33201315999031067,0.2860829830169678,0.2389063537120819,0.22506961226463318,0.28390151262283325,0.18973983824253082,0.2604212760925293,0.14703449606895447
of,0.33290785551071167,0.2967056334018707,0.3886612355709076,0.5052502155303955,0.2991276681423187,0.4185989499092102,0.24550512433052063,0.2847146987915039,0.210641011595726,0.3966929316520691,0.40204232931137085,0.2785113751888275,0.3792596757411957,0.3694140613079071,0.1826142966747284
certain,0.4561643898487091,0.11567226052284241,0.33222660422325134,0.369277685880661,0.37744009494781494,0.3654305636882782,0.38318341970443726,0.25603488087654114,0.31628093123435974,0.22485196590423584,1.0,0.21562238037586212,0.49912479519844055,0.21946196258068085,0.2516106069087982
territories,0.2053624987602234,0.15556812286376953,0.2565692961215973,0.15218117833137512,0.21528327465057373,0.18598879873752594,0.23817729949951172,0.24855880439281464,0.2654891014099121,0.15933862328529358,0.19541886448860168,0.36073416471481323,0.2796143591403961,0.45601460337638855,0.11298645287752151
and,0.31309178471565247,0.2463700920343399,0.49487000703811646,0.3739250600337982,0.22579629719257355,0.5064792633056641,0.29631507396698,0.19888095557689667,0.2788451910018921,0.4077630043029785,0.36360108852386475,0.26327288150787354,0.4713204801082611,0.30318012833595276,0.20544172823429108
peoples,0.26138749718666077,0.15811152756214142,0.24019794166088104,0.1869891732931137,0.20102688670158386,0.21658408641815186,0.1577673703432083,0.26965904235839844,0.33590078353881836,0.19334763288497925,0.21562238037586212,1.0,0.2795569896697998,0.345084547996521,0.2085462063550949
.,0.3567904531955719,0.2476729303598404,0.515582263469696,0.50484299659729,0.27713653445243835,0.4726039469242096,0.22333645820617676,0.23863494396209717,0.226143017411232,0.49257001280784607,0.2603873014450073,0.24406372010707855,0.36683785915374756,0.25618889927864075,0.4130953550338745
