,a,satellite,that,measured,the,amount,of,dust,going,to,the,amazon,was,named,what,?
nasa,0.19403119385242462,0.4262261390686035,0.26653343439102173,0.22957336902618408,0.19786997139453888,0.19989699125289917,0.17935146391391754,0.3085649311542511,0.17526455223560333,0.21193136274814606,0.19786997139453888,0.1661357581615448,0.19417528808116913,0.22736896574497223,0.21178755164146423,0.1809994876384735
's,0.04866964742541313,0.1227913498878479,0.04397977516055107,-0.01571306400001049,-0.01540423184633255,0.051227446645498276,-0.03817026689648628,-0.038515426218509674,0.03676856681704521,0.03782717138528824,-0.01540423184633255,0.062328040599823,0.008974763564765453,-0.06022389233112335,0.02692362666130066,-0.023395681753754616
calipso,0.2599765658378601,0.2711276412010193,0.27075010538101196,0.2540299594402313,0.31254130601882935,0.19801068305969238,0.2694573700428009,0.25767600536346436,0.18851232528686523,0.25877487659454346,0.31254130601882935,0.19004616141319275,0.28360360860824585,0.18933674693107605,0.2718275785446167,0.2649646997451782
satellite,0.1919553577899933,0.9999999403953552,0.21998104453086853,0.2683982253074646,0.22563834488391876,0.12078920006752014,0.1683834195137024,0.29698875546455383,0.14713914692401886,0.19631412625312805,0.22563834488391876,0.12525847554206848,0.21137270331382751,0.1508263498544693,0.17739586532115936,0.13568443059921265
has,0.4670248031616211,0.13467611372470856,0.41272613406181335,0.20514222979545593,0.4177538752555847,0.306355357170105,0.3909035325050354,0.14267772436141968,0.23140324652194977,0.3619994819164276,0.4177538752555847,0.1779293268918991,0.40313825011253357,0.24984464049339294,0.20338068902492523,0.15994466841220856
measured,0.274161696434021,0.2683982253074646,0.2979315221309662,1.0000001192092896,0.279002845287323,0.4279309809207916,0.26447921991348267,0.23971869051456451,0.19395381212234497,0.20595905184745789,0.279002845287323,0.1639031171798706,0.21089020371437073,0.1968020349740982,0.23318471014499664,0.17351430654525757
the,0.5829201340675354,0.22563834488391876,0.5473989248275757,0.279002845287323,1.0,0.3336862325668335,0.733189046382904,0.2346910536289215,0.38693177700042725,0.535392165184021,1.0,0.260541707277298,0.48711544275283813,0.3521348536014557,0.42745697498321533,0.22068053483963013
amount,0.3439450263977051,0.12078920006752014,0.3969508707523346,0.4279309809207916,0.3336862325668335,1.0000001192092896,0.2541177570819855,0.2806089520454407,0.28216761350631714,0.309798926115036,0.3336862325668335,0.1940114051103592,0.18062427639961243,0.13456743955612183,0.2602839767932892,0.17984020709991455
of,0.5052502155303955,0.1683834195137024,0.41498205065727234,0.26447921991348267,0.733189046382904,0.2541177570819855,1.0,0.25486329197883606,0.2849585711956024,0.41548454761505127,0.733189046382904,0.20143137872219086,0.4069072902202606,0.2820465862751007,0.33290785551071167,0.1826142966747284
dust,0.24757064878940582,0.29698875546455383,0.26238390803337097,0.23971869051456451,0.2346910536289215,0.2806089520454407,0.25486329197883606,1.0,0.2062133252620697,0.26756495237350464,0.2346910536289215,0.13802170753479004,0.127471461892128,0.1062844768166542,0.1907336562871933,0.15803812444210052
