,what,must,a,public,school,teacher,have,",",at,a,minimum,?
public,0.1729622185230255,0.20053406059741974,0.19607044756412506,1.0000001192092896,0.3342896103858948,0.23250755667686462,0.20625129342079163,0.2588968276977539,0.2642328441143036,0.19607044756412506,0.17663677036762238,0.19872993230819702
school,0.18774057924747467,0.12960760295391083,0.2245093584060669,0.3342896103858948,1.0,0.5442529320716858,0.16803227365016937,0.27141863107681274,0.3177914023399353,0.2245093584060669,0.12233806401491165,0.15091250836849213
teachers,0.2526462972164154,0.2154170721769333,0.2509842813014984,0.2875809669494629,0.5544193387031555,0.7334206104278564,0.25109589099884033,0.28049156069755554,0.24201591312885284,0.2509842813014984,0.2079278975725174,0.19522249698638916
are,0.29724663496017456,0.3923934996128082,0.265255331993103,0.18111367523670197,0.17021894454956055,0.09182974696159363,0.6577680706977844,0.4062570035457611,0.2074895054101944,0.265255331993103,0.2468518614768982,0.24591213464736938
required,0.2506856620311737,0.5655253529548645,0.2891559302806854,0.2336549460887909,0.12424878776073456,0.1378142237663269,0.3672355115413666,0.22653338313102722,0.21554028987884521,0.2891559302806854,0.4974025785923004,0.24962718784809113
to,0.455847829580307,0.43356871604919434,0.45503583550453186,0.2672370672225952,0.24496325850486755,0.1991342306137085,0.4544740617275238,0.44245919585227966,0.36524343490600586,0.45503583550453186,0.3115387558937073,0.29463258385658264
have,0.39808809757232666,0.4243750274181366,0.338716596364975,0.20625129342079163,0.16803227365016937,0.1317407637834549,0.9999999403953552,0.3541618287563324,0.29004791378974915,0.338716596364975,0.32716280221939087,0.32991164922714233
a,0.3320399522781372,0.3016769587993622,1.0,0.19607044756412506,0.2245093584060669,0.31202319264411926,0.338716596364975,0.427140474319458,0.3095070421695709,1.0,0.2512331008911133,0.23916715383529663
bachelor,0.19332286715507507,0.18361373245716095,0.22000035643577576,0.22116142511367798,0.3817576766014099,0.3718288540840149,0.173448383808136,0.23690266907215118,0.21983245015144348,0.22000035643577576,0.1785004884004593,0.07728833705186844
's,0.02692362666130066,-0.018240178003907204,0.04866964742541313,0.060657959431409836,-0.017113132402300835,0.026857737451791763,-0.02807004563510418,-0.0016132977325469255,-0.08481216430664062,0.04866964742541313,0.00876589585095644,-0.023395681753754616
degree,0.21753965318202972,0.19267340004444122,0.25289660692214966,0.21038870513439178,0.35715365409851074,0.3298501670360565,0.20459823310375214,0.1912073791027069,0.24126897752285004,0.25289660692214966,0.22626063227653503,0.1060895025730133
and,0.31309178471565247,0.33253467082977295,0.3739250600337982,0.3227643668651581,0.2752758264541626,0.27571162581443787,0.4711785912513733,0.6633074283599854,0.3571503460407257,0.3739250600337982,0.2258012443780899,0.20544172823429108
the,0.42745697498321533,0.2713140547275543,0.5829201340675354,0.22857438027858734,0.22953221201896667,0.17760860919952393,0.40389683842658997,0.4933079481124878,0.457212895154953,0.5829201340675354,0.21698720753192902,0.22068053483963013
majority,0.25967487692832947,0.2850387692451477,0.227370023727417,0.1944836527109146,0.1587255746126175,0.14975807070732117,0.36177510023117065,0.30214112997055054,0.18278247117996216,0.227370023727417,0.2679350972175598,0.220119908452034
must,0.30362528562545776,1.0,0.3016769587993622,0.20053406059741974,0.12960760295391083,0.15526846051216125,0.4243750274181366,0.2231246829032898,0.19656646251678467,0.3016769587993622,0.4248969256877899,0.23707495629787445
be,0.3929833769798279,0.4737209677696228,0.39883795380592346,0.22898490726947784,0.16095811128616333,0.1891087293624878,0.5760743618011475,0.39254459738731384,0.30379733443260193,0.39883795380592346,0.2872525155544281,0.3324260413646698
certified,0.13830743730068207,0.25584298372268677,0.21510609984397888,0.2368624210357666,0.2304421365261078,0.2598239779472351,0.2182043045759201,0.2597894072532654,0.186055988073349,0.21510609984397888,0.2490842342376709,0.20531779527664185
by,0.2455483376979828,0.2841154634952545,0.32094135880470276,0.23323717713356018,0.1477794349193573,0.16136689484119415,0.3359639644622803,0.3680937886238098,0.2368064820766449,0.32094135880470276,0.11923009902238846,0.17966607213020325
the,0.42745697498321533,0.2713140547275543,0.5829201340675354,0.22857438027858734,0.22953221201896667,0.17760860919952393,0.40389683842658997,0.4933079481124878,0.457212895154953,0.5829201340675354,0.21698720753192902,0.22068053483963013
state,0.24273863434791565,0.19476543366909027,0.25097307562828064,0.33038130402565,0.22666531801223755,0.18919621407985687,0.2083192616701126,0.29481780529022217,0.2408173680305481,0.25097307562828064,0.18049170076847076,0.1160883978009224
in,0.30808621644973755,0.18276341259479523,0.539380669593811,0.29074716567993164,0.26157811284065247,0.22632350027561188,0.36843645572662354,0.5201468467712402,0.4374977946281433,0.539380669593811,0.16051530838012695,0.20430970191955566
which,0.5261979103088379,0.3048936426639557,0.56894451379776,0.2544276714324951,0.19108018279075623,0.1306145042181015,0.49652695655822754,0.3658004403114319,0.3286694884300232,0.56894451379776,0.2446252405643463,0.25814583897590637
they,0.4431931674480438,0.3667615056037903,0.3528250455856323,0.2280491590499878,0.20544153451919556,0.1623399555683136,0.6542890071868896,0.390799880027771,0.29493749141693115,0.3528250455856323,0.2392612099647522,0.2753053903579712
teach,0.2818700671195984,0.2412443310022354,0.18608243763446808,0.24943679571151733,0.4499453604221344,0.6285144090652466,0.2843714654445648,0.22192275524139404,0.18018215894699097,0.18608243763446808,0.09051086008548737,0.24188745021820068
.,0.3567904531955719,0.27722811698913574,0.50484299659729,0.21888655424118042,0.24214158952236176,0.225234717130661,0.41614407300949097,0.6812511086463928,0.4549728035926819,0.50484299659729,0.16740559041500092,0.4130953550338745
