,more,in,the,present,prevalence,of,civil,disobedience,has,turned,and,said,to,be,?
it,0.42550966143608093,0.5130809545516968,0.6251175999641418,0.20883789658546448,0.31089383363723755,0.38761502504348755,0.17707513272762299,0.2648297846317291,0.41962623596191406,0.25371870398521423,0.40957894921302795,0.3120289742946625,0.513711154460907,0.5203388929367065,0.25732165575027466
has,0.3442428410053253,0.4173259735107422,0.4177538752555847,0.21106018126010895,0.2857545018196106,0.3909035325050354,0.14805923402309418,0.11896127462387085,1.0,0.26693999767303467,0.43716782331466675,0.262355774641037,0.3619994819164276,0.3863394856452942,0.15994466841220856
been,0.34097588062286377,0.3515113592147827,0.3563927710056305,0.19942724704742432,0.2576139271259308,0.31685134768486023,0.16754008829593658,0.20087917149066925,0.6162750124931335,0.33955174684524536,0.3424558639526367,0.32838234305381775,0.34945759177207947,0.5304332375526428,0.24354910850524902
argued,0.19259075820446014,0.16827838122844696,0.1919303685426712,0.1465734988451004,0.22551016509532928,0.19172857701778412,0.22184301912784576,0.387824684381485,0.1626124083995819,0.28581953048706055,0.2601248323917389,0.47738319635391235,0.24650873243808746,0.2228209674358368,0.18905270099639893
that,0.4813884496688843,0.435920387506485,0.5473989248275757,0.25174012780189514,0.3225739300251007,0.41498205065727234,0.16867391765117645,0.3551425039768219,0.41272613406181335,0.3391176462173462,0.4731321930885315,0.5459781289100647,0.5436353087425232,0.6036020517349243,0.32716336846351624
the,0.39758381247520447,0.6662389636039734,1.0,0.2829846143722534,0.33086124062538147,0.733189046382904,0.2477465271949768,0.30963727831840515,0.4177538752555847,0.3414173722267151,0.5171257257461548,0.3024602234363556,0.535392165184021,0.4248143136501312,0.22068053483963013
term,0.2468089461326599,0.27866655588150024,0.2740369141101837,0.08431808650493622,0.36535537242889404,0.26047757267951965,0.15453830361366272,0.19347046315670013,0.1874341368675232,0.14918741583824158,0.22272127866744995,0.1903727501630783,0.3310292959213257,0.2703228294849396,0.1901002675294876
``,0.08673381805419922,0.04765888676047325,0.029072100296616554,0.027019305154681206,0.14351056516170502,0.06780257821083069,0.06784805655479431,0.06214885041117668,0.06254398077726364,-0.007577111944556236,0.036644238978624344,0.01132358517497778,0.06720756739377975,0.07670000940561295,0.0685480609536171
civil,0.17124666273593903,0.26466667652130127,0.2477465271949768,0.1145339086651802,0.15574370324611664,0.24698495864868164,1.0,0.5442691445350647,0.14805923402309418,0.15050475299358368,0.25259146094322205,0.18422499299049377,0.2019355595111847,0.18061059713363647,0.1494513899087906
disobedience,0.2029244303703308,0.3054615259170532,0.30963727831840515,0.14848285913467407,0.28591856360435486,0.31932318210601807,0.5442691445350647,1.0,0.11896127462387085,0.20539997518062592,0.3041999638080597,0.32107311487197876,0.30665844678878784,0.2944406270980835,0.19890835881233215
