,when,did,a,charlie,brown,christmas,debut,?
since,0.42774689197540283,0.27613121271133423,0.3303585946559906,0.12891601026058197,0.11217491328716278,0.21487246453762054,0.204682394862175,0.2876587212085724
2000,-0.05569573864340782,0.028451859951019287,-0.03899485245347023,0.1297251433134079,0.03080342710018158,0.07383152097463608,0.09040125459432602,-0.0824366956949234
",",0.36674630641937256,0.3015086054801941,0.427140474319458,0.1868017017841339,0.2983597218990326,0.2420792281627655,0.2218245416879654,0.31091248989105225
abc,0.13294127583503723,0.13353709876537323,0.21331243216991425,0.22581133246421814,0.21503302454948425,0.2213122695684433,0.15660154819488525,0.19065172970294952
has,0.34538573026657104,0.2124989777803421,0.4670248031616211,0.12863469123840332,0.1988092064857483,0.17057570815086365,0.1734793782234192,0.15994466841220856
also,0.5475645065307617,0.39334940910339355,0.5149940252304077,0.2415122538805008,0.23156113922595978,0.17967486381530762,0.21993643045425415,0.21848613023757935
owned,0.20093747973442078,0.20064307749271393,0.2226235419511795,0.15451498329639435,0.13222149014472961,0.07869386672973633,0.12725968658924103,0.1288648396730423
the,0.5091903209686279,0.34736719727516174,0.5829201340675354,0.19311991333961487,0.2198052853345871,0.2044597715139389,0.2226441204547882,0.22068053483963013
television,0.19077982008457184,0.17055591940879822,0.22552843391895294,0.245887890458107,0.1634519398212433,0.26987674832344055,0.27153444290161133,0.16825827956199646
rights,0.18668439984321594,0.2525300085544586,0.18041828274726868,0.06636357307434082,0.12140586227178574,0.13347859680652618,0.1076393574476242,0.21814769506454468
to,0.5423505902290344,0.4452643394470215,0.45503583550453186,0.12660323083400726,0.20498941838741302,0.17153602838516235,0.19055314362049103,0.29463258385658264
most,0.299309104681015,0.2822507321834564,0.3508910834789276,0.12231391668319702,0.14707887172698975,0.11837593466043472,0.20090222358703613,0.2107497900724411
of,0.3757161796092987,0.2513895630836487,0.5052502155303955,0.11434363573789597,0.19249911606311798,0.14198152720928192,0.12960465252399445,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.5829201340675354,0.19311991333961487,0.2198052853345871,0.2044597715139389,0.2226441204547882,0.22068053483963013
peanuts,0.1494666039943695,0.14613844454288483,0.23368777334690094,0.25971606373786926,0.2541823387145996,0.20399655401706696,0.14773407578468323,0.21211108565330505
television,0.19077982008457184,0.17055591940879822,0.22552843391895294,0.245887890458107,0.1634519398212433,0.26987674832344055,0.27153444290161133,0.16825827956199646
specials,0.17881999909877777,0.2083759605884552,0.28023573756217957,0.2969715893268585,0.23355868458747864,0.3211151957511902,0.2594543993473053,0.2582153379917145
",",0.36674630641937256,0.3015086054801941,0.427140474319458,0.1868017017841339,0.2983597218990326,0.2420792281627655,0.2218245416879654,0.31091248989105225
having,0.4296937882900238,0.3157401978969574,0.3929923176765442,0.12963157892227173,0.18995220959186554,0.25890958309173584,0.14108756184577942,0.22418256103992462
acquired,0.17706167697906494,0.13529880344867706,0.16495825350284576,0.0952393189072609,0.020179325714707375,0.06542125344276428,0.1355651468038559,0.09366346150636673
the,0.5091903209686279,0.34736719727516174,0.5829201340675354,0.19311991333961487,0.2198052853345871,0.2044597715139389,0.2226441204547882,0.22068053483963013
broadcast,0.2190258502960205,0.17054221034049988,0.2046348601579666,0.1608976274728775,0.1254318505525589,0.2067520022392273,0.2850082814693451,0.15760008990764618
