,what,element,did,gay-lussac,and,von,humboldt,discover,was,present,in,twice,the,amount,of,oxygen,in,water,?
in,0.30808621644973755,0.16983667016029358,0.2593238651752472,0.28750157356262207,0.4954058527946472,0.20116294920444489,0.2509552538394928,0.24369259178638458,0.45514053106307983,0.23905439674854279,1.0,0.2796696126461029,0.6662389636039734,0.2569429874420166,0.5696388483047485,0.1672476977109909,1.0,0.23966141045093536,0.20430970191955566
1805,0.21602052450180054,0.2693750262260437,0.13186289370059967,0.29224568605422974,0.10417203605175018,0.22957298159599304,0.1867707073688507,0.11903265863656998,0.0956914871931076,0.08278952538967133,0.13924241065979004,-0.05211297422647476,0.07773033529520035,0.21029247343540192,0.1114761084318161,0.23472291231155396,0.13924241065979004,0.1277482956647873,0.2008146047592163
",",0.3087472915649414,0.20181523263454437,0.3015086054801941,0.35187703371047974,0.6633074283599854,0.1878369003534317,0.3079424202442169,0.22755950689315796,0.45456063747406006,0.267320841550827,0.5201468467712402,0.32801246643066406,0.4933079481124878,0.21125462651252747,0.4946078956127167,0.21812842786312103,0.5201468467712402,0.26706066727638245,0.31091248989105225
joseph,0.20494906604290009,0.15521766245365143,0.19009922444820404,0.30048710107803345,0.181125670671463,0.25549161434173584,0.24170732498168945,0.2249092161655426,0.29824966192245483,0.07992208749055862,0.12985283136367798,0.09844981878995895,0.2251148819923401,0.10318142175674438,0.20551647245883942,0.17987263202667236,0.12985283136367798,0.1176806315779686,0.08421234786510468
louis,0.11922219395637512,0.1386382132768631,0.21384841203689575,0.37341931462287903,0.20344610512256622,0.2117578089237213,0.22487947344779968,0.18318906426429749,0.28063738346099854,0.06971365958452225,0.2117311805486679,0.18060719966888428,0.22078758478164673,0.1642094999551773,0.22437675297260284,0.15992575883865356,0.2117311805486679,0.11073611676692963,0.09819188714027405
gay-lussac,0.23380626738071442,0.23050157725811005,0.17461584508419037,1.0,0.27726590633392334,0.22360724210739136,0.19459812343120575,0.15881021320819855,0.28226131200790405,0.11012554913759232,0.28750157356262207,0.16602467000484467,0.32430681586265564,0.2522488832473755,0.2800648808479309,0.20498013496398926,0.28750157356262207,0.20963238179683685,0.20833362638950348
and,0.31309178471565247,0.16833719611167908,0.34479495882987976,0.27726590633392334,1.0,0.2179601788520813,0.23998232185840607,0.21819821000099182,0.3740963041782379,0.2790124714374542,0.4954058527946472,0.2709411084651947,0.5171257257461548,0.2668909728527069,0.5116966962814331,0.22261030972003937,0.4954058527946472,0.3054247498512268,0.20544172823429108
alexander,0.18212969601154327,0.09149913489818573,0.1759006232023239,0.19311286509037018,0.18737027049064636,0.298775851726532,0.33187592029571533,0.15792600810527802,0.2708682119846344,0.14991067349910736,0.18552854657173157,0.14101310074329376,0.24375919997692108,0.10675854235887527,0.24921993911266327,0.055781178176403046,0.18552854657173157,0.12197792530059814,0.120673269033432
von,0.18003655970096588,0.09396876394748688,0.22224590182304382,0.22360724210739136,0.2179601788520813,1.0,0.3820289969444275,0.15210573375225067,0.2042967826128006,0.10379407554864883,0.20116294920444489,0.07168233394622803,0.21817399561405182,0.08174360543489456,0.19899946451187134,0.12253249436616898,0.20116294920444489,0.07130954414606094,0.13907472789287567
humboldt,0.18697886168956757,0.14570681750774384,0.10777360945940018,0.19459812343120575,0.23998232185840607,0.3820289969444275,0.9999999403953552,0.20836657285690308,0.1848861277103424,0.19355182349681854,0.2509552538394928,0.1169009655714035,0.2799397110939026,0.13781094551086426,0.31566321849823,0.21801316738128662,0.2509552538394928,0.2621900737285614,0.14452582597732544
showed,0.23458190262317657,0.16183720529079437,0.36768215894699097,0.13341931998729706,0.2900308668613434,0.18810269236564636,0.1799885481595993,0.35776016116142273,0.36072292923927307,0.14612916111946106,0.3178827166557312,0.098061703145504,0.3101346790790558,0.2398216426372528,0.31843405961990356,0.20742985606193542,0.3178827166557312,0.18756967782974243,0.17389845848083496
that,0.6297725439071655,0.29008960723876953,0.47518548369407654,0.264098584651947,0.4731321930885315,0.18165160715579987,0.179372176527977,0.3221879005432129,0.33670201897621155,0.25174012780189514,0.435920387506485,0.26025718450546265,0.5473989248275757,0.3969508707523346,0.41498205065727234,0.2717767655849457,0.435920387506485,0.3326379060745239,0.32716336846351624
water,0.17456887662410736,0.22495520114898682,0.1909485161304474,0.20963238179683685,0.3054247498512268,0.07130954414606094,0.2621900737285614,0.16442744433879852,0.18750394880771637,0.11312227696180344,0.23966141045093536,0.19810961186885834,0.297396719455719,0.27906087040901184,0.2741255462169647,0.4692627191543579,0.23966141045093536,0.9999998807907104,0.14731885492801666
is,0.28837618231773376,0.3385811448097229,0.19247472286224365,0.2811174988746643,0.3859752118587494,0.11706341058015823,0.17141221463680267,0.21047036349773407,0.5810302495956421,0.1967432200908661,0.5394441485404968,0.272193044424057,0.5823672413825989,0.3016021251678467,0.4854315221309662,0.21825239062309265,0.5394441485404968,0.2879090905189514,0.22961433231830597
formed,0.15451857447624207,0.14462080597877502,0.17168700695037842,0.23213821649551392,0.27619341015815735,0.028620220720767975,0.18504676222801208,0.12812146544456482,0.3009849190711975,0.22220361232757568,0.27325257658958435,0.12216617912054062,0.28813210129737854,0.15196093916893005,0.2871689796447754,0.18376335501670837,0.27325257658958435,0.16529519855976105,0.09686966985464096
of,0.33290785551071167,0.21102571487426758,0.2513895630836487,0.2800648808479309,0.5116966962814331,0.19899946451187134,0.31566321849823,0.21607455611228943,0.4069072902202606,0.3116828501224518,0.5696388483047485,0.27436208724975586,0.733189046382904,0.2541177570819855,1.0,0.16848602890968323,0.5696388483047485,0.2741255462169647,0.1826142966747284
two,0.23363454639911652,0.1342625916004181,0.2755576968193054,0.244607612490654,0.4671151638031006,0.1465245485305786,0.16653189063072205,0.17481565475463867,0.27166637778282166,0.21460220217704773,0.36463531851768494,0.37949737906455994,0.43858039379119873,0.2235969752073288,0.37726253271102905,0.22778019309043884,0.36463531851768494,0.20420964062213898,0.19645625352859497
volumes,0.1425984501838684,0.15113016963005066,0.11756909638643265,0.26728206872940063,0.2858909070491791,0.21416765451431274,0.18901200592517853,0.11682817339897156,0.15308699011802673,0.15832693874835968,0.23068252205848694,0.1840272843837738,0.21537050604820251,0.21037976443767548,0.2531711161136627,0.20087477564811707,0.23068252205848694,0.22296375036239624,0.11960393190383911
of,0.33290785551071167,0.21102571487426758,0.2513895630836487,0.2800648808479309,0.5116966962814331,0.19899946451187134,0.31566321849823,0.21607455611228943,0.4069072902202606,0.3116828501224518,0.5696388483047485,0.27436208724975586,0.733189046382904,0.2541177570819855,1.0,0.16848602890968323,0.5696388483047485,0.2741255462169647,0.1826142966747284
hydrogen,0.19052310287952423,0.4291958212852478,0.19611163437366486,0.2728137671947479,0.19928552210330963,0.1802840679883957,0.17156147956848145,0.1891234666109085,0.1364523321390152,0.12432294338941574,0.1982225924730301,0.13978686928749084,0.20406323671340942,0.263532429933548,0.2024032324552536,0.571098268032074,0.1982225924730301,0.42553505301475525,0.14590126276016235
and,0.31309178471565247,0.16833719611167908,0.34479495882987976,0.27726590633392334,1.0,0.2179601788520813,0.23998232185840607,0.21819821000099182,0.3740963041782379,0.2790124714374542,0.4954058527946472,0.2709411084651947,0.5171257257461548,0.2668909728527069,0.5116966962814331,0.22261030972003937,0.4954058527946472,0.3054247498512268,0.20544172823429108
one,0.376489520072937,0.27609556913375854,0.27659472823143005,0.2486068308353424,0.42438167333602905,0.16709285974502563,0.17332415282726288,0.20618385076522827,0.3752199709415436,0.23905925452709198,0.4129433035850525,0.3526075780391693,0.5514441132545471,0.32451149821281433,0.4999135136604309,0.2436513900756836,0.4129433035850525,0.2267422080039978,0.2673267424106598
volume,0.18066860735416412,0.17025765776634216,0.11294595897197723,0.24848788976669312,0.2648514211177826,0.15851186215877533,0.17210060358047485,0.12134452909231186,0.1553182154893875,0.16167765855789185,0.19778774678707123,0.22590790688991547,0.2396446168422699,0.30224114656448364,0.27775493264198303,0.25003939867019653,0.19778774678707123,0.3109224736690521,0.1651400327682495
of,0.33290785551071167,0.21102571487426758,0.2513895630836487,0.2800648808479309,0.5116966962814331,0.19899946451187134,0.31566321849823,0.21607455611228943,0.4069072902202606,0.3116828501224518,0.5696388483047485,0.27436208724975586,0.733189046382904,0.2541177570819855,1.0,0.16848602890968323,0.5696388483047485,0.2741255462169647,0.1826142966747284
oxygen,0.16781960427761078,0.35867807269096375,0.15723921358585358,0.20498013496398926,0.22261030972003937,0.12253249436616898,0.21801316738128662,0.19409529864788055,0.16070082783699036,0.1954377293586731,0.1672476977109909,0.15423640608787537,0.20428593456745148,0.35417988896369934,0.16848602890968323,0.9999999403953552,0.1672476977109909,0.4692627191543579,0.16786395013332367
