,what,is,the,most,well-known,algorithm,associated,with,the,integer,factorization,problem,?
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.4269336760044098,0.15884782373905182,0.2742886245250702,0.4223487675189972,1.0,0.14182277023792267,0.2827453017234802,0.24928659200668335,0.22068053483963013
best,0.3036847710609436,0.30476391315460205,0.3134109377861023,0.3848520517349243,0.45188289880752563,0.21579806506633759,0.17589236795902252,0.19415417313575745,0.3134109377861023,0.1363503336906433,0.13791021704673767,0.22328774631023407,0.2799045741558075
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.3850763440132141,0.6967371106147766,0.17154911160469055,0.3094818592071533,0.23440474271774292,0.3624623417854309,0.14369449019432068,0.13309167325496674,0.1978386789560318,0.18314571678638458
algorithm,0.2700590193271637,0.24848374724388123,0.15884782373905182,0.11581528931856155,0.1382252722978592,1.0,0.028188295662403107,0.0763108879327774,0.15884782373905182,0.4841533303260803,0.46904250979423523,0.39858657121658325,0.21180397272109985
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.3906237483024597,0.3831652104854584,0.22014065086841583,0.22591517865657806,0.39140474796295166,0.4739971458911896,0.13336773216724396,0.34491053223609924,0.2661307752132416,0.264628142118454
integer,0.23293888568878174,0.2086324691772461,0.14182277023792267,0.12146671861410141,0.17308703064918518,0.4841533303260803,0.12222696840763092,0.15516746044158936,0.14182277023792267,1.0,0.4310261607170105,0.32351139187812805,0.2503974437713623
factorization,0.27966898679733276,0.2635040879249573,0.2827453017234802,0.19822745025157928,0.1667470633983612,0.46904250979423523,0.169651061296463,0.1747703105211258,0.2827453017234802,0.4310261607170105,0.9999999403953552,0.4367295503616333,0.27631670236587524
is,0.28837618231773376,1.0,0.5823672413825989,0.41165053844451904,0.3531816303730011,0.24848374724388123,0.2300606518983841,0.3250955045223236,0.5823672413825989,0.2086324691772461,0.2635040879249573,0.23238427937030792,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.4269336760044098,0.15884782373905182,0.2742886245250702,0.4223487675189972,1.0,0.14182277023792267,0.2827453017234802,0.24928659200668335,0.22068053483963013
general,0.24928055703639984,0.20144300162792206,0.28634732961654663,0.22625164687633514,0.20805411040782928,0.20997416973114014,0.10931151360273361,0.1510423719882965,0.28634732961654663,0.17462825775146484,0.1896573007106781,0.21629959344863892,0.1972234547138214
