,what,two,environmental,conditions,are,controlled,in,the,museum,?
activities,0.21757790446281433,0.16423065960407257,0.34899604320526123,0.2947307825088501,0.3175194263458252,0.26730433106422424,0.2027697116136551,0.2626894414424896,0.18593141436576843,0.11289679259061813
include,0.1535889357328415,0.2755211889743805,0.22029606997966766,0.2210659384727478,0.5140694975852966,0.09505894780158997,0.28694382309913635,0.2951717972755432,0.13027560710906982,0.14925788342952728
controlling,0.3202577531337738,0.18322673439979553,0.34611761569976807,0.30879417061805725,0.2686353325843811,0.7527555227279663,0.24385139346122742,0.34660032391548157,0.046083446592092514,0.1598898321390152
the,0.42745697498321533,0.43858039379119873,0.23935803771018982,0.2622014284133911,0.40399202704429626,0.3320712745189667,0.6662389636039734,1.0,0.24861779808998108,0.22068053483963013
museum,0.1771627515554428,0.10843382775783539,0.1024051383137703,0.06437376886606216,0.12469582259654999,0.11207091808319092,0.2407650351524353,0.24861779808998108,1.0000001192092896,0.14128351211547852
environment,0.213022843003273,0.10344117134809494,0.8639324903488159,0.3684968650341034,0.3009084165096283,0.23368528485298157,0.2854640781879425,0.25819888710975647,0.06464749574661255,0.19478057324886322
(,0.2411840260028839,0.2169162482023239,0.23713918030261993,0.13373951613903046,0.23263892531394958,0.172588512301445,0.3087427020072937,0.33289089798927307,0.15624505281448364,0.40561532974243164
for,0.3017193675041199,0.34734001755714417,0.2977549731731415,0.27253004908561707,0.3895993232727051,0.1490403413772583,0.4322226941585541,0.4739971458911896,0.15718214213848114,0.264628142118454
example,0.3456268310546875,0.2711022198200226,0.26993271708488464,0.32379087805747986,0.4108889698982239,0.18454210460186005,0.30483278632164,0.3755223751068115,0.16689494252204895,0.30374911427497864
",",0.3087472915649414,0.35859420895576477,0.2779713571071625,0.17239321768283844,0.4062570035457611,0.20886175334453583,0.5201468467712402,0.4933079481124878,0.20741747319698334,0.31091248989105225
temperature,0.26338207721710205,0.16528362035751343,0.28805357217788696,0.3817524313926697,0.2518121302127838,0.1868540346622467,0.269207626581192,0.27585095167160034,0.09910615533590317,0.2011885941028595
and,0.31309178471565247,0.4671151638031006,0.2944156229496002,0.252461701631546,0.48576638102531433,0.2891365587711334,0.4954058527946472,0.5171257257461548,0.21554097533226013,0.20544172823429108
light,0.22953972220420837,0.23638439178466797,0.22278296947479248,0.21209083497524261,0.21304044127464294,0.11705732345581055,0.1819845736026764,0.2649136185646057,0.0695284903049469,0.17429810762405396
),0.26259949803352356,0.24161455035209656,0.2189716398715973,0.11595944315195084,0.2373749315738678,0.15831932425498962,0.3326910734176636,0.3456730246543884,0.15237168967723846,0.42300865054130554
and,0.31309178471565247,0.4671151638031006,0.2944156229496002,0.252461701631546,0.48576638102531433,0.2891365587711334,0.4954058527946472,0.5171257257461548,0.21554097533226013,0.20544172823429108
preventing,0.28585943579673767,0.2086571902036667,0.3469584882259369,0.3161971867084503,0.2720321714878082,0.294304758310318,0.20244476199150085,0.33351221680641174,0.010690233670175076,0.25842657685279846
pests,0.21700413525104523,0.19112607836723328,0.37760621309280396,0.31681886315345764,0.38568538427352905,0.301381915807724,0.2001182585954666,0.2630745470523834,0.14075970649719238,0.20344339311122894
(,0.2411840260028839,0.2169162482023239,0.23713918030261993,0.13373951613903046,0.23263892531394958,0.172588512301445,0.3087427020072937,0.33289089798927307,0.15624505281448364,0.40561532974243164
primarily,0.23722688853740692,0.20591987669467926,0.25635749101638794,0.22095166146755219,0.29938802123069763,0.21293330192565918,0.32119396328926086,0.34785038232803345,0.07051553577184677,0.06029784679412842
insects,0.1993972659111023,0.2072973996400833,0.289029061794281,0.24676614999771118,0.3365996778011322,0.19936403632164001,0.19145500659942627,0.23963448405265808,0.14787070453166962,0.1639890819787979
),0.26259949803352356,0.24161455035209656,0.2189716398715973,0.11595944315195084,0.2373749315738678,0.15831932425498962,0.3326910734176636,0.3456730246543884,0.15237168967723846,0.42300865054130554
from,0.2737620174884796,0.25732070207595825,0.17320990562438965,0.19634586572647095,0.2674213647842407,0.19285579025745392,0.4274188280105591,0.40150508284568787,0.20791949331760406,0.19969791173934937
damaging,0.28500422835350037,0.21468426287174225,0.3403470516204834,0.2752988934516907,0.2703653872013092,0.2510359585285187,0.2418309450149536,0.2490997463464737,0.08721771836280823,0.17482057213783264
artefacts,0.2579234838485718,0.2006431668996811,0.21817414462566376,0.22256578505039215,0.31901463866233826,0.18475346267223358,0.3017564117908478,0.3621829152107239,0.36503544449806213,0.22542092204093933
.,0.3567904531955719,0.3524959683418274,0.2907167375087738,0.17719176411628723,0.3452940285205841,0.21779799461364746,0.5591574311256409,0.5934505462646484,0.19497929513454437,0.4130953550338745
