,what,enzymes,in,saliva,are,antibacterial,in,nature,?
enzymes,0.21391288936138153,0.9999999403953552,0.2432398796081543,0.4888914227485657,0.2614677846431732,0.6590940356254578,0.2432398796081543,0.191358745098114,0.19847454130649567
such,0.23989605903625488,0.24542951583862305,0.2704046070575714,0.1254451870918274,0.4654397666454315,0.2328333854675293,0.2704046070575714,0.20437708497047424,0.17851735651493073
as,0.31749409437179565,0.26827478408813477,0.3887844979763031,0.07272479683160782,0.3826591968536377,0.21190093457698822,0.3887844979763031,0.19073383510112762,0.27043893933296204
lysozyme,0.26216423511505127,0.7715355753898621,0.27364209294319153,0.5551010370254517,0.2674548327922821,0.7024587392807007,0.27364209294319153,0.2833041250705719,0.20203250646591187
and,0.31309178471565247,0.22492532432079315,0.4954058527946472,0.22214624285697937,0.48576638102531433,0.23097002506256104,0.4954058527946472,0.26560109853744507,0.20544172823429108
phospholipase,0.21744954586029053,0.6113482713699341,0.25810980796813965,0.5146231651306152,0.35935431718826294,0.581737220287323,0.25810980796813965,0.23462405800819397,0.209718257188797
a2,0.030379192903637886,0.050984937697649,-0.015821725130081177,0.0077726938761770725,-0.0007509550778195262,-0.0018710596486926079,-0.015821725130081177,0.01638656109571457,0.042251043021678925
in,0.30808621644973755,0.2432398796081543,1.0,0.21024402976036072,0.3841303884983063,0.23353785276412964,1.0,0.22229793667793274,0.20430970191955566
saliva,0.21114346385002136,0.4888914227485657,0.21024402976036072,1.0000001192092896,0.24715718626976013,0.4677482843399048,0.21024402976036072,0.16805286705493927,0.2106979787349701
",",0.3087472915649414,0.20343410968780518,0.5201468467712402,0.23625369369983673,0.4062570035457611,0.2232992798089981,0.5201468467712402,0.24335457384586334,0.31091248989105225
tears,0.2509855031967163,0.2394116222858429,0.1449623852968216,0.47376981377601624,0.11949075013399124,0.16281621158123016,0.1449623852968216,0.1867258995771408,0.15044362843036652
",",0.3087472915649414,0.20343410968780518,0.5201468467712402,0.23625369369983673,0.4062570035457611,0.2232992798089981,0.5201468467712402,0.24335457384586334,0.31091248989105225
and,0.31309178471565247,0.22492532432079315,0.4954058527946472,0.22214624285697937,0.48576638102531433,0.23097002506256104,0.4954058527946472,0.26560109853744507,0.20544172823429108
breast,0.16221024096012115,0.27440762519836426,0.2608107328414917,0.37832093238830566,0.1442451775074005,0.28810590505599976,0.2608107328414917,0.1240394115447998,0.13635283708572388
milk,0.17526936531066895,0.3322080969810486,0.20376470685005188,0.44815096259117126,0.20607416331768036,0.33268940448760986,0.20376470685005188,0.1404610574245453,0.1423291712999344
are,0.29724663496017456,0.2614677846431732,0.3841303884983063,0.24715718626976013,1.0,0.2790279686450958,0.3841303884983063,0.25108420848846436,0.24591213464736938
also,0.42747777700424194,0.3101583421230316,0.5073733329772949,0.22589506208896637,0.4565894305706024,0.29525837302207947,0.5073733329772949,0.2509712874889374,0.21848613023757935
antibacterials,0.18698035180568695,0.6640519499778748,0.2659125030040741,0.4587590992450714,0.3236902356147766,0.958288311958313,0.2659125030040741,0.28519347310066223,0.16119080781936646
.,0.3567904531955719,0.261301726102829,0.5591574311256409,0.21204525232315063,0.3452940285205841,0.2719397246837616,0.5591574311256409,0.25127893686294556,0.4130953550338745
