,in,what,year,did,warszowa,become,the,official,capital,of,the,masovian,duchy,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.2726106643676758,0.23238378763198853,0.6662389636039734,0.25180214643478394,0.3233928978443146,0.5696388483047485,0.6662389636039734,0.22937358915805817,0.27166545391082764,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.21353374421596527,0.31731709837913513,1.0,0.3133983910083771,0.3049491047859192,0.733189046382904,1.0,0.2597903609275818,0.2944258749485016,0.22068053483963013
beginning,0.3787442147731781,0.3351518511772156,0.38203126192092896,0.28616875410079956,0.224613219499588,0.22862716019153595,0.49622642993927,0.19760662317276,0.2382308542728424,0.36558160185813904,0.49622642993927,0.23110191524028778,0.25080206990242004,0.19413669407367706
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.2153903990983963,0.31678006052970886,0.733189046382904,0.2864961326122284,0.30823585391044617,1.0,0.733189046382904,0.2839367687702179,0.3249194324016571,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.21353374421596527,0.31731709837913513,1.0,0.3133983910083771,0.3049491047859192,0.733189046382904,1.0,0.2597903609275818,0.2944258749485016,0.22068053483963013
14th,0.14700374007225037,0.08055545389652252,0.22114089131355286,0.08776213228702545,0.11481377482414246,0.05662653595209122,0.21954689919948578,0.1083485409617424,0.03122383914887905,0.13562877476215363,0.21954689919948578,0.06717963516712189,0.013422167859971523,0.028729064390063286
century,0.3174034655094147,0.20422613620758057,0.3134029805660248,0.2333737462759018,0.2828438878059387,0.22218185663223267,0.3617299497127533,0.14376546442508698,0.16595163941383362,0.2826060354709625,0.3617299497127533,0.2929942011833191,0.25881877541542053,0.1026201918721199
it,0.5130809545516968,0.45803478360176086,0.2363913208246231,0.2993364930152893,0.12711456418037415,0.2850925028324127,0.6251175999641418,0.1837632805109024,0.27145886421203613,0.38761502504348755,0.6251175999641418,0.228962242603302,0.23647308349609375,0.25732165575027466
became,0.31047213077545166,0.1434093862771988,0.28121209144592285,0.3632316589355469,0.2442837953567505,0.6258460283279419,0.36325156688690186,0.2381189614534378,0.22269992530345917,0.3638904094696045,0.36325156688690186,0.19445738196372986,0.26581791043281555,0.11374033987522125
one,0.4129433035850525,0.376489520072937,0.346388578414917,0.27659472823143005,0.11296019703149796,0.35657981038093567,0.5514441132545471,0.17908109724521637,0.2517159879207611,0.4999135136604309,0.5514441132545471,0.15779808163642883,0.20578980445861816,0.2673267424106598
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.2153903990983963,0.31678006052970886,0.733189046382904,0.2864961326122284,0.30823585391044617,1.0,0.733189046382904,0.2839367687702179,0.3249194324016571,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.21353374421596527,0.31731709837913513,1.0,0.3133983910083771,0.3049491047859192,0.733189046382904,1.0,0.2597903609275818,0.2944258749485016,0.22068053483963013
seats,0.26510122418403625,0.12961463630199432,0.14860716462135315,0.16118532419204712,0.19410578906536102,0.13767734169960022,0.25880131125450134,0.15297575294971466,0.17022551596164703,0.22482673823833466,0.25880131125450134,0.19359071552753448,0.18465161323547363,0.10678832978010178
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.2153903990983963,0.31678006052970886,0.733189046382904,0.2864961326122284,0.30823585391044617,1.0,0.733189046382904,0.2839367687702179,0.3249194324016571,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.21353374421596527,0.31731709837913513,1.0,0.3133983910083771,0.3049491047859192,0.733189046382904,1.0,0.2597903609275818,0.2944258749485016,0.22068053483963013
dukes,0.20389202237129211,0.11757048964500427,0.13855737447738647,0.18106094002723694,0.28928762674331665,0.15845650434494019,0.2551864981651306,0.23656585812568665,0.2207537293434143,0.26280146837234497,0.2551864981651306,0.3282240331172943,0.6240034103393555,0.09325318783521652
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.2153903990983963,0.31678006052970886,0.733189046382904,0.2864961326122284,0.30823585391044617,1.0,0.733189046382904,0.2839367687702179,0.3249194324016571,0.1826142966747284
masovia,0.30023497343063354,0.20167744159698486,0.1372884064912796,0.15213459730148315,0.5247512459754944,0.19695179164409637,0.2862490713596344,0.12845036387443542,0.3576699495315552,0.33703452348709106,0.2862490713596344,0.8403584361076355,0.5334290266036987,0.12488449364900589
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.32864099740982056,0.29676204919815063,0.4933079481124878,0.2088543325662613,0.28033894300460815,0.4946078956127167,0.4933079481124878,0.2702215909957886,0.28778398036956787,0.31091248989105225
becoming,0.2425609976053238,0.2530137896537781,0.20764873921871185,0.26583778858184814,0.1966557502746582,0.7322891354560852,0.333665668964386,0.18444335460662842,0.16312000155448914,0.3014795780181885,0.333665668964386,0.1667492836713791,0.19015538692474365,0.17354105412960052
