,decision,tree,is,an,example,of,what,type,of,measure,?
although,0.20554746687412262,0.15660208463668823,0.301360160112381,0.25058484077453613,0.21854479610919952,0.3024747669696808,0.24844598770141602,0.1240415871143341,0.3024747669696808,0.21237051486968994,0.15541206300258636
time,0.24395307898521423,0.18678666651248932,0.25187405943870544,0.17594800889492035,0.31812599301338196,0.35127586126327515,0.36319252848625183,0.1723036915063858,0.35127586126327515,0.23244519531726837,0.27391523122787476
and,0.20328959822654724,0.1832687258720398,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.23739957809448242,0.20544172823429108
space,0.11135172098875046,0.17057065665721893,0.18578536808490753,0.19467206299304962,0.22145843505859375,0.21300287544727325,0.20525942742824554,0.19901056587696075,0.21300287544727325,0.18054817616939545,0.1885536164045334
are,0.1736466884613037,0.20583972334861755,0.5330929756164551,0.1556541919708252,0.4108889698982239,0.39081433415412903,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.28366684913635254,0.24591213464736938
the,0.2905151844024658,0.2565799951553345,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2528008222579956,0.22068053483963013
most,0.18477432429790497,0.15930789709091187,0.41165053844451904,0.2748267352581024,0.3754276633262634,0.4178851246833801,0.3219912350177765,0.24228660762310028,0.4178851246833801,0.186997652053833,0.2107497900724411
well-known,0.1336287409067154,0.16276639699935913,0.3531816303730011,0.3104322552680969,0.21153931319713593,0.3684920072555542,0.19213207066059113,0.11844748258590698,0.3684920072555542,0.16788816452026367,0.2076386660337448
complexity,0.2765996754169464,0.19538433849811554,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
resources,0.25177857279777527,0.13912364840507507,0.23539847135543823,0.15037932991981506,0.22297218441963196,0.2746381163597107,0.24701403081417084,0.09185263514518738,0.2746381163597107,0.20565222203731537,0.26047492027282715
",",0.2818170189857483,0.17433692514896393,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.18738344311714172,0.31091248989105225
any,0.27996188402175903,0.19326063990592957,0.35691767930984497,0.3555181324481964,0.421649694442749,0.3769088089466095,0.43670421838760376,0.27895575761795044,0.3769088089466095,0.2958662509918213,0.4113408327102661
complexity,0.2765996754169464,0.19538433849811554,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
measure,0.2378760725259781,0.12303923815488815,0.2864217460155487,0.21397879719734192,0.3361307978630066,0.22469913959503174,0.2807709276676178,0.19066864252090454,0.22469913959503174,1.0000001192092896,0.22092340886592865
can,0.256021648645401,0.2253054529428482,0.44256699085235596,0.23671309649944305,0.5023694038391113,0.2603091299533844,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.3774224519729614,0.3226337134838104
be,0.3003653585910797,0.23016458749771118,0.4819129705429077,0.33041056990623474,0.4382762610912323,0.33904364705085754,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.3525533676147461,0.3324260413646698
viewed,0.20944786071777344,0.18926309049129486,0.24106821417808533,0.22299160063266754,0.21637049317359924,0.27454227209091187,0.2938295900821686,0.13005657494068146,0.27454227209091187,0.2602837383747101,0.19983090460300446
as,0.21492452919483185,0.18873834609985352,0.43216490745544434,0.37218472361564636,0.35903409123420715,0.3886612355709076,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.25576961040496826,0.27043893933296204
a,0.24091263115406036,0.20696568489074707,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2953258156776428,0.23916715383529663
computational,0.2782468795776367,0.2394627183675766,0.2470806986093521,0.19987577199935913,0.35836201906204224,0.2832651138305664,0.29464593529701233,0.23533707857131958,0.2832651138305664,0.369442880153656,0.21617397665977478
resource,0.24296948313713074,0.19348791241645813,0.2658635079860687,0.14981383085250854,0.25422775745391846,0.23272927105426788,0.22875596582889557,0.13622310757637024,0.23272927105426788,0.216732919216156,0.28215932846069336
.,0.3103445768356323,0.19005756080150604,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.23919615149497986,0.4130953550338745
,decision,tree,is,an,example,of,what,type,of,measure,?
other,0.20517969131469727,0.2227078676223755,0.25895947217941284,0.1556563824415207,0.42318204045295715,0.38583824038505554,0.341873437166214,0.2522227168083191,0.38583824038505554,0.2558101713657379,0.24682199954986572
complexity,0.2765996754169464,0.19538433849811554,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
measures,0.2375500500202179,0.12193647027015686,0.26016920804977417,0.1858448088169098,0.3053666949272156,0.24129846692085266,0.24211709201335907,0.12973858416080475,0.24129846692085266,0.8166682124137878,0.18777857720851898
used,0.18137653172016144,0.17940425872802734,0.3288823366165161,0.25728896260261536,0.48354339599609375,0.3075267970561981,0.27546408772468567,0.30943769216537476,0.3075267970561981,0.37946778535842896,0.22430120408535004
in,0.2212151288986206,0.15590032935142517,0.5394441485404968,0.2605783939361572,0.30483278632164,0.5696388483047485,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.17892111837863922,0.20430970191955566
complexity,0.2765996754169464,0.19538433849811554,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
theory,0.24050968885421753,0.16974298655986786,0.19279582798480988,0.15698443353176117,0.2446725219488144,0.23506702482700348,0.297923743724823,0.22037149965763092,0.23506702482700348,0.2624243199825287,0.1387292891740799
include,0.09354516118764877,0.12844914197921753,0.28863582015037537,0.14737801253795624,0.3811541199684143,0.37431180477142334,0.1535889357328415,0.20810997486114502,0.37431180477142334,0.18693196773529053,0.14925788342952728
communication,0.25313958525657654,0.11882607638835907,0.23138649761676788,0.21584460139274597,0.26335763931274414,0.2729943096637726,0.283955842256546,0.19772325456142426,0.2729943096637726,0.2850816547870636,0.1517418920993805
complexity,0.2765996754169464,0.19538433849811554,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
",",0.2818170189857483,0.17433692514896393,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.18738344311714172,0.31091248989105225
circuit,0.251131534576416,0.13516265153884888,0.22126400470733643,0.15244099497795105,0.10990441590547562,0.244392991065979,0.1518143117427826,0.08492936939001083,0.244392991065979,0.1928739696741104,0.058349963277578354
complexity,0.2765996754169464,0.19538433849811554,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
",",0.2818170189857483,0.17433692514896393,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.18738344311714172,0.31091248989105225
and,0.20328959822654724,0.1832687258720398,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.23739957809448242,0.20544172823429108
decision,1.0,0.1879216730594635,0.2514069080352783,0.1716570407152176,0.20591168105602264,0.2331373691558838,0.32053670287132263,0.11840678006410599,0.2331373691558838,0.2378760725259781,0.2796577215194702
tree,0.1879216730594635,1.0000001192092896,0.2044319063425064,0.13667967915534973,0.22234119474887848,0.23309285938739777,0.17175592482089996,0.1364968717098236,0.23309285938739777,0.12303923815488815,0.10740261524915695
complexity,0.2765996754169464,0.19538433849811554,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
.,0.3103445768356323,0.19005756080150604,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.23919615149497986,0.4130953550338745
