,what,do,critics,think,the,cause,of,problems,with,modern,schooling,is,?
[,0.010752761736512184,-0.02353133261203766,0.19975633919239044,-0.005531487055122852,0.07130392640829086,0.07965273410081863,0.010817250236868858,0.07386955618858337,0.07157395780086517,0.06298712641000748,0.07091211527585983,-0.06921151280403137,0.011015460826456547
citation,0.26448965072631836,0.23067611455917358,0.1963987648487091,0.2696141004562378,0.2536581754684448,0.1615128070116043,0.22959956526756287,0.1841902881860733,0.22510166466236115,0.07914165407419205,0.2305135279893875,0.20686984062194824,0.3382055461406708
needed,0.3631289601325989,0.41401490569114685,0.14913901686668396,0.3968304991722107,0.3064746856689453,0.33962130546569824,0.27215874195098877,0.41871556639671326,0.33687737584114075,0.1492157131433487,0.18370266258716583,0.21605761349201202,0.2863257825374603
],-0.03775298595428467,0.019922751933336258,0.0061201732605695724,0.009576196782290936,-0.04779602214694023,-0.0014238752191886306,-0.035044461488723755,-0.03700617328286171,-0.05078836530447006,0.032818783074617386,-0.07857175171375275,-0.02998926118016243,-0.0022520492784678936
such,0.23989605903625488,0.337398886680603,0.15946830809116364,0.33606821298599243,0.3575236201286316,0.27554231882095337,0.3209529519081116,0.27856141328811646,0.3346101939678192,0.2688790261745453,0.24433723092079163,0.23545363545417786,0.17851735651493073
individuals,0.25709760189056396,0.27612102031707764,0.1630229353904724,0.3102639615535736,0.3022412955760956,0.23129695653915405,0.27365922927856445,0.22541557252407074,0.309203177690506,0.1093422919511795,0.31274303793907166,0.23137153685092926,0.20243582129478455
claim,0.30214840173721313,0.27428990602493286,0.24244870245456696,0.35156577825546265,0.25873351097106934,0.21718987822532654,0.2833690047264099,0.2258118987083435,0.16929714381694794,0.17372636497020721,0.18545496463775635,0.15920500457286835,0.2665664851665497
that,0.6297725439071655,0.44533252716064453,0.3269422650337219,0.5798900723457336,0.5473989248275757,0.40003344416618347,0.41498205065727234,0.3758413791656494,0.4154358208179474,0.24473170936107635,0.3054499924182892,0.3995479643344879,0.32716336846351624
many,0.36131182312965393,0.38738366961479187,0.3136454224586487,0.3984122574329376,0.4335206151008606,0.2826708257198334,0.37253960967063904,0.33828115463256836,0.35744401812553406,0.32647043466567993,0.30094289779663086,0.2649032473564148,0.2124512493610382
problems,0.3306994140148163,0.3000752329826355,0.20215383172035217,0.36432358622550964,0.2659202516078949,0.5120793581008911,0.2450421154499054,1.0,0.3139011859893799,0.19062021374702454,0.23126469552516937,0.16985496878623962,0.2638136148452759
with,0.2464839518070221,0.23744353652000427,0.14906422793865204,0.2712445855140686,0.4223487675189972,0.2820144593715668,0.41827285289764404,0.3139011859893799,0.9999999403953552,0.17969171702861786,0.19091522693634033,0.3250955045223236,0.2433311939239502
modern,0.2655639946460724,0.1850697249174118,0.20999418199062347,0.2209363877773285,0.3283970355987549,0.049956243485212326,0.3482828736305237,0.19062021374702454,0.17969171702861786,0.9999999403953552,0.2301287055015564,0.24170172214508057,0.12475407868623734
schooling,0.28810086846351624,0.23596487939357758,0.18371568620204926,0.2947622835636139,0.23840026557445526,0.20989854633808136,0.2633171081542969,0.23126469552516937,0.19091522693634033,0.2301287055015564,1.0,0.15676039457321167,0.21834523975849152
stem,0.19913089275360107,0.22394807636737823,0.11558153480291367,0.18278074264526367,0.2455740123987198,0.2540585398674011,0.23933762311935425,0.15635599195957184,0.15097247064113617,0.1827952265739441,0.15001654624938965,0.19008365273475647,0.14635197818279266
