,why,is,it,difficult,to,resolve,disagreements,about,the,changes,in,the,amazon,rainforest,?
this,0.5040162205696106,0.480927973985672,0.6107783317565918,0.39413246512413025,0.5759071707725525,0.28997981548309326,0.32157737016677856,0.3886062204837799,0.6274310946464539,0.4571877419948578,0.45205554366111755,0.6274310946464539,0.15259569883346558,0.23467609286308289,0.3155723512172699
debate,0.26019734144210815,0.22463004291057587,0.2913039028644562,0.18286636471748352,0.26563018560409546,0.31939318776130676,0.4387858510017395,0.33048215508461,0.2608932852745056,0.20009423792362213,0.1971871554851532,0.2608932852745056,0.13715927302837372,0.19586652517318726,0.227684885263443
has,0.24175488948822021,0.5668748617172241,0.41962623596191406,0.22121955454349518,0.3619994819164276,0.19422221183776855,0.23167383670806885,0.35519757866859436,0.4177538752555847,0.2700992822647095,0.4173259735107422,0.4177538752555847,0.1779293268918991,0.24784816801548004,0.15994466841220856
proved,0.29782021045684814,0.16634024679660797,0.22457507252693176,0.38847312331199646,0.21811220049858093,0.2805081903934479,0.25725775957107544,0.17425225675106049,0.2359304130077362,0.20514632761478424,0.2292184680700302,0.2359304130077362,0.11545171588659286,0.12250065058469772,0.1678566187620163
difficult,0.3777994215488434,0.29025518894195557,0.31896570324897766,1.0000001192092896,0.4417358338832855,0.3349361717700958,0.2948683500289917,0.2690465748310089,0.277450829744339,0.3105016052722931,0.2128705233335495,0.277450829744339,0.08062834292650223,0.23156189918518066,0.20408590137958527
to,0.4100138247013092,0.42745086550712585,0.513711154460907,0.4417358338832855,1.0,0.3313864767551422,0.3165186047554016,0.391953706741333,0.535392165184021,0.32918253540992737,0.45010748505592346,0.535392165184021,0.17033490538597107,0.23412610590457916,0.29463258385658264
resolve,0.3098081648349762,0.1780080497264862,0.22470109164714813,0.3349361717700958,0.3313864767551422,1.0000001192092896,0.4090351462364197,0.1937577873468399,0.221273735165596,0.2571384310722351,0.14643383026123047,0.221273735165596,0.07393120229244232,0.09859182685613632,0.35156041383743286
because,0.5926418900489807,0.4047735333442688,0.4849289059638977,0.461900532245636,0.5166091918945312,0.2869448959827423,0.3268395960330963,0.41714149713516235,0.44596394896507263,0.3143962323665619,0.37423941493034363,0.44596394896507263,0.14024098217487335,0.2311171293258667,0.2528740465641022
the,0.30742117762565613,0.5823672413825989,0.6251175999641418,0.277450829744339,0.535392165184021,0.221273735165596,0.28415536880493164,0.37995871901512146,1.0,0.3427845537662506,0.6662389636039734,1.0,0.260541707277298,0.2571161389350891,0.22068053483963013
practical,0.35014912486076355,0.1970025897026062,0.25924691557884216,0.4040277302265167,0.29423272609710693,0.2835119068622589,0.2556808888912201,0.2290070354938507,0.22487887740135193,0.21624033153057098,0.2407281994819641,0.22487887740135193,0.12133320420980453,0.10750658810138702,0.19861027598381042
limitations,0.24626195430755615,0.19040393829345703,0.2697325646877289,0.3990434408187866,0.35590237379074097,0.4511987268924713,0.4471779465675354,0.23783466219902039,0.26554352045059204,0.3311946988105774,0.2389589548110962,0.26554352045059204,0.1705762892961502,0.1612568348646164,0.2837134301662445
of,0.28464117646217346,0.4854315221309662,0.38761502504348755,0.2539307773113251,0.41548454761505127,0.1876445710659027,0.2664854824542999,0.40939709544181824,0.733189046382904,0.25827232003211975,0.5696388483047485,0.733189046382904,0.20143137872219086,0.22522282600402832,0.1826142966747284
working,0.20717473328113556,0.20290212333202362,0.24055777490139008,0.1999359130859375,0.28215980529785156,0.2541554570198059,0.24266329407691956,0.2360774278640747,0.25857484340667725,0.22825434803962708,0.3062970042228699,0.25857484340667725,0.10697482526302338,0.1374029666185379,0.17154020071029663
