,for,which,doctor,did,keff,mcculloch,provide,the,theme,?
keff,0.23925819993019104,0.1652180254459381,0.24366219341754913,0.13209570944309235,1.0000001192092896,0.3790002465248108,0.18974509835243225,0.19947807490825653,0.16727693378925323,0.1838241070508957
mcculloch,0.1996416598558426,0.2231334149837494,0.19028522074222565,0.24061864614486694,0.3790002465248108,1.0000001192092896,0.1682710349559784,0.33539363741874695,0.11027484387159348,0.21291179955005646
provided,0.38938868045806885,0.26667746901512146,0.14807631075382233,0.2778315246105194,0.17225120961666107,0.21848885715007782,0.7498367428779602,0.304488867521286,0.15859627723693848,0.16893617808818817
the,0.4739971458911896,0.6521818041801453,0.2820442318916321,0.34736719727516174,0.19947807490825653,0.33539363741874695,0.26373472809791565,1.0,0.2470158040523529,0.22068053483963013
new,0.2700757384300232,0.33739399909973145,0.12563565373420715,0.227974995970726,0.23559871315956116,0.20647458732128143,0.1687231808900833,0.3845241069793701,0.20022907853126526,0.14782847464084625
arrangement,0.2337760627269745,0.38490524888038635,0.051071979105472565,0.2237335443496704,0.17517848312854767,0.19126777350902557,0.2889082729816437,0.290839284658432,0.30165839195251465,0.11038770526647568
for,0.9999999403953552,0.44095608592033386,0.1556548923254013,0.318512886762619,0.23925819993019104,0.1996416598558426,0.42299434542655945,0.4739971458911896,0.23964181542396545,0.264628142118454
the,0.4739971458911896,0.6521818041801453,0.2820442318916321,0.34736719727516174,0.19947807490825653,0.33539363741874695,0.26373472809791565,1.0,0.2470158040523529,0.22068053483963013
seventh,0.20561926066875458,0.22439445555210114,0.1818123459815979,0.15575523674488068,0.17348770797252655,0.17258015275001526,0.0907837450504303,0.36732497811317444,0.22573570907115936,0.10981480032205582
doctor,0.1556548923254013,0.19030126929283142,0.9999999403953552,0.18673314154148102,0.24366219341754913,0.19028522074222565,0.1608865112066269,0.2820442318916321,0.17665699124336243,0.1462511420249939
's,-0.07241261005401611,0.03856118768453598,0.031664930284023285,0.05069678649306297,-0.018653476610779762,-0.005131299141794443,-0.017295444384217262,-0.01540423184633255,0.010491529479622841,-0.023395681753754616
era,0.21667791903018951,0.26643016934394836,0.06506571173667908,0.1672050952911377,0.1339961290359497,0.15595653653144836,0.058132801204919815,0.266272634267807,0.1910955160856247,0.14369545876979828
which,0.44095608592033386,1.0,0.19030126929283142,0.2750149369239807,0.1652180254459381,0.2231334149837494,0.33578091859817505,0.6521818041801453,0.25756725668907166,0.25814583897590637
lasted,0.2614397406578064,0.19942450523376465,0.07121740281581879,0.310510516166687,0.15978752076625824,0.24880295991897583,0.13508053123950958,0.2910100221633911,0.16357392072677612,0.13777512311935425
from,0.314039945602417,0.38755592703819275,0.15658842027187347,0.20248863101005554,0.19381001591682434,0.2127734124660492,0.19709864258766174,0.40150508284568787,0.18822719156742096,0.19969791173934937
season,0.24490800499916077,0.20103639364242554,0.16388003528118134,0.19368280470371246,0.22582928836345673,0.20823922753334045,0.16374582052230835,0.2507155239582062,0.20135252177715302,0.16793298721313477
24,-0.05804518982768059,-0.028686512261629105,0.009352179244160652,-0.04566230997443199,0.009175660088658333,0.06448190659284592,-0.05667099729180336,0.009148004464805126,-0.07736188173294067,0.016154835000634193
(,0.3357032239437103,0.2589828372001648,0.1570640504360199,0.18979617953300476,0.33095887303352356,0.227216899394989,0.16570471227169037,0.33289089798927307,0.17606106400489807,0.40561532974243164
1987,0.03048733063042164,0.09891405701637268,-0.0012244276003912091,0.030305849388241768,0.13476413488388062,0.1869143396615982,0.010903194546699524,0.14202550053596497,0.10733766108751297,0.0361514650285244
),0.3639558255672455,0.2758678197860718,0.1509941965341568,0.18584993481636047,0.32877686619758606,0.2280920147895813,0.1700008660554886,0.3456730246543884,0.16467611491680145,0.42300865054130554
until,0.2802979350090027,0.2778668999671936,0.15309728682041168,0.33905428647994995,0.21417875587940216,0.23982881009578705,0.12780927121639252,0.37191009521484375,0.12345767021179199,0.20304496586322784
the,0.4739971458911896,0.6521818041801453,0.2820442318916321,0.34736719727516174,0.19947807490825653,0.33539363741874695,0.26373472809791565,1.0,0.2470158040523529,0.22068053483963013
series,0.2715710699558258,0.2484029233455658,0.2712797522544861,0.15581852197647095,0.24701473116874695,0.2192727029323578,0.13620102405548096,0.31376904249191284,0.3285406529903412,0.1709602326154709
',0.31184524297714233,0.32852497696876526,0.2026606649160385,0.25488927960395813,0.3042549788951874,0.20693524181842804,0.14555726945400238,0.474788099527359,0.18364980816841125,0.330942302942276
suspension,0.22965626418590546,0.2843148112297058,0.14610449969768524,0.1733258068561554,0.20777574181556702,0.1822504848241806,0.2390129119157791,0.279620885848999,0.18763327598571777,0.16699327528476715
in,0.4322226941585541,0.4840516746044159,0.25567495822906494,0.2593238651752472,0.19684253633022308,0.28704163432121277,0.1910654902458191,0.6662389636039734,0.21164380013942719,0.20430970191955566
1989,-0.06098385527729988,-0.08314003050327301,0.0012842743890359998,-0.03869108483195305,0.2920604944229126,0.3089090883731842,-0.053226977586746216,-0.009533590637147427,0.04623128101229668,0.08110656589269638
.,0.4726039469242096,0.45942068099975586,0.22361043095588684,0.35288307070732117,0.3453068137168884,0.3065025210380554,0.23842981457710266,0.5934505462646484,0.2135048359632492,0.4130953550338745
