,what,kinds,of,trees,is,kearney,boulevard,lined,with,?
a,0.3320399522781372,0.23927396535873413,0.5052502155303955,0.24392682313919067,0.658733606338501,0.25192388892173767,0.1911209672689438,0.2311546355485916,0.3783375024795532,0.23916715383529663
small,0.2504110634326935,0.30272889137268066,0.353353351354599,0.3108178675174713,0.32085540890693665,0.1506805121898651,0.12791098654270172,0.33514323830604553,0.28140774369239807,0.13914890587329865
",",0.3087472915649414,0.25084736943244934,0.4946078956127167,0.2549719512462616,0.4691906273365021,0.3746079206466675,0.1940150111913681,0.21733908355236053,0.4120737314224243,0.31091248989105225
two-lane,0.24875853955745697,0.15888576209545135,0.22931526601314545,0.2575291395187378,0.2581096589565277,0.39458510279655457,0.3052651286125183,0.2694547772407532,0.2882953882217407,0.2526215612888336
rural,0.19569969177246094,0.13680510222911835,0.23932546377182007,0.19323930144309998,0.2128623127937317,0.21820595860481262,0.18240706622600555,0.13789792358875275,0.13978694379329681,0.11320571601390839
road,0.14859327673912048,0.04279472306370735,0.24218276143074036,0.20210015773773193,0.19718170166015625,0.2690122425556183,0.3064870238304138,0.19205304980278015,0.21253445744514465,0.10894691944122314
for,0.3017193675041199,0.34692952036857605,0.4185989499092102,0.1989039033651352,0.43268078565597534,0.25537338852882385,0.12053024023771286,0.21545495092868805,0.39140474796295166,0.264628142118454
most,0.3219912350177765,0.3522892892360687,0.4178851246833801,0.2466493546962738,0.41165053844451904,0.21494002640247345,0.1223609521985054,0.24067839980125427,0.336320698261261,0.2107497900724411
of,0.33290785551071167,0.28535863757133484,1.0,0.241034597158432,0.4854315221309662,0.19182492792606354,0.18820632994174957,0.24734710156917572,0.41827285289764404,0.1826142966747284
its,0.30393704771995544,0.1620103418827057,0.48690423369407654,0.239347904920578,0.4447362422943115,0.17073683440685272,0.1917785108089447,0.28018879890441895,0.3087116777896881,0.15103481709957123
length,0.20598092675209045,0.1987934559583664,0.22847424447536469,0.1989656537771225,0.2527557909488678,0.0755045935511589,0.16655553877353668,0.27597272396087646,0.1592123806476593,0.16668567061424255
",",0.3087472915649414,0.25084736943244934,0.4946078956127167,0.2549719512462616,0.4691906273365021,0.3746079206466675,0.1940150111913681,0.21733908355236053,0.4120737314224243,0.31091248989105225
kearney,0.19744348526000977,0.049073945730924606,0.19182492792606354,0.15803581476211548,0.21852326393127441,0.9999999403953552,0.2633053660392761,0.15421542525291443,0.16950033605098724,0.2019806057214737
boulevard,0.1807749718427658,0.055104706436395645,0.18820632994174957,0.2460622787475586,0.20805764198303223,0.2633053660392761,1.0,0.2661798298358917,0.13976401090621948,0.06742092967033386
is,0.28837618231773376,0.22554683685302734,0.4854315221309662,0.2187608778476715,1.0,0.21852326393127441,0.20805764198303223,0.2078096568584442,0.3250955045223236,0.22961433231830597
lined,0.1342983841896057,0.24453853070735931,0.24734710156917572,0.3769901394844055,0.2078096568584442,0.15421542525291443,0.2661798298358917,1.0,0.25377169251441956,0.1190037727355957
with,0.2464839518070221,0.2479146420955658,0.41827285289764404,0.1776541769504547,0.3250955045223236,0.16950033605098724,0.13976401090621948,0.25377169251441956,0.9999999403953552,0.2433311939239502
tall,0.18232308328151703,0.19591136276721954,0.19572877883911133,0.41005846858024597,0.2091972529888153,0.17047730088233948,0.2543967664241791,0.31596723198890686,0.16646556556224823,0.16138394176959991
palm,0.1965850293636322,0.18352434039115906,0.19353315234184265,0.4077500104904175,0.19197453558444977,0.21933810412883759,0.2918871343135834,0.20641674101352692,0.18624809384346008,0.14437739551067352
trees,0.18814536929130554,0.3026297688484192,0.241034597158432,0.9999998807907104,0.2187608778476715,0.15803581476211548,0.2460622787475586,0.3769901394844055,0.1776541769504547,0.11582431197166443
.,0.3567904531955719,0.23792381584644318,0.5352458953857422,0.23487022519111633,0.4569662809371948,0.3331483006477356,0.1963263899087906,0.26019543409347534,0.4446153938770294,0.4130953550338745
