,what,is,the,process,of,turning,co2,into,organic,molecules,called,?
they,0.4431931674480438,0.330102801322937,0.49925389885902405,0.26520952582359314,0.3426007330417633,0.24472761154174805,0.18013553321361542,0.32590940594673157,0.24240535497665405,0.3393418490886688,0.45046308636665344,0.2753053903579712
then,0.4072686731815338,0.24618037045001984,0.4297412931919098,0.28153762221336365,0.2937326431274414,0.32870039343833923,0.13993921875953674,0.42628222703933716,0.17650610208511353,0.26488035917282104,0.2733641564846039,0.2884598970413208
use,0.3453877568244934,0.3357410430908203,0.34342584013938904,0.3129459619522095,0.2750902473926544,0.27606314420700073,0.09572593122720718,0.2559370994567871,0.2328418791294098,0.23444542288780212,0.30098897218704224,0.32795652747154236
the,0.42745697498321533,0.5823672413825989,1.0,0.264274537563324,0.733189046382904,0.3650859296321869,0.2283933311700821,0.39493247866630554,0.18354187905788422,0.2374771386384964,0.489897221326828,0.22068053483963013
atp,0.1845729500055313,0.1572589874267578,0.22016242146492004,0.31221768260002136,0.209827721118927,0.19834639132022858,0.09318197518587112,0.21582083404064178,0.39604833722114563,0.4897749125957489,0.1779058277606964,0.17643076181411743
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.20204883813858032,0.5116966962814331,0.3290707468986511,0.24557308852672577,0.36597734689712524,0.1979406476020813,0.24837805330753326,0.3251761794090271,0.20544172823429108
nadph,0.25227585434913635,0.23858213424682617,0.2658582925796509,0.3956817388534546,0.23928865790367126,0.3060775101184845,0.06440279632806778,0.2554939389228821,0.4944181740283966,0.6230658292770386,0.261636883020401,0.20744888484477997
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.35462963581085205,0.41548454761505127,0.35924333333969116,0.1988881677389145,0.38810545206069946,0.21340098977088928,0.2749134600162506,0.2987143397331238,0.29463258385658264
make,0.3792211413383484,0.3331545889377594,0.3146495521068573,0.3547057807445526,0.2912110388278961,0.26686960458755493,0.11789427697658539,0.3341430723667145,0.26266583800315857,0.3055424094200134,0.34440553188323975,0.28314751386642456
organic,0.2020787000656128,0.18208640813827515,0.18354187905788422,0.36310502886772156,0.25553563237190247,0.19152215123176575,0.13054943084716797,0.18179363012313843,1.0000001192092896,0.5948951244354248,0.15865209698677063,0.18969349563121796
molecules,0.2143162339925766,0.20481984317302704,0.2374771386384964,0.3803061544895172,0.24428431689739227,0.26828595995903015,0.08762713521718979,0.28422632813453674,0.5948951244354248,0.9999999403953552,0.22180034220218658,0.17409995198249817
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.21066352725028992,0.4249346852302551,0.23504671454429626,0.18093059957027435,0.3410196900367737,0.18235458433628082,0.19782225787639618,0.2703215777873993,0.19969791173934937
carbon,0.22238978743553162,0.2770232558250427,0.23183570802211761,0.3372330665588379,0.22596238553524017,0.24722594022750854,0.20804579555988312,0.2529049813747406,0.5427814722061157,0.5759997963905334,0.18071772158145905,0.19040444493293762
dioxide,0.2206297367811203,0.2507719099521637,0.21460992097854614,0.35180172324180603,0.19224253296852112,0.25468727946281433,0.13667048513889313,0.23788505792617798,0.5134394764900208,0.5297316312789917,0.1571435183286667,0.19322559237480164
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.19851736724376678,0.5696388483047485,0.22761377692222595,0.21213442087173462,0.38021373748779297,0.23921318352222443,0.2197362184524536,0.40847352147102356,0.20430970191955566
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2601566016674042,0.5052502155303955,0.3139299750328064,0.21319381892681122,0.3461161255836487,0.20014724135398865,0.23147501051425934,0.4868806302547455,0.23916715383529663
process,0.3466717302799225,0.21762968599796295,0.264274537563324,0.9999998807907104,0.23962904512882233,0.3302669823169708,0.12817227840423584,0.2309553474187851,0.36310502886772156,0.3803061544895172,0.20657534897327423,0.2460896074771881
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.1235325038433075,0.35814476013183594,0.1946597844362259,0.22565612196922302,0.1555754393339157,0.21815721690654755,0.1795210838317871,0.4469456970691681,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.22885268926620483,0.3886612355709076,0.30822640657424927,0.2034953236579895,0.24094121158123016,0.23104797303676605,0.2531224191188812,0.2827680706977844,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.264274537563324,0.733189046382904,0.3650859296321869,0.2283933311700821,0.39493247866630554,0.18354187905788422,0.2374771386384964,0.489897221326828,0.22068053483963013
calvin,0.2447197437286377,0.19239427149295807,0.1621416211128235,0.2005436271429062,0.1526912897825241,0.20828360319137573,0.2312597632408142,0.1521087884902954,0.19153288006782532,0.24739672243595123,0.19217027723789215,0.2228267937898636
cycle,0.17920038104057312,0.20626789331436157,0.2701641917228699,0.38962501287460327,0.255176842212677,0.28401583433151245,0.10624489933252335,0.14627525210380554,0.29976195096969604,0.3103310465812683,0.2504095733165741,0.07156776636838913
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23766504228115082,0.5352458953857422,0.29572370648384094,0.1901669055223465,0.26250120997428894,0.2612488567829132,0.25748172402381897,0.300344854593277,0.4130953550338745
