,what,do,the,membership,of,the,committees,reflect,?
committees,0.1853698194026947,0.21152469515800476,0.2924276292324066,0.4488200843334198,0.34709328413009644,0.2924276292324066,1.0,0.17661809921264648,0.1382787674665451
comprise,0.12822939455509186,0.14939749240875244,0.30294761061668396,0.37336158752441406,0.37900012731552124,0.30294761061668396,0.3151780068874359,0.16145795583724976,0.056415483355522156
a,0.3320399522781372,0.26237669587135315,0.5829201340675354,0.2253107875585556,0.5052502155303955,0.5829201340675354,0.21297448873519897,0.21766093373298645,0.23916715383529663
small,0.2504110634326935,0.266916424036026,0.39655908942222595,0.17273348569869995,0.353353351354599,0.39655908942222595,0.23540350794792175,0.17671987414360046,0.13914890587329865
number,0.23046229779720306,0.21539703011512756,0.35145696997642517,0.2773105502128601,0.2778518795967102,0.35145696997642517,0.27348238229751587,0.18363021314144135,0.19256845116615295
of,0.33290785551071167,0.26150479912757874,0.733189046382904,0.26808464527130127,1.0,0.733189046382904,0.34709328413009644,0.2477911114692688,0.1826142966747284
msps,0.1885128617286682,0.2718619704246521,0.3199247419834137,0.5031055808067322,0.32335641980171204,0.3199247419834137,0.4749172627925873,0.23181791603565216,0.14526908099651337
",",0.3087472915649414,0.3283645510673523,0.4933079481124878,0.2181890308856964,0.4946078956127167,0.4933079481124878,0.2178204506635666,0.23001055419445038,0.31091248989105225
with,0.2464839518070221,0.23744353652000427,0.4223487675189972,0.19952984154224396,0.41827285289764404,0.4223487675189972,0.19153587520122528,0.26115813851356506,0.2433311939239502
membership,0.2070973664522171,0.14780209958553314,0.2937599718570709,1.0,0.26808464527130127,0.2937599718570709,0.4488200843334198,0.1917428821325302,0.15225854516029358
reflecting,0.28308379650115967,0.1978600174188614,0.34034740924835205,0.10930376499891281,0.33538100123405457,0.34034740924835205,0.16659903526306152,0.7803627848625183,0.11222316324710846
the,0.42745697498321533,0.30239659547805786,1.0,0.2937599718570709,0.733189046382904,1.0,0.2924276292324066,0.279869943857193,0.22068053483963013
balance,0.25451838970184326,0.2125023752450943,0.2858610153198242,0.139868825674057,0.2267034351825714,0.2858610153198242,0.21250289678573608,0.25654691457748413,0.2381676584482193
of,0.33290785551071167,0.26150479912757874,0.733189046382904,0.26808464527130127,1.0,0.733189046382904,0.34709328413009644,0.2477911114692688,0.1826142966747284
parties,0.21181418001651764,0.17614218592643738,0.2535073459148407,0.402121365070343,0.2394237220287323,0.2535073459148407,0.32811567187309265,0.17100659012794495,0.16949701309204102
across,0.24809791147708893,0.10507063567638397,0.3816230297088623,0.16563521325588226,0.2936134934425354,0.3816230297088623,0.1821759045124054,0.1221449226140976,0.17034576833248138
parliament,0.21650300920009613,0.12404073029756546,0.26521381735801697,0.3979952037334442,0.2885259687900543,0.26521381735801697,0.4124729335308075,0.11525052040815353,0.1586504578590393
.,0.3567904531955719,0.3613996207714081,0.5934505462646484,0.19005811214447021,0.5352458953857422,0.5934505462646484,0.22547543048858643,0.223892942070961,0.4130953550338745
