,in,which,year,are,the,meissen,vulture,in,the,v,&,a,collection,dated,?
among,0.3211768567562103,0.3077724575996399,0.16053339838981628,0.3811550438404083,0.3507058024406433,0.06023651361465454,0.10960164666175842,0.3211768567562103,0.3507058024406433,0.0188618041574955,0.14051596820354462,0.1789381206035614,0.24753311276435852,0.09922044724225998,0.14343059062957764
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.40399202704429626,1.0,0.19695746898651123,0.2869260311126709,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.2046709507703781,0.22068053483963013
finest,0.2985647916793823,0.24203677475452423,0.15557065606117249,0.2640324532985687,0.3178524971008301,0.16646990180015564,0.17227905988693237,0.2985647916793823,0.3178524971008301,0.037361133843660355,0.16447490453720093,0.22842390835285187,0.2893620431423187,0.11896839737892151,0.1559486985206604
examples,0.25567561388015747,0.38271647691726685,0.12472878396511078,0.5214043259620667,0.30092597007751465,0.05992109701037407,0.06129510700702667,0.25567561388015747,0.30092597007751465,0.12880930304527283,0.14307698607444763,0.2633219361305237,0.25887519121170044,0.11911138892173767,0.19976599514484406
are,0.3841303884983063,0.42922598123550415,0.1750577986240387,1.0,0.40399202704429626,0.064503014087677,0.20886194705963135,0.3841303884983063,0.40399202704429626,0.07239489257335663,0.17888472974300385,0.265255331993103,0.22862131893634796,0.06571130454540253,0.24591213464736938
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.40399202704429626,1.0,0.19695746898651123,0.2869260311126709,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.2046709507703781,0.22068053483963013
meissen,0.21525803208351135,0.11319103837013245,0.18741245567798615,0.064503014087677,0.19695746898651123,1.0,0.06632771342992783,0.21525803208351135,0.19695746898651123,0.1418451964855194,0.22483116388320923,0.16626454889774323,0.14367780089378357,0.17235025763511658,0.16592775285243988
vulture,0.17622032761573792,0.21068075299263,0.19614994525909424,0.20886194705963135,0.2869260311126709,0.06632771342992783,1.0,0.17622032761573792,0.2869260311126709,0.11208780854940414,0.1891801357269287,0.2627224028110504,0.18537205457687378,0.09130469709634781,0.15272623300552368
from,0.4274188280105591,0.38755592703819275,0.2101740688085556,0.2674213647842407,0.40150508284568787,0.18715417385101318,0.1356040984392166,0.4274188280105591,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,0.2754948139190674,0.22167015075683594,0.19969791173934937
1731,0.08993563801050186,0.011302274651825428,0.11653026193380356,0.17316928505897522,0.06430859118700027,0.22964374721050262,0.12032186985015869,0.08993563801050186,0.06430859118700027,0.10981278121471405,0.12703116238117218,0.03604751452803612,0.10804003477096558,0.13360098004341125,0.22479785978794098
and,0.4954058527946472,0.506277859210968,0.2506658732891083,0.48576638102531433,0.5171257257461548,0.24878902733325958,0.15974874794483185,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.19221575558185577,0.20544172823429108
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.40399202704429626,1.0,0.19695746898651123,0.2869260311126709,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.2046709507703781,0.22068053483963013
möllendorff,0.2908075451850891,0.1706545054912567,0.2041071355342865,0.12205468118190765,0.28167015314102173,0.6205272078514099,0.2133747935295105,0.2908075451850891,0.28167015314102173,0.1264963299036026,0.16457463800907135,0.3333091139793396,0.20732462406158447,0.1713259518146515,0.2073114514350891
dinner,0.21827612817287445,0.16791853308677673,0.18199680745601654,0.19955651462078094,0.22098013758659363,0.2291867882013321,0.20479990541934967,0.21827612817287445,0.22098013758659363,0.07749062031507492,0.0952678769826889,0.24884018301963806,0.16093404591083527,0.09156523644924164,0.2127307951450348
service,0.1740635335445404,0.25458550453186035,0.17187200486660004,0.14771409332752228,0.22661015391349792,0.13905954360961914,0.131218820810318,0.1740635335445404,0.22661015391349792,0.10466734319925308,0.15812088549137115,0.23104366660118103,0.17616012692451477,0.07140158116817474,0.1676298975944519
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.4062570035457611,0.4933079481124878,0.29312631487846375,0.21827471256256104,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2277175933122635,0.2621086835861206,0.31091248989105225
designed,0.22657902538776398,0.3073212206363678,0.10958598554134369,0.14064814150333405,0.2559613883495331,0.1698833405971527,0.1085418164730072,0.22657902538776398,0.2559613883495331,0.18692530691623688,0.15487702190876007,0.28430381417274475,0.2010653018951416,0.12029305100440979,0.11213942617177963
in,1.0,0.4840516746044159,0.3359307050704956,0.3841303884983063,0.6662389636039734,0.21525803208351135,0.17622032761573792,1.0,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.23004686832427979,0.1982845962047577,0.20430970191955566
1762,-0.009072992019355297,-0.08513066172599792,0.08296332508325577,0.04501461982727051,-0.021051906049251556,0.2221704125404358,0.047070350497961044,-0.009072992019355297,-0.021051906049251556,0.04141394421458244,0.07523507624864578,-0.07169327139854431,0.04408717527985573,0.11356860399246216,0.09378707408905029
by,0.370934396982193,0.40543368458747864,0.28805047273635864,0.37842893600463867,0.4408751428127289,0.1952812522649765,0.11424785107374191,0.370934396982193,0.4408751428127289,0.11988817155361176,0.17475149035453796,0.32094135880470276,0.2678082287311554,0.18139129877090454,0.17966607213020325
frederick,0.24440830945968628,0.14918957650661469,0.13240428268909454,0.10625162720680237,0.24321560561656952,0.4334145784378052,0.08369810879230499,0.24440830945968628,0.24321560561656952,0.21241451799869537,0.17468304932117462,0.21006399393081665,0.18691030144691467,0.09211448580026627,0.16359178721904755
ii,0.21453368663787842,0.20586715638637543,0.18872052431106567,0.16142447292804718,0.2631464898586273,0.2562101185321808,0.19423221051692963,0.21453368663787842,0.2631464898586273,0.31702449917793274,0.12330010533332825,0.2111874669790268,0.10502718389034271,0.13428601622581482,0.11928234249353409
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.40399202704429626,1.0,0.19695746898651123,0.2869260311126709,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.2046709507703781,0.22068053483963013
great,0.23348836600780487,0.2356490194797516,0.12131180614233017,0.13090994954109192,0.2822027802467346,0.1425083428621292,0.1094227209687233,0.23348836600780487,0.2822027802467346,0.06902553886175156,0.08465798944234848,0.21836373209953308,0.1303033083677292,0.13504937291145325,0.13135133683681488
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.3452940285205841,0.5934505462646484,0.2551865577697754,0.19349989295005798,0.5591574311256409,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.2516246736049652,0.2194228619337082,0.4130953550338745
