,who,donated,property,to,the,university,of,chicago,?
the,0.3733934462070465,0.24606364965438843,0.2061677873134613,0.535392165184021,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.22068053483963013
university,0.2115909904241562,0.2528834939002991,0.12480206787586212,0.20192374289035797,0.263973206281662,1.0,0.30646374821662903,0.29005804657936096,0.11887256056070328
of,0.2827862501144409,0.27521181106567383,0.2299845814704895,0.41548454761505127,0.733189046382904,0.30646374821662903,1.0,0.18391016125679016,0.1826142966747284
chicago,0.2047077715396881,0.13364122807979584,0.15229015052318573,0.19278118014335632,0.27360326051712036,0.29005804657936096,0.18391016125679016,1.0,0.16446958482265472
was,0.3318818509578705,0.2994552254676819,0.14319737255573273,0.3636345863342285,0.48711544275283813,0.290752112865448,0.4069072902202606,0.2574843168258667,0.18412111699581146
created,0.25695955753326416,0.359195739030838,0.16169841587543488,0.2592601478099823,0.3539263904094696,0.1638617217540741,0.32043445110321045,0.12892793118953705,0.21177415549755096
and,0.41279885172843933,0.2513214945793152,0.26201775670051575,0.48971283435821533,0.5171257257461548,0.2665814459323883,0.5116966962814331,0.23260825872421265,0.20544172823429108
incorporated,0.10158542543649673,0.3084091246128082,0.2461344301700592,0.18012776970863342,0.28890469670295715,0.20820875465869904,0.2825961709022522,0.20135851204395294,0.13423967361450195
as,0.3923053741455078,0.23766061663627625,0.16548745334148407,0.42092081904411316,0.48381632566452026,0.21858684718608856,0.3886612355709076,0.16836167871952057,0.27043893933296204
a,0.36608949303627014,0.25708192586898804,0.237611323595047,0.45503583550453186,0.5829201340675354,0.20256656408309937,0.5052502155303955,0.17899899184703827,0.23916715383529663
coeducational,0.22045981884002686,0.28341445326805115,0.22868533432483673,0.2685796618461609,0.2608894407749176,0.6217418909072876,0.3463992476463318,0.3158510625362396,0.17383158206939697
",",0.3365725874900818,0.2569865584373474,0.19562678039073944,0.44245919585227966,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.31091248989105225
secular,0.24036633968353271,0.24693909287452698,0.22056350111961365,0.19456274807453156,0.24261851608753204,0.30142930150032043,0.28420427441596985,0.1613428145647049,0.13290788233280182
institution,0.24997705221176147,0.30893996357917786,0.2677379548549652,0.20479217171669006,0.2866198718547821,0.5332680940628052,0.3115397095680237,0.19838733971118927,0.18802334368228912
in,0.2792111933231354,0.2671816647052765,0.19798405468463898,0.45010748505592346,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.23921214044094086,0.20430970191955566
1890,0.08397246152162552,-0.06349543482065201,-0.13964180648326874,-0.14688268303871155,-0.08158351480960846,0.0057269916869699955,-0.06748127192258835,-0.06956356763839722,-0.0038504337426275015
by,0.39727845788002014,0.24880395829677582,0.1791124939918518,0.33534231781959534,0.4408751428127289,0.1929011344909668,0.3646814823150635,0.18057090044021606,0.17966607213020325
the,0.3733934462070465,0.24606364965438843,0.2061677873134613,0.535392165184021,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.22068053483963013
american,0.3093835413455963,0.18537229299545288,0.08791211247444153,0.16338081657886505,0.24562937021255493,0.22128956019878387,0.22180068492889404,0.3793830871582031,0.18877598643302917
baptist,0.2024499624967575,0.24350614845752716,0.12533463537693024,0.16161905229091644,0.19322502613067627,0.2729613482952118,0.2294047474861145,0.193944051861763,0.13512451946735382
education,0.2051982581615448,0.22062870860099792,0.16101230680942535,0.2626708149909973,0.23982903361320496,0.503289520740509,0.3015166223049164,0.17451082170009613,0.18067774176597595
society,0.2507454752922058,0.20768830180168152,0.2502780854701996,0.20199917256832123,0.2789285480976105,0.27261555194854736,0.23646748065948486,0.1606089323759079,0.1373005360364914
and,0.41279885172843933,0.2513214945793152,0.26201775670051575,0.48971283435821533,0.5171257257461548,0.2665814459323883,0.5116966962814331,0.23260825872421265,0.20544172823429108
a,0.36608949303627014,0.25708192586898804,0.237611323595047,0.45503583550453186,0.5829201340675354,0.20256656408309937,0.5052502155303955,0.17899899184703827,0.23916715383529663
donation,0.2374318391084671,0.6701980829238892,0.25019097328186035,0.32586413621902466,0.2916262447834015,0.27285951375961304,0.2724698781967163,0.13393603265285492,0.2340010702610016
from,0.27839982509613037,0.21309159696102142,0.1392105519771576,0.4069952368736267,0.40150508284568787,0.2771088182926178,0.4249346852302551,0.21376916766166687,0.19969791173934937
oil,0.13999517261981964,0.25947412848472595,0.18300776183605194,0.1619214415550232,0.21849922835826874,0.14503049850463867,0.22900764644145966,0.08672285079956055,0.14867261052131653
magnate,0.25411370396614075,0.30608752369880676,0.2667907178401947,0.19903051853179932,0.1785733550786972,0.2510603964328766,0.2203247845172882,0.22691069543361664,0.10767308622598648
and,0.41279885172843933,0.2513214945793152,0.26201775670051575,0.48971283435821533,0.5171257257461548,0.2665814459323883,0.5116966962814331,0.23260825872421265,0.20544172823429108
philanthropist,0.3028671145439148,0.39673593640327454,0.2634255290031433,0.12948530912399292,0.16342972218990326,0.27904951572418213,0.1899431347846985,0.2847326993942261,0.13706831634044647
john,0.30388808250427246,0.17012862861156464,0.10611849278211594,0.2070634365081787,0.2230520099401474,0.17917944490909576,0.2407056987285614,0.22266864776611328,0.13162356615066528
d.,0.2071729600429535,0.02563055232167244,-0.03138699755072594,0.0027304880786687136,0.03410084545612335,-0.04384462907910347,0.025261009112000465,0.02317272499203682,-0.049560099840164185
rockefeller,0.20213492214679718,0.34823980927467346,0.2357126921415329,0.2265791893005371,0.2275867909193039,0.32498377561569214,0.25062477588653564,0.3307574689388275,0.1453901082277298
on,0.2340552806854248,0.16190804541110992,0.1105850338935852,0.41031414270401,0.5107308030128479,0.18291500210762024,0.3966929316520691,0.26147979497909546,0.2714994251728058
land,0.2111203372478485,0.21239589154720306,0.3866153657436371,0.2885280251502991,0.28587454557418823,0.15340852737426758,0.3057127296924591,0.06499012559652328,0.1432059109210968
donated,0.21087589859962463,0.9999998807907104,0.2954616844654083,0.25148287415504456,0.24606364965438843,0.2528834939002991,0.27521181106567383,0.13364122807979584,0.10052662342786789
by,0.39727845788002014,0.24880395829677582,0.1791124939918518,0.33534231781959534,0.4408751428127289,0.1929011344909668,0.3646814823150635,0.18057090044021606,0.17966607213020325
marshall,0.20374739170074463,0.12450817227363586,0.06121474876999855,0.21343639492988586,0.22928133606910706,0.2478753626346588,0.20384931564331055,0.24403218924999237,0.18167579174041748
field,0.18098586797714233,0.09554650634527206,0.18600156903266907,0.2647967040538788,0.2105809599161148,0.2145719975233078,0.20410659909248352,0.17056646943092346,0.11279727518558502
.,0.3541337847709656,0.28309792280197144,0.22922755777835846,0.4645031690597534,0.5934505462646484,0.290679007768631,0.5352458953857422,0.2771213948726654,0.4130953550338745
