,how,did,the,mongols,acquire,chinese,printing,technology,?
chinese,0.21388240158557892,0.19065357744693756,0.2785343527793884,0.37191540002822876,0.07938074320554733,1.0000001192092896,0.2354675531387329,0.18595172464847565,0.20843194425106049
printing,0.20075497031211853,0.21873839199543,0.24993151426315308,0.19962361454963684,0.1787908524274826,0.2354675531387329,1.0000001192092896,0.29481109976768494,0.17118792235851288
technology,0.20081453025341034,0.11363749206066132,0.21669498085975647,0.1930881142616272,0.20848225057125092,0.18595172464847565,0.29481109976768494,0.9999998807907104,0.11564995348453522
was,0.16678167879581451,0.41399896144866943,0.48711544275283813,0.19519121944904327,0.16291773319244385,0.21259073913097382,0.19471904635429382,0.20640774071216583,0.18412111699581146
transferred,0.14769014716148376,0.178294375538826,0.34201255440711975,0.12867754697799683,0.22372330725193024,0.09608176350593567,0.25946715474128723,0.25798800587654114,0.1139405146241188
to,0.44169697165489197,0.4452643394470215,0.535392165184021,0.230276957154274,0.19960732758045197,0.17416036128997803,0.1891471892595291,0.25372135639190674,0.29463258385658264
the,0.33890387415885925,0.34736719727516174,1.0,0.310281366109848,0.19284681975841522,0.2785343527793884,0.24993151426315308,0.21669498085975647,0.22068053483963013
mongols,0.14048407971858978,0.21908389031887054,0.310281366109848,0.9999999403953552,0.11026933789253235,0.37191540002822876,0.19962361454963684,0.1930881142616272,0.11517509818077087
through,0.2704794108867645,0.14190755784511566,0.44071322679519653,0.206434428691864,0.25065216422080994,0.12604734301567078,0.2273322343826294,0.18886035680770874,0.16913433372974396
kingdom,0.14039388298988342,0.15448923408985138,0.3143408000469208,0.24654613435268402,0.19302988052368164,0.20444747805595398,0.1263411045074463,0.1487397700548172,0.12927088141441345
of,0.2480744868516922,0.2513895630836487,0.733189046382904,0.23517343401908875,0.19236667454242706,0.24275560677051544,0.23686911165714264,0.25238582491874695,0.1826142966747284
qocho,0.18518297374248505,0.18618051707744598,0.30962467193603516,0.2715598940849304,0.12355039268732071,0.1836785227060318,0.13958260416984558,0.16653451323509216,0.1867162138223648
and,0.33647966384887695,0.34479495882987976,0.5171257257461548,0.2535054385662079,0.23553775250911713,0.25892454385757446,0.20254148542881012,0.2333960235118866,0.20544172823429108
tibetan,0.10727471113204956,0.11004411429166794,0.2316000759601593,0.39786991477012634,0.06426125019788742,0.46510982513427734,0.19841915369033813,0.0781768411397934,0.14673879742622375
intermediaries,0.24696914851665497,0.2125113159418106,0.3535521328449249,0.19402123987674713,0.30364200472831726,0.14369283616542816,0.33567512035369873,0.19564104080200195,0.1869824230670929
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.1921418309211731,0.15675117075443268,0.25441038608551025,0.3019598126411438,0.21310871839523315,0.4130953550338745
