,why,does,fresno,only,have,uhf,television,stations,?
to,0.4100138247013092,0.4391997456550598,0.22500741481781006,0.5096819996833801,0.4544740617275238,0.18300490081310272,0.1933557242155075,0.21700026094913483,0.29463258385658264
avoid,0.3182125687599182,0.274709552526474,0.06693504750728607,0.29110029339790344,0.34519410133361816,0.09872632473707199,0.12531141936779022,0.15726366639137268,0.26885488629341125
interference,0.2652338147163391,0.2519753873348236,0.10481394827365875,0.2837539613246918,0.26480624079704285,0.2897702753543854,0.23913797736167908,0.23626571893692017,0.11166875064373016
with,0.24107445776462555,0.26186925172805786,0.20853616297245026,0.367427259683609,0.48046383261680603,0.2046957015991211,0.17469868063926697,0.1949257254600525,0.2433311939239502
existing,0.3168794512748718,0.3105159401893616,0.18334603309631348,0.3765083849430084,0.39780059456825256,0.2297394573688507,0.20098453760147095,0.2720181941986084,0.31003472208976746
vhf,0.2761811912059784,0.2452114373445511,0.1944403201341629,0.3375394642353058,0.3056565225124359,0.7892923355102539,0.42805016040802,0.4545639455318451,0.22005349397659302
television,0.17270535230636597,0.1469985842704773,0.2899557948112488,0.19228580594062805,0.1811555027961731,0.47103428840637207,1.0000001192092896,0.3494590222835541,0.16825827956199646
stations,0.14648529887199402,0.2039099484682083,0.21780270338058472,0.2648601830005646,0.23396307229995728,0.46854308247566223,0.3494590222835541,1.0,0.13192185759544373
in,0.23227278888225555,0.214483380317688,0.26126348972320557,0.42992329597473145,0.36843645572662354,0.20175614953041077,0.2689782977104187,0.25864288210868835,0.20430970191955566
the,0.30742117762565613,0.35928019881248474,0.22571885585784912,0.5497692227363586,0.40389683842658997,0.22236087918281555,0.24569597840309143,0.24762700498104095,0.22068053483963013
san,0.11058209836483002,0.11352116614580154,0.4697914123535156,0.16803529858589172,0.1570361703634262,0.13375629484653473,0.18348684906959534,0.14577314257621765,0.10952327400445938
francisco,0.11068418622016907,0.11213262379169464,0.4791446030139923,0.14193682372570038,0.15268315374851227,0.13048212230205536,0.21583861112594604,0.14522475004196167,0.1020219698548317
bay,0.11933799088001251,0.08515701442956924,0.2863876223564148,0.173993319272995,0.15422046184539795,0.14995479583740234,0.18411792814731598,0.19010643661022186,0.10773546993732452
area,0.18206411600112915,0.13779224455356598,0.21332328021526337,0.23753991723060608,0.26105478405952454,0.21803753077983856,0.17823682725429535,0.3089348375797272,0.12640461325645447
