,scottish,or,irish,describe,the,type,of,what,people,in,newcastle,have,?
many,0.12051273137331009,0.36905089020729065,0.17314890027046204,0.3418958783149719,0.4335206151008606,0.19664129614830017,0.37253960967063904,0.36131182312965393,0.4171447455883026,0.41474202275276184,0.17336907982826233,0.5841760635375977,0.2124512493610382
people,0.08992511034011841,0.335800439119339,0.15654484927654266,0.2086736559867859,0.36838498711586,0.21299324929714203,0.3251037895679474,0.32444337010383606,1.0000001192092896,0.39605680108070374,0.16268238425254822,0.3380994498729706,0.23739641904830933
in,0.16512006521224976,0.3586423695087433,0.17023150622844696,0.2910135090351105,0.6662389636039734,0.20604541897773743,0.5696388483047485,0.30808621644973755,0.39605680108070374,1.0,0.19270820915699005,0.36843645572662354,0.20430970191955566
the,0.21724988520145416,0.4174870550632477,0.20936301350593567,0.26495152711868286,1.0,0.21819381415843964,0.733189046382904,0.42745697498321533,0.36838498711586,0.6662389636039734,0.2253497689962387,0.40389683842658997,0.22068053483963013
city,0.14453482627868652,0.129682257771492,0.1839885413646698,0.09587062150239944,0.35769423842430115,0.1293686032295227,0.32503411173820496,0.17493832111358643,0.34653446078300476,0.3911624252796173,0.32860881090164185,0.154191792011261,0.13423943519592285
have,0.16749897599220276,0.46389055252075195,0.15103065967559814,0.3165830671787262,0.40389683842658997,0.242574080824852,0.3802283704280853,0.39808809757232666,0.3380994498729706,0.36843645572662354,0.136333167552948,0.9999999403953552,0.32991164922714233
scottish,1.0000001192092896,0.18833233416080475,0.4762323498725891,0.12855732440948486,0.21724988520145416,0.0705372765660286,0.1698460429906845,0.13777151703834534,0.08992511034011841,0.16512006521224976,0.3192462623119354,0.16749897599220276,0.06442669779062271
or,0.18833233416080475,1.0000001192092896,0.17571505904197693,0.40484312176704407,0.4174870550632477,0.38183850049972534,0.3792596757411957,0.33867141604423523,0.335800439119339,0.3586423695087433,0.1669546514749527,0.46389055252075195,0.32389625906944275
irish,0.4762323498725891,0.17571505904197693,1.0000001192092896,0.1827981323003769,0.20936301350593567,0.13536709547042847,0.1534920334815979,0.12490905076265335,0.15654484927654266,0.17023150622844696,0.27736136317253113,0.15103065967559814,0.09232300519943237
ancestors,0.18385951220989227,0.19528710842132568,0.1850559562444687,0.2081882804632187,0.23115548491477966,0.1562424898147583,0.23672950267791748,0.22683857381343842,0.296721875667572,0.18221673369407654,0.14302340149879456,0.36450138688087463,0.16007879376411438
.,0.20125295221805573,0.36683785915374756,0.2006680816411972,0.17917026579380035,0.5934505462646484,0.23195341229438782,0.5352458953857422,0.3567904531955719,0.33118996024131775,0.5591574311256409,0.2714749276638031,0.41614407300949097,0.4130953550338745
