,what,is,the,source,of,oxygen,production,through,electrocatalytic,means,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.18778453767299652,0.5052502155303955,0.21662019193172455,0.19671310484409332,0.3399752974510193,0.2753792703151703,0.34418490529060364,0.23916715383529663
similar,0.30608364939689636,0.28929588198661804,0.2963123023509979,0.16025902330875397,0.2911645472049713,0.18074680864810944,0.1919974535703659,0.18316879868507385,0.24957676231861115,0.29454028606414795,0.23309361934661865
method,0.25476205348968506,0.21948537230491638,0.21624743938446045,0.23412533104419708,0.22896558046340942,0.2175072282552719,0.2256782203912735,0.23965372145175934,0.4078298509120941,0.23284929990768433,0.2194802314043045
is,0.28837618231773376,1.0,0.5823672413825989,0.2948454022407532,0.4854315221309662,0.21825239062309265,0.19756923615932465,0.27805060148239136,0.23856216669082642,0.4087343215942383,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.30258262157440186,0.733189046382904,0.20428593456745148,0.2657334506511688,0.44071322679519653,0.21687184274196625,0.32225894927978516,0.22068053483963013
electrocatalytic,0.25686323642730713,0.23856216669082642,0.21687184274196625,0.2385677546262741,0.23522505164146423,0.5300045609474182,0.32726067304611206,0.25016653537750244,1.0,0.20095644891262054,0.2268386036157608
o,0.1489914506673813,0.18684464693069458,0.19071193039417267,0.036684952676296234,0.16054381430149078,0.2476140707731247,0.13187889754772186,0.10471638292074203,0.1821591705083847,0.18429578840732574,0.23868927359580994
2,-0.049862053245306015,-0.07940074801445007,-0.019434669986367226,-0.013325663283467293,-0.013777675107121468,0.04063820466399193,0.05901121720671654,-0.022909732535481453,0.08506514132022858,-0.010696851648390293,0.001977203879505396
evolution,0.2432696372270584,0.18654386699199677,0.2514035999774933,0.15841111540794373,0.23780936002731323,0.25109052658081055,0.2705155909061432,0.18545840680599213,0.3008113503456116,0.20102651417255402,0.26797422766685486
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.22562673687934875,0.4249346852302551,0.23457925021648407,0.1411544233560562,0.4291878044605255,0.20461410284042358,0.24772962927818298,0.19969791173934937
oxides,0.1899927854537964,0.2404932975769043,0.15098689496517181,0.14410975575447083,0.19486629962921143,0.6094407439231873,0.16895675659179688,0.19279982149600983,0.5329631567001343,0.2407166063785553,0.18569931387901306
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24024291336536407,0.5116966962814331,0.22261030972003937,0.25569969415664673,0.3666759729385376,0.21855168044567108,0.25371095538139343,0.20544172823429108
oxoacids,0.20165061950683594,0.2441483736038208,0.1955525279045105,0.23058637976646423,0.21343551576137543,0.5329724550247192,0.2627617120742798,0.17497378587722778,0.5896400213241577,0.24613767862319946,0.23475199937820435
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2883438467979431,0.5352458953857422,0.2554275095462799,0.22297915816307068,0.3174465596675873,0.25682714581489563,0.18089891970157623,0.4130953550338745
