,what,is,the,chloroplast,double,membrane,sometimes,compared,to,?
the,0.42745697498321533,0.5823672413825989,1.0,0.21317854523658752,0.21355170011520386,0.21814598143100739,0.35816407203674316,0.28685078024864197,0.535392165184021,0.22068053483963013
chloroplast,0.23505516350269318,0.20798198878765106,0.21317854523658752,1.0000001192092896,0.28560876846313477,0.6168951392173767,0.21952104568481445,0.1808539628982544,0.22531428933143616,0.12532055377960205
double,0.16209302842617035,0.1794169545173645,0.21355170011520386,0.28560876846313477,1.0000001192092896,0.22057689726352692,0.1987244337797165,0.1284560263156891,0.16518351435661316,0.10017921775579453
membrane,0.1647152304649353,0.21774554252624512,0.21814598143100739,0.6168951392173767,0.22057689726352692,0.9999999403953552,0.26100826263427734,0.22129520773887634,0.17791007459163666,0.18908235430717468
is,0.28837618231773376,1.0,0.5823672413825989,0.20798198878765106,0.1794169545173645,0.21774554252624512,0.3757973313331604,0.2816821038722992,0.42745086550712585,0.22961433231830597
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.27024057507514954,0.22801613807678223,0.22376596927642822,0.5747261643409729,0.3185969591140747,0.5348826050758362,0.21848613023757935
often,0.3849453330039978,0.3856629431247711,0.38004449009895325,0.26007363200187683,0.21724660694599152,0.24455560743808746,0.791614830493927,0.3514964282512665,0.4351843297481537,0.23748154938220978
compared,0.241532102227211,0.2816821038722992,0.28685078024864197,0.1808539628982544,0.1284560263156891,0.22129520773887634,0.2736485004425049,1.0000001192092896,0.2345995306968689,0.21399109065532684
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.22531428933143616,0.16518351435661316,0.17791007459163666,0.4055429697036743,0.2345995306968689,1.0,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.21317854523658752,0.21355170011520386,0.21814598143100739,0.35816407203674316,0.28685078024864197,0.535392165184021,0.22068053483963013
mitochondrial,0.2592276632785797,0.23226375877857208,0.23669825494289398,0.6524159908294678,0.2628253996372223,0.5812596082687378,0.2075454592704773,0.25961482524871826,0.2295791655778885,0.19248080253601074
double,0.16209302842617035,0.1794169545173645,0.21355170011520386,0.28560876846313477,1.0000001192092896,0.22057689726352692,0.1987244337797165,0.1284560263156891,0.16518351435661316,0.10017921775579453
membrane,0.1647152304649353,0.21774554252624512,0.21814598143100739,0.6168951392173767,0.22057689726352692,0.9999999403953552,0.26100826263427734,0.22129520773887634,0.17791007459163666,0.18908235430717468
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2371024191379547,0.22321613132953644,0.20517759025096893,0.24956031143665314,0.27071613073349,0.4645031690597534,0.4130953550338745
