,what,was,the,proportion,of,huguenots,to,catholics,at,their,peak,?
huguenot,0.1912020891904831,0.24281072616577148,0.29557526111602783,0.2584514617919922,0.29061198234558105,0.9459913372993469,0.24496324360370636,0.46547871828079224,0.23064149916172028,0.2711643874645233,0.10837091505527496,0.1359742432832718
numbers,0.24586999416351318,0.13953587412834167,0.293011337518692,0.3503205478191376,0.228018656373024,0.22225825488567352,0.29515770077705383,0.2120741307735443,0.13052843511104584,0.2700943946838379,0.15920467674732208,0.19297972321510315
peaked,0.16012544929981232,0.3009093403816223,0.24022316932678223,0.2132011353969574,0.18606790900230408,0.18099269270896912,0.173691987991333,0.1487259715795517,0.2616417109966278,0.13635051250457764,0.5373177528381348,0.17896412312984467
near,0.19414293766021729,0.1933041363954544,0.2879819869995117,0.14002928137779236,0.2651676535606384,0.23730847239494324,0.2456841915845871,0.10663847625255585,0.4118472635746002,0.12608613073825836,0.2608553469181061,0.10734958201646805
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.1597714126110077,0.32280945777893066,0.1543605476617813,0.3138085603713989,0.17834097146987915,0.2446778565645218,0.19624626636505127,0.14859126508235931,0.19793890416622162
estimated,0.19670580327510834,0.2472851723432541,0.29184040427207947,0.41945335268974304,0.30473583936691284,0.20818644762039185,0.2046545445919037,0.16721254587173462,0.2611149847507477,0.18759000301361084,0.3204050064086914,0.18149758875370026
two,0.23363454639911652,0.27166637778282166,0.43858039379119873,0.26444563269615173,0.37726253271102905,0.22564725577831268,0.3343428373336792,0.20135033130645752,0.32178381085395813,0.401440292596817,0.20992541313171387,0.19645625352859497
million,0.22197039425373077,0.24203833937644958,0.277012437582016,0.24499662220478058,0.21686489880084991,0.22853150963783264,0.22033339738845825,0.19042232632637024,0.189541757106781,0.20348919928073883,0.17821021378040314,0.23092924058437347
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.2305578887462616,0.3646814823150635,0.16713643074035645,0.33534231781959534,0.2096707820892334,0.2368064820766449,0.3242124021053314,0.17175252735614777,0.17966607213020325
1562,0.02059434913098812,0.09683054685592651,0.06752016395330429,-0.07021015882492065,0.13883134722709656,-0.022488681599497795,-0.031377606093883514,0.02243993803858757,0.03647898882627487,0.0494038462638855,0.01034172996878624,0.018519774079322815
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23342293500900269,0.4946078956127167,0.23394492268562317,0.44245919585227966,0.2824510335922241,0.38314947485923767,0.3045167922973633,0.23029130697250366,0.31091248989105225
concentrated,0.20476274192333221,0.22351744771003723,0.2688957750797272,0.3469870388507843,0.28396520018577576,0.1655404418706894,0.2865214943885803,0.16943064332008362,0.20784372091293335,0.2531528174877167,0.2261151820421219,0.11501483619213104
mainly,0.29325804114341736,0.26961684226989746,0.3790479004383087,0.23412375152111053,0.3325652480125427,0.22023320198059082,0.31092169880867004,0.20251329243183136,0.21172043681144714,0.29514583945274353,0.12459562718868256,0.07608037441968918
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2268213927745819,0.5696388483047485,0.25916293263435364,0.45010748505592346,0.20728369057178497,0.4374977946281433,0.34976133704185486,0.19557836651802063,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.2945463955402374,0.733189046382904,0.30745792388916016,0.535392165184021,0.27357813715934753,0.457212895154953,0.516537070274353,0.21859097480773926,0.22068053483963013
southern,0.18679563701152802,0.23717372119426727,0.3282862603664398,0.13574984669685364,0.31933003664016724,0.195220947265625,0.18284058570861816,0.18863129615783691,0.23545321822166443,0.16032712161540985,0.24159999191761017,0.11225555837154388
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2984730005264282,0.5116966962814331,0.28783127665519714,0.48971283435821533,0.2484855204820633,0.3571503460407257,0.45114588737487793,0.1847066879272461,0.20544172823429108
central,0.17723965644836426,0.21519865095615387,0.3417201042175293,0.2063639909029007,0.3415789008140564,0.11075785756111145,0.21511952579021454,0.19750723242759705,0.22031977772712708,0.14308218657970428,0.24151477217674255,0.14787602424621582
parts,0.3415631353855133,0.239912748336792,0.4042440354824066,0.20988549292087555,0.3379773199558258,0.1760805994272232,0.24449384212493896,0.17978888750076294,0.1476384699344635,0.23319964110851288,0.17949603497982025,0.12310896813869476
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.326309472322464,1.0,0.27577435970306396,0.41548454761505127,0.3054737448692322,0.42558613419532776,0.4329940676689148,0.13134954869747162,0.1826142966747284
france,0.17793065309524536,0.2715669870376587,0.35517507791519165,0.20929396152496338,0.3265724182128906,0.44966813921928406,0.2670897841453552,0.2539888322353363,0.2402782440185547,0.18637089431285858,0.08417224138975143,0.15069349110126495
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23342293500900269,0.4946078956127167,0.23394492268562317,0.44245919585227966,0.2824510335922241,0.38314947485923767,0.3045167922973633,0.23029130697250366,0.31091248989105225
about,0.47976887226104736,0.2577359974384308,0.37995871901512146,0.2766290307044983,0.40939709544181824,0.17959064245224,0.391953706741333,0.2221035212278366,0.3110121488571167,0.25792208313941956,0.18974977731704712,0.302409827709198
