,how,did,luther,smuggle,12,nuns,out,of,a,convent,during,the,rebellion,?
martin,0.08468687534332275,0.15959656238555908,0.6228963136672974,0.193876713514328,-0.04301225766539574,0.16782696545124054,0.148545503616333,0.13722093403339386,0.2163310945034027,0.1916983276605606,0.15870913863182068,0.22029393911361694,0.08932177722454071,0.060103293508291245
luther,0.13354721665382385,0.23667675256729126,1.0,0.17086482048034668,-0.047294799238443375,0.3110099732875824,0.1738509088754654,0.1719115972518921,0.17967689037322998,0.23039324581623077,0.18200165033340454,0.1759674996137619,0.14159438014030457,0.1732746809720993
married,0.1005021259188652,0.199991375207901,0.1496782898902893,0.13647045195102692,0.024944499135017395,0.20537450909614563,0.14883802831172943,0.1619977355003357,0.14421910047531128,0.2641894519329071,0.16795799136161804,0.10720405727624893,0.14481058716773987,0.18062160909175873
katharina,0.10002371668815613,0.20237471163272858,0.34570983052253723,0.11439622938632965,-0.04039614647626877,0.2480723261833191,0.10584259778261185,0.15356898307800293,0.14513367414474487,0.2537548243999481,0.14478260278701782,0.15183475613594055,0.15790832042694092,0.13054367899894714
von,0.1710921674966812,0.22224590182304382,0.30416905879974365,0.11844459921121597,0.04273894056677818,0.2239215224981308,0.07438871264457703,0.19899946451187134,0.18142175674438477,0.2295064926147461,0.17498056590557098,0.21817399561405182,0.11916540563106537,0.13907472789287567
bora,0.11161238700151443,0.06930505484342575,0.1740429401397705,0.1197202056646347,0.07419966161251068,0.12774157524108887,0.12044070661067963,0.11102933436632156,0.1432182341814041,0.0852518156170845,0.1289696991443634,0.2240651249885559,0.09088774025440216,0.13829001784324646
",",0.22659391164779663,0.3015086054801941,0.23255878686904907,0.19465413689613342,0.20046983659267426,0.20547693967819214,0.3161109685897827,0.4946078956127167,0.427140474319458,0.18241924047470093,0.3225448727607727,0.4933079481124878,0.17869777977466583,0.31091248989105225
one,0.3213292360305786,0.27659472823143005,0.1255420446395874,0.1833842694759369,0.23354259133338928,0.14305128157138824,0.3521561622619629,0.4999135136604309,0.4910551905632019,0.14350663125514984,0.3187117278575897,0.5514441132545471,0.1550287902355194,0.2673267424106598
of,0.2480744868516922,0.2513895630836487,0.1719115972518921,0.2106078416109085,0.2886716425418854,0.23820213973522186,0.34176841378211975,1.0,0.5052502155303955,0.23437820374965668,0.3869180977344513,0.733189046382904,0.22559593617916107,0.1826142966747284
12,0.10959922522306442,0.11160892248153687,-0.047294799238443375,0.09271088987588882,1.0000001192092896,0.1631900519132614,0.12620000541210175,0.2886716425418854,0.2757076025009155,0.07197853922843933,0.12063150107860565,0.28907760977745056,0.10602378845214844,0.10021790862083435
nuns,0.16819284856319427,0.25228947401046753,0.3110099732875824,0.19866381585597992,0.1631900519132614,1.0000001192092896,0.18137362599372864,0.23820213973522186,0.180294007062912,0.4382174611091614,0.20578989386558533,0.24968461692333221,0.2741120755672455,0.17051644623279572
he,0.2594625651836395,0.3292143940925598,0.2454872578382492,0.20097462832927704,0.0714946985244751,0.2655799686908722,0.29240235686302185,0.38706058263778687,0.4393508732318878,0.2446995973587036,0.3751114010810852,0.4571082592010498,0.20674924552440643,0.2089974731206894
