,what,was,the,wedding,date,?
the,0.42745697498321533,0.48711544275283813,1.0,0.22881533205509186,0.25333094596862793,0.22068053483963013
wedding,0.17059311270713806,0.18746258318424225,0.22881533205509186,1.0,0.20543111860752106,0.13745874166488647
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.18746258318424225,0.23531168699264526,0.18412111699581146
held,0.0974166989326477,0.30231067538261414,0.32185450196266174,0.2629241645336151,0.11118277907371521,0.14103956520557404
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.16322089731693268,0.21806180477142334,0.2714994251728058
12,0.1696145385503769,0.13560841977596283,0.28907760977745056,0.13745486736297607,0.10722799599170685,0.10021790862083435
may,0.25739946961402893,0.3388521671295166,0.2694292366504669,0.19194653630256653,0.27594587206840515,0.2768254578113556
1191,0.18917204439640045,0.21219797432422638,0.18893873691558838,0.08541890233755112,0.05736197158694267,0.08324359357357025
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.21306031942367554,0.24779295921325684,0.21978627145290375
the,0.42745697498321533,0.48711544275283813,1.0,0.22881533205509186,0.25333094596862793,0.22068053483963013
chapel,0.21555310487747192,0.24186702072620392,0.22978568077087402,0.3480600118637085,0.12799836695194244,0.11566921323537827
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2033441811800003,0.19568462669849396,0.1826142966747284
st.,0.10219959169626236,0.17142929136753082,0.18141359090805054,0.17428334057331085,0.11393146216869354,0.13592876493930817
george,0.22000353038311005,0.2601471245288849,0.2510760426521301,0.17169679701328278,0.06071462482213974,0.1479024887084961
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.18421560525894165,0.21585220098495483,0.20544172823429108
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.16266271471977234,0.2222152203321457,0.25732165575027466
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.18746258318424225,0.23531168699264526,0.18412111699581146
attended,0.08783939480781555,0.3633120656013489,0.2369099110364914,0.2902924120426178,0.11947660148143768,0.08268529176712036
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.15330475568771362,0.1930214762687683,0.17966607213020325
richard,0.19329693913459778,0.26966050267219543,0.2087954580783844,0.21144221723079681,0.11039349436759949,0.15003317594528198
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,-0.03464018553495407,-0.028415024280548096,-0.023395681753754616
sister,0.1249556615948677,0.1974511742591858,0.1446198970079422,0.27044737339019775,0.15564322471618652,0.15028199553489685
joan,0.09794939309358597,0.1992645412683487,0.12128341197967529,0.2250356525182724,0.02266136184334755,0.11817244440317154
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.1998375803232193,0.2279704213142395,0.31091248989105225
whom,0.27163395285606384,0.2438793033361435,0.23752936720848083,0.270050972700119,0.16920205950737,0.222135990858078
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.19619472324848175,0.12627369165420532,0.2089974731206894
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.2271544337272644,0.1289709359407425,0.20728366076946259
brought,0.26212388277053833,0.35886916518211365,0.32700833678245544,0.2113271951675415,0.15655942261219025,0.2339296191930771
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.1268589049577713,0.20628158748149872,0.19969791173934937
sicily,0.19869458675384521,0.1847773641347885,0.19926249980926514,0.2109677940607071,0.16229867935180664,0.18028976023197174
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2239087074995041,0.2508279085159302,0.4130953550338745
