,who,was,the,medical,report,written,for,?
the,0.3733934462070465,0.48711544275283813,1.0,0.2398311346769333,0.2556745111942291,0.2582438886165619,0.4739971458911896,0.22068053483963013
most,0.35393568873405457,0.29933857917785645,0.47635307908058167,0.19075526297092438,0.15862242877483368,0.20129439234733582,0.3906237483024597,0.2107497900724411
authoritative,0.2014772891998291,0.22951623797416687,0.24288342893123627,0.2945634126663208,0.385189950466156,0.2721676528453827,0.2552458345890045,0.32984670996665955
account,0.32250672578811646,0.23784546554088593,0.21117976307868958,0.24662412703037262,0.31759610772132874,0.15253157913684845,0.25532788038253784,0.34417325258255005
at,0.22096660733222961,0.36707764863967896,0.457212895154953,0.22335685789585114,0.2458806037902832,0.13251608610153198,0.34237727522850037,0.21978627145290375
the,0.3733934462070465,0.48711544275283813,1.0,0.2398311346769333,0.2556745111942291,0.2582438886165619,0.4739971458911896,0.22068053483963013
time,0.36634087562561035,0.3641340136528015,0.43061500787734985,0.16926339268684387,0.20502731204032898,0.20809157192707062,0.3992156386375427,0.27391523122787476
came,0.26680538058280945,0.4994563162326813,0.39390382170677185,0.11849628388881683,0.12443063408136368,0.17800278961658478,0.2774851322174072,0.1739392727613449
from,0.27839982509613037,0.31171464920043945,0.40150508284568787,0.2240244597196579,0.13743405044078827,0.13912507891654968,0.314039945602417,0.19969791173934937
the,0.3733934462070465,0.48711544275283813,1.0,0.2398311346769333,0.2556745111942291,0.2582438886165619,0.4739971458911896,0.22068053483963013
medical,0.283721387386322,0.20809735357761383,0.2398311346769333,1.0,0.2202625721693039,0.15501408278942108,0.27440404891967773,0.13234087824821472
faculty,0.1587153673171997,0.2076377123594284,0.19605974853038788,0.3433212339878082,0.11360417306423187,0.09457875043153763,0.15962624549865723,0.04951627925038338
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.25996583700180054,0.204250767827034,0.20878943800926208,0.4322226941585541,0.20430970191955566
paris,0.2166387438774109,0.31941550970077515,0.24946041405200958,0.14457380771636963,0.12783627212047577,0.10035043209791183,0.1888580322265625,0.1491217315196991
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.25996583700180054,0.204250767827034,0.20878943800926208,0.4322226941585541,0.20430970191955566
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.20945803821086884,0.2148611694574356,0.22976966202259064,0.44038116931915283,0.23916715383529663
report,0.17796188592910767,0.19926786422729492,0.2556745111942291,0.2202625721693039,0.9999998807907104,0.14856770634651184,0.2216007560491562,0.3138936758041382
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.2909846603870392,0.2559358477592468,0.18544813990592957,0.4451248347759247,0.29463258385658264
the,0.3733934462070465,0.48711544275283813,1.0,0.2398311346769333,0.2556745111942291,0.2582438886165619,0.4739971458911896,0.22068053483963013
king,0.24555552005767822,0.27377256751060486,0.25887003540992737,0.09910241514444351,0.09203124791383743,0.21665899455547333,0.17887762188911438,0.19130074977874756
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.2826511859893799,0.22992923855781555,0.20874574780464172,0.4185989499092102,0.1826142966747284
france,0.18489117920398712,0.2715669870376587,0.35517507791519165,0.13474266231060028,0.10433490574359894,0.07668609917163849,0.21557466685771942,0.15069349110126495
that,0.45444270968437195,0.33670201897621155,0.5473989248275757,0.24800917506217957,0.30103304982185364,0.31561627984046936,0.4137635827064514,0.32716336846351624
blamed,0.29299211502075195,0.3108411133289337,0.2461363822221756,0.1489892601966858,0.35041600465774536,0.14050699770450592,0.23336070775985718,0.14765259623527527
the,0.3733934462070465,0.48711544275283813,1.0,0.2398311346769333,0.2556745111942291,0.2582438886165619,0.4739971458911896,0.22068053483963013
heavens,0.19102373719215393,0.1907639056444168,0.3118911683559418,0.13688921928405762,0.0954798236489296,0.16951844096183777,0.18768556416034698,0.21431270241737366
