,what,type,of,district,is,southern,california,home,to,many,of,?
southern,0.18679563701152802,0.08976348489522934,0.31933003664016724,0.2732027471065521,0.2419366091489792,1.0,0.2983402609825134,0.16775521636009216,0.18284058570861816,0.18025599420070648,0.31933003664016724,0.11225555837154388
california,0.1811584085226059,0.1341519057750702,0.24929828941822052,0.14906194806098938,0.20727038383483887,0.2983402609825134,1.0,0.22102995216846466,0.20697450637817383,0.24571245908737183,0.24929828941822052,0.1409905105829239
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.2656395733356476,1.0,0.2419366091489792,0.20727038383483887,0.22316986322402954,0.42745086550712585,0.2649032473564148,0.4854315221309662,0.22961433231830597
home,0.1608789712190628,0.1119999960064888,0.24402645230293274,0.1793564260005951,0.22316986322402954,0.16775521636009216,0.22102995216846466,1.0,0.31056779623031616,0.19523783028125763,0.24402645230293274,0.0757145956158638
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.1543883979320526,0.42745086550712585,0.18284058570861816,0.20697450637817383,0.31056779623031616,1.0,0.40243685245513916,0.41548454761505127,0.29463258385658264
many,0.36131182312965393,0.19664129614830017,0.37253960967063904,0.11452986299991608,0.2649032473564148,0.18025599420070648,0.24571245908737183,0.19523783028125763,0.40243685245513916,0.9999999403953552,0.37253960967063904,0.2124512493610382
major,0.21026742458343506,0.12121699005365372,0.2641255557537079,0.20979605615139008,0.19079607725143433,0.15392079949378967,0.1549016237258911,0.20917731523513794,0.19240309298038483,0.2907782793045044,0.2641255557537079,0.19788557291030884
business,0.21758167445659637,0.11305342614650726,0.23985227942466736,0.18776759505271912,0.19332653284072876,0.17563286423683167,0.2592327892780304,0.232640340924263,0.28079214692115784,0.29327890276908875,0.23985227942466736,0.1545659303665161
districts,0.16162313520908356,0.08947861194610596,0.2693168818950653,0.7729225754737854,0.20545536279678345,0.22514577209949493,0.06346331536769867,0.13335810601711273,0.14465396106243134,0.16893364489078522,0.2693168818950653,0.10677915066480637
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.23195737600326538,0.4569662809371948,0.26629969477653503,0.2870451807975769,0.3067048490047455,0.4645031690597534,0.3974229395389557,0.5352458953857422,0.4130953550338745
