,which,husband,and,wife,modern,furniture,design,team,are,represented,in,the,v,&,a,furniture,collection,?
the,0.6521818041801453,0.21884585916996002,0.5171257257461548,0.18555577099323273,0.3283970355987549,0.19680102169513702,0.27913451194763184,0.22564226388931274,0.40399202704429626,0.3256146013736725,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.19680102169513702,0.25281965732574463,0.22068053483963013
work,0.30331435799598694,0.20747368037700653,0.37551814317703247,0.18663041293621063,0.21471244096755981,0.3001224100589752,0.2861659824848175,0.13989904522895813,0.26678818464279175,0.10955999046564102,0.2753349542617798,0.2704800069332123,0.08781450986862183,0.06640969961881638,0.266241192817688,0.3001224100589752,0.2884133458137512,0.2621155381202698
of,0.5011631846427917,0.20487503707408905,0.5116966962814331,0.2074100226163864,0.3482828736305237,0.22592581808567047,0.2522938847541809,0.20352502167224884,0.39081433415412903,0.3891753554344177,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.22592581808567047,0.2915455996990204,0.1826142966747284
modernists,0.27700075507164,0.15417790412902832,0.28472593426704407,0.10269429534673691,0.5173306465148926,0.3299109935760498,0.38785600662231445,0.12591210007667542,0.23478461802005768,0.13927127420902252,0.24371472001075745,0.25151050090789795,0.05870341137051582,0.0951065719127655,0.18993517756462097,0.3299109935760498,0.2706725001335144,0.17359910905361176
in,0.4840516746044159,0.2923726737499237,0.4954058527946472,0.19467613101005554,0.29808807373046875,0.2051830142736435,0.21856798231601715,0.18841172754764557,0.3841303884983063,0.33309870958328247,1.0,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.2051830142736435,0.23004686832427979,0.20430970191955566
the,0.6521818041801453,0.21884585916996002,0.5171257257461548,0.18555577099323273,0.3283970355987549,0.19680102169513702,0.27913451194763184,0.22564226388931274,0.40399202704429626,0.3256146013736725,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.19680102169513702,0.25281965732574463,0.22068053483963013
collection,0.30199134349823,0.08108741044998169,0.2379438579082489,0.17382554709911346,0.2070229947566986,0.2719252407550812,0.19661931693553925,0.11378253251314163,0.22862131893634796,0.1968824714422226,0.23004686832427979,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.2719252407550812,0.9999998807907104,0.20069393515586853
include,0.33084139227867126,0.13341598212718964,0.3915219306945801,0.12772373855113983,0.23768767714500427,0.1879575550556183,0.1485670655965805,0.09636539965867996,0.5140694975852966,0.18663407862186432,0.28694382309913635,0.2951717972755432,0.053767889738082886,0.23156708478927612,0.18765322864055634,0.1879575550556183,0.30674809217453003,0.14925788342952728
le,0.14200042188167572,0.13578028976917267,0.15070271492004395,0.1445031762123108,0.0927887111902237,0.18705978989601135,0.14690078794956207,0.10800009220838547,0.08077507466077805,0.1084156408905983,0.20278146862983704,0.18814682960510254,0.145938441157341,0.1224772110581398,0.21668682992458344,0.18705978989601135,0.1916029006242752,0.11964468657970428
corbusier,0.1217770203948021,0.2998517155647278,0.3163359463214874,0.3070724308490753,0.22835639119148254,0.3952065408229828,0.38256341218948364,0.13955193758010864,0.15589208900928497,0.1366584300994873,0.27295982837677,0.18670004606246948,0.16783280670642853,0.17338868975639343,0.22507120668888092,0.3952065408229828,0.19664789736270905,0.1418239176273346
",",0.3658004403114319,0.312380313873291,0.6633074283599854,0.27755871415138245,0.2557750344276428,0.24002115428447723,0.19350415468215942,0.21287471055984497,0.4062570035457611,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.24002115428447723,0.2277175933122635,0.31091248989105225
marcel,0.11846998333930969,0.2188972681760788,0.21981646120548248,0.29290851950645447,0.10420365631580353,0.15091371536254883,0.08574825525283813,0.16479657590389252,0.06112289801239967,0.05063202977180481,0.18565776944160461,0.19816827774047852,0.03551353141665459,0.156010702252388,0.21193619072437286,0.15091371536254883,0.09702876955270767,0.1658659726381302
breuer,0.1336553990840912,0.21350254118442535,0.2416737675666809,0.2806713581085205,0.18403784930706024,0.18933209776878357,0.19686563313007355,0.15269137918949127,0.1139531135559082,0.12750467658042908,0.21082967519760132,0.12205296009778976,0.11640612781047821,0.19613218307495117,0.20218977332115173,0.18933209776878357,0.16770634055137634,0.19354337453842163
",",0.3658004403114319,0.312380313873291,0.6633074283599854,0.27755871415138245,0.2557750344276428,0.24002115428447723,0.19350415468215942,0.21287471055984497,0.4062570035457611,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.24002115428447723,0.2277175933122635,0.31091248989105225
