,the,amount,of,land,a,country,controls,is,its,greatest,what,?
the,1.0,0.3336862325668335,0.733189046382904,0.28587454557418823,0.5829201340675354,0.30432501435279846,0.33783647418022156,0.5823672413825989,0.559237003326416,0.2877289056777954,0.42745697498321533,0.22068053483963013
greatest,0.2877289056777954,0.22348333895206451,0.30395472049713135,0.11539419740438461,0.15944629907608032,0.16677898168563843,0.11386652290821075,0.16166137158870697,0.16967591643333435,1.0,0.22948481142520905,0.13661223649978638
distinction,0.3135315477848053,0.22987718880176544,0.30949485301971436,0.1794121414422989,0.3092878758907318,0.17489957809448242,0.19713899493217468,0.24752266705036163,0.3126043677330017,0.2413695603609085,0.33474257588386536,0.15412788093090057
of,0.733189046382904,0.2541177570819855,1.0,0.3057127296924591,0.5052502155303955,0.28866857290267944,0.2718416750431061,0.4854315221309662,0.48690423369407654,0.30395472049713135,0.33290785551071167,0.1826142966747284
an,0.4207492768764496,0.25767290592193604,0.32280945777893066,0.15302860736846924,0.44552403688430786,0.19811232388019562,0.18380206823349,0.4654068350791931,0.28139030933380127,0.12849868834018707,0.2821882665157318,0.19793890416622162
empire,0.32532164454460144,0.11087843030691147,0.30522286891937256,0.2709796726703644,0.1900206059217453,0.2728447914123535,0.16578064858913422,0.18343110382556915,0.22907911241054535,0.2577415108680725,0.21723191440105438,0.14909450709819794
is,0.5823672413825989,0.3016021251678467,0.4854315221309662,0.22457899153232574,0.658733606338501,0.24409033358097076,0.29775270819664,1.0,0.4447362422943115,0.16166137158870697,0.28837618231773376,0.22961433231830597
through,0.44071322679519653,0.24391113221645355,0.3647414743900299,0.16360196471214294,0.3399752974510193,0.17511385679244995,0.1975419968366623,0.27805060148239136,0.25456881523132324,0.12936876714229584,0.23167094588279724,0.16913433372974396
the,1.0,0.3336862325668335,0.733189046382904,0.28587454557418823,0.5829201340675354,0.30432501435279846,0.33783647418022156,0.5823672413825989,0.559237003326416,0.2877289056777954,0.42745697498321533,0.22068053483963013
amount,0.3336862325668335,1.0000001192092896,0.2541177570819855,0.17569664120674133,0.3439450263977051,0.17140622437000275,0.22707048058509827,0.3016021251678467,0.3437769114971161,0.22348333895206451,0.2602839767932892,0.17984020709991455
of,0.733189046382904,0.2541177570819855,1.0,0.3057127296924591,0.5052502155303955,0.28866857290267944,0.2718416750431061,0.4854315221309662,0.48690423369407654,0.30395472049713135,0.33290785551071167,0.1826142966747284
land,0.28587454557418823,0.17569664120674133,0.3057127296924591,1.0000001192092896,0.247930645942688,0.25981757044792175,0.2131205052137375,0.22457899153232574,0.23737293481826782,0.11539419740438461,0.23411516845226288,0.1432059109210968
that,0.5473989248275757,0.3969508707523346,0.41498205065727234,0.256797194480896,0.47537946701049805,0.210195854306221,0.2937886118888855,0.3995479643344879,0.416561484336853,0.2497471570968628,0.6297725439071655,0.32716336846351624
a,0.5829201340675354,0.3439450263977051,0.5052502155303955,0.247930645942688,1.0,0.20991116762161255,0.23051191866397858,0.658733606338501,0.4424409866333008,0.15944629907608032,0.3320399522781372,0.23916715383529663
nation,0.39486879110336304,0.1764289140701294,0.3102196156978607,0.2615116536617279,0.23379194736480713,0.49281540513038635,0.22631289064884186,0.2303507775068283,0.30812326073646545,0.24355581402778625,0.21990635991096497,0.17865248024463654
has,0.4177538752555847,0.306355357170105,0.3909035325050354,0.20803382992744446,0.4670248031616211,0.23112818598747253,0.2662197947502136,0.5668748617172241,0.4627293348312378,0.15836896002292633,0.20338068902492523,0.15994466841220856
conquered,0.3127642273902893,0.11520389467477798,0.30313581228256226,0.25345829129219055,0.11467219889163971,0.2582100033760071,0.16884560883045197,0.14777769148349762,0.1781109720468521,0.23853768408298492,0.2095409482717514,0.12499574571847916
and,0.5171257257461548,0.2668909728527069,0.5116966962814331,0.2874513864517212,0.3739250600337982,0.30884742736816406,0.27258071303367615,0.3859752118587494,0.3841775357723236,0.22727768123149872,0.31309178471565247,0.20544172823429108
expanded,0.3258892893791199,0.15657943487167358,0.2764764726161957,0.15196490287780762,0.20242644846439362,0.16446296870708466,0.24639876186847687,0.16450905799865723,0.3041972815990448,0.21556726098060608,0.2418898046016693,0.2124357968568802
.,0.5934505462646484,0.24893930554389954,0.5352458953857422,0.259204238653183,0.50484299659729,0.26130348443984985,0.23610207438468933,0.4569662809371948,0.3566088080406189,0.2034384310245514,0.3567904531955719,0.4130953550338745
