,with,what,body,must,a,pharmacy,technician,register,?
a,0.3783375024795532,0.3320399522781372,0.26263290643692017,0.3016769587993622,1.0,0.21975059807300568,0.22603899240493774,0.2840311527252197,0.23916715383529663
pharmacy,0.17199546098709106,0.21638189256191254,0.1015244796872139,0.1627485603094101,0.21975059807300568,1.0,0.3012925684452057,0.29476529359817505,0.1355620175600052
technician,0.1643812358379364,0.14926432073116302,0.10778074711561203,0.1351010501384735,0.22603899240493774,0.3012925684452057,0.9999998807907104,0.21676582098007202,0.16191186010837555
once,0.38511526584625244,0.38428619503974915,0.23424766957759857,0.36904215812683105,0.4225178360939026,0.1501561403274536,0.11407126486301422,0.1820925921201706,0.17750471830368042
qualified,0.15768271684646606,0.19747373461723328,0.08059512823820114,0.25850075483322144,0.22264724969863892,0.2592015564441681,0.28439682722091675,0.2270442098379135,0.1370558738708496
has,0.44092974066734314,0.20338068902492523,0.1710911989212036,0.30250290036201477,0.4670248031616211,0.14217540621757507,0.10940933972597122,0.16598200798034668,0.15994466841220856
to,0.4239959120750427,0.455847829580307,0.307265043258667,0.43356871604919434,0.45503583550453186,0.1824638396501541,0.20189866423606873,0.2528383135795593,0.29463258385658264
register,0.08248954266309738,0.16702568531036377,0.09522345662117004,0.24263858795166016,0.2840311527252197,0.29476529359817505,0.21676582098007202,1.0,0.18827666342258453
as,0.40387406945228577,0.31749409437179565,0.24814960360527039,0.2723003923892975,0.39550232887268066,0.16661235690116882,0.22040168941020966,0.20545640587806702,0.27043893933296204
a,0.3783375024795532,0.3320399522781372,0.26263290643692017,0.3016769587993622,1.0,0.21975059807300568,0.22603899240493774,0.2840311527252197,0.23916715383529663
professional,0.19501441717147827,0.20202119648456573,0.09102199226617813,0.09897125512361526,0.2665292024612427,0.17879201471805573,0.29313841462135315,0.1277797967195511,0.13074518740177155
on,0.40749499201774597,0.34226128458976746,0.20112086832523346,0.17571617662906647,0.3848365545272827,0.17541885375976562,0.18503381311893463,0.23616459965705872,0.2714994251728058
the,0.4223487675189972,0.42745697498321533,0.31682634353637695,0.2713140547275543,0.5829201340675354,0.1938311904668808,0.16273300349712372,0.21045131981372833,0.22068053483963013
general,0.1510423719882965,0.24928055703639984,0.17881235480308533,0.14238542318344116,0.2157215178012848,0.2090218961238861,0.17238019406795502,0.12054441124200821,0.1972234547138214
pharmaceutical,0.1665305495262146,0.1854703426361084,0.15341074764728546,0.12606412172317505,0.2316446602344513,0.7577381134033203,0.3161430358886719,0.20674018561840057,0.11432135105133057
council,0.10649243742227554,0.16933071613311768,0.2337609976530075,0.1322224736213684,0.16385574638843536,0.15298134088516235,0.176204651594162,0.17481711506843567,0.1160062924027443
(,0.29503780603408813,0.2411840260028839,0.1610826849937439,0.20299430191516876,0.3206180930137634,0.20144130289554596,0.16734495759010315,0.15341484546661377,0.40561532974243164
gphc,0.20352424681186676,0.23287148773670197,0.1485661417245865,0.2107517272233963,0.2875484526157379,0.24023523926734924,0.2325056940317154,0.24645595252513885,0.27919474244117737
),0.3069596290588379,0.26259949803352356,0.15783365070819855,0.19068287312984467,0.3640355169773102,0.19700509309768677,0.18636617064476013,0.13788582384586334,0.42300865054130554
register,0.08248954266309738,0.16702568531036377,0.09522345662117004,0.24263858795166016,0.2840311527252197,0.29476529359817505,0.21676582098007202,1.0,0.18827666342258453
.,0.4446153938770294,0.3567904531955719,0.29751062393188477,0.27722811698913574,0.50484299659729,0.23916830122470856,0.1586877554655075,0.1815701276063919,0.4130953550338745
