,what,book,is,revised,after,every,general,conference,?
legislative,0.22232688963413239,0.12986689805984497,0.19055356085300446,0.20582491159439087,0.18703703582286835,0.20201250910758972,0.29644903540611267,0.23750343918800354,0.1654243916273117
changes,0.2740466892719269,0.1419605016708374,0.23356598615646362,0.23197326064109802,0.2278626561164856,0.269102543592453,0.1660546213388443,0.16528762876987457,0.21264225244522095
are,0.29724663496017456,0.18403245508670807,0.5330929756164551,0.10571203380823135,0.19438853859901428,0.3086106479167938,0.15219135582447052,0.1676291674375534,0.24591213464736938
recorded,0.17687608301639557,0.1927824467420578,0.19766312837600708,0.23375090956687927,0.16694879531860352,0.15924973785877228,0.08380036056041718,0.10360536724328995,0.19213420152664185
in,0.30808621644973755,0.2527170181274414,0.5394441485404968,0.19535814225673676,0.44050168991088867,0.31953179836273193,0.259066641330719,0.2199791669845581,0.20430970191955566
the,0.42745697498321533,0.2652374505996704,0.5823672413825989,0.2513941526412964,0.4565047025680542,0.4023689329624176,0.28634732961654663,0.25393402576446533,0.22068053483963013
book,0.2872225046157837,1.0,0.21808475255966187,0.3037591874599457,0.14413361251354218,0.17837782204151154,0.1933339536190033,0.11786118149757385,0.20572158694267273
of,0.33290785551071167,0.22602593898773193,0.4854315221309662,0.2270628809928894,0.3867455720901489,0.3414052724838257,0.28352999687194824,0.19579021632671356,0.1826142966747284
discipline,0.2522185742855072,0.19856233894824982,0.13422119617462158,0.17701736092567444,0.12767785787582397,0.1692945957183838,0.2865684926509857,0.2020072340965271,0.06836310029029846
which,0.5261979103088379,0.24807968735694885,0.4457404911518097,0.23679329454898834,0.3217443823814392,0.4810190498828888,0.19923317432403564,0.178037628531456,0.25814583897590637
is,0.28837618231773376,0.21808475255966187,1.0,0.11874786764383316,0.2835143506526947,0.3428492546081543,0.20144300162792206,0.13909097015857697,0.22961433231830597
revised,0.15843524038791656,0.3037591874599457,0.11874786764383316,0.9999999403953552,0.10629793256521225,0.09923788160085678,0.10681145638227463,0.10105396807193756,0.1835426688194275
after,0.21973377466201782,0.14413361251354218,0.2835143506526947,0.10629793256521225,1.0,0.2450585514307022,0.1764041930437088,0.15634551644325256,0.16608688235282898
each,0.3353266417980194,0.15398246049880981,0.2954041659832001,0.1200907900929451,0.21156184375286102,0.5941283702850342,0.17643466591835022,0.21830394864082336,0.21173812448978424
general,0.24928055703639984,0.1933339536190033,0.20144300162792206,0.10681145638227463,0.1764041930437088,0.1451876312494278,1.0000001192092896,0.17838294804096222,0.1972234547138214
conference,0.15329721570014954,0.11786118149757385,0.13909097015857697,0.10105396807193756,0.15634551644325256,0.24513524770736694,0.17838294804096222,0.9999999403953552,0.11172781884670258
.,0.3567904531955719,0.21435262262821198,0.4569662809371948,0.21657389402389526,0.35870397090911865,0.3150964379310608,0.2929490804672241,0.1982354372739792,0.4130953550338745
