,in,what,expression,can,one,expect,to,find,dtime,(,n,)
in,1.0,0.30808621644973755,0.19952243566513062,0.26527702808380127,0.4129433035850525,0.21071846783161163,0.45010748505592346,0.2040027230978012,0.25203508138656616,0.3087427020072937,0.16728445887565613,0.3326910734176636
particular,0.3090636432170868,0.4548671245574951,0.4065462648868561,0.4254632890224457,0.4187047481536865,0.3767281770706177,0.40318208932876587,0.3033146560192108,0.2974666655063629,0.18614555895328522,0.15850670635700226,0.1965177059173584
",",0.5201468467712402,0.3087472915649414,0.22825834155082703,0.3139454126358032,0.3696635365486145,0.21740008890628815,0.44245919585227966,0.27622509002685547,0.3054261803627014,0.6363511681556702,0.2316582053899765,0.63033527135849
although,0.28763338923454285,0.24844598770141602,0.24215519428253174,0.3154618740081787,0.2869947850704193,0.2719113826751709,0.4176313281059265,0.2332669347524643,0.2716684937477112,0.19615760445594788,0.01744678243994713,0.22343145310878754
dtime,0.25203508138656616,0.31648653745651245,0.2980598509311676,0.30490878224372864,0.2936319410800934,0.3500511944293976,0.32342958450317383,0.2582211196422577,1.0,0.33866703510284424,0.2458747923374176,0.33330824971199036
(,0.3087427020072937,0.2411840260028839,0.17552179098129272,0.22726960480213165,0.2922096848487854,0.1463703066110611,0.30882009863853455,0.20498861372470856,0.33866703510284424,0.9999999403953552,0.23732076585292816,0.9561100602149963
n,0.16728445887565613,0.16510315239429474,0.25997394323349,0.22125642001628876,0.23284418880939484,0.21467852592468262,0.16421891748905182,0.2074732482433319,0.2458747923374176,0.23732076585292816,1.0,0.23685944080352783
),0.3326910734176636,0.26259949803352356,0.18878024816513062,0.23216170072555542,0.31658053398132324,0.1470024287700653,0.31236231327056885,0.19802898168563843,0.33330824971199036,0.9561100602149963,0.23685944080352783,1.0
is,0.5394441485404968,0.28837618231773376,0.24893754720687866,0.44256699085235596,0.4544198513031006,0.2582862973213196,0.42745086550712585,0.25691378116607666,0.22230874001979828,0.35393038392066956,0.2254602462053299,0.37732169032096863
contained,0.3168308436870575,0.18997789919376373,0.25621548295021057,0.27641811966896057,0.31380024552345276,0.18422077596187592,0.21074968576431274,0.18457148969173431,0.2520904541015625,0.16263845562934875,0.2126079648733139,0.16021694242954254
in,1.0,0.30808621644973755,0.19952243566513062,0.26527702808380127,0.4129433035850525,0.21071846783161163,0.45010748505592346,0.2040027230978012,0.25203508138656616,0.3087427020072937,0.16728445887565613,0.3326910734176636
dtime,0.25203508138656616,0.31648653745651245,0.2980598509311676,0.30490878224372864,0.2936319410800934,0.3500511944293976,0.32342958450317383,0.2582211196422577,1.0,0.33866703510284424,0.2458747923374176,0.33330824971199036
(,0.3087427020072937,0.2411840260028839,0.17552179098129272,0.22726960480213165,0.2922096848487854,0.1463703066110611,0.30882009863853455,0.20498861372470856,0.33866703510284424,0.9999999403953552,0.23732076585292816,0.9561100602149963
n2,0.018215352669358253,0.2232850342988968,0.17899444699287415,0.02664940617978573,0.13053633272647858,0.1449044942855835,0.09934920072555542,-0.001331452396698296,0.07502877712249756,0.12540452182292938,-0.026901084929704666,0.12292135506868362
),0.3326910734176636,0.26259949803352356,0.18878024816513062,0.23216170072555542,0.31658053398132324,0.1470024287700653,0.31236231327056885,0.19802898168563843,0.33330824971199036,0.9561100602149963,0.23685944080352783,1.0
",",0.5201468467712402,0.3087472915649414,0.22825834155082703,0.3139454126358032,0.3696635365486145,0.21740008890628815,0.44245919585227966,0.27622509002685547,0.3054261803627014,0.6363511681556702,0.2316582053899765,0.63033527135849
it,0.5130809545516968,0.45803478360176086,0.2078694999217987,0.3819273114204407,0.4284902811050415,0.27175116539001465,0.513711154460907,0.25165918469429016,0.3181133270263672,0.2745298147201538,0.15266379714012146,0.28560304641723633
would,0.30461156368255615,0.45766422152519226,0.23575371503829956,0.5638198852539062,0.38529840111732483,0.5558487772941589,0.5965728163719177,0.3610367774963379,0.3482659161090851,0.21630488336086273,0.15486650168895721,0.2093871831893921
be,0.3481820821762085,0.3929833769798279,0.28006309270858765,0.5791122913360596,0.4154875874519348,0.43186652660369873,0.4972836375236511,0.3459516167640686,0.3285713791847229,0.2349044382572174,0.1837998479604721,0.24578070640563965
interesting,0.30390313267707825,0.4084731340408325,0.2996440529823303,0.318325936794281,0.34281763434410095,0.4267013967037201,0.28548508882522583,0.3907511234283447,0.24822352826595306,0.14383012056350708,0.14022958278656006,0.1623568832874298
