,what,paved,the,way,for,the,augsburg,confession,?
despite,0.1825345903635025,0.28882086277008057,0.3172689974308014,0.2898513078689575,0.3311030864715576,0.3172689974308014,0.09760940819978714,0.20456713438034058,0.14350546896457672
the,0.42745697498321533,0.23181872069835663,1.0,0.36217406392097473,0.4739971458911896,1.0,0.25331857800483704,0.19474709033966064,0.22068053483963013
disagreements,0.3944484293460846,0.23345224559307098,0.28415536880493164,0.34777936339378357,0.22533176839351654,0.28415536880493164,0.22510766983032227,0.3088131248950958,0.22321587800979614
on,0.34226128458976746,0.20103447139263153,0.5107308030128479,0.2997978627681732,0.36199691891670227,0.5107308030128479,0.19920341670513153,0.19408480823040009,0.2714994251728058
the,0.42745697498321533,0.23181872069835663,1.0,0.36217406392097473,0.4739971458911896,1.0,0.25331857800483704,0.19474709033966064,0.22068053483963013
eucharist,0.21259461343288422,0.1788497120141983,0.22046668827533722,0.23694920539855957,0.19704188406467438,0.22046668827533722,0.3268890380859375,0.4393100440502167,0.15321393311023712
",",0.3087472915649414,0.19594548642635345,0.4933079481124878,0.2861018478870392,0.4464869201183319,0.4933079481124878,0.26016417145729065,0.24621757864952087,0.31091248989105225
the,0.42745697498321533,0.23181872069835663,1.0,0.36217406392097473,0.4739971458911896,1.0,0.25331857800483704,0.19474709033966064,0.22068053483963013
marburg,0.19250063598155975,0.09464721381664276,0.2501940131187439,0.0804467648267746,0.10255888849496841,0.2501940131187439,0.6569849848747253,0.25035980343818665,0.21810835599899292
colloquy,0.327221542596817,0.14753441512584686,0.2922760844230652,0.32718485593795776,0.29305681586265564,0.2922760844230652,0.14040453732013702,0.2350258231163025,0.2766325771808624
paved,0.19151762127876282,0.9999998807907104,0.23181872069835663,0.3157860040664673,0.2620336413383484,0.23181872069835663,0.11465579271316528,0.13987302780151367,0.12806759774684906
the,0.42745697498321533,0.23181872069835663,1.0,0.36217406392097473,0.4739971458911896,1.0,0.25331857800483704,0.19474709033966064,0.22068053483963013
way,0.4835909903049469,0.3157860040664673,0.36217406392097473,1.0,0.384344220161438,0.36217406392097473,0.1341395527124405,0.24448587000370026,0.31575819849967957
