,how,is,civil,disobedience,typically,defined,in,connection,of,the,citizen,'s,?
civil,0.10494508594274521,0.16941262781620026,1.0,0.5442691445350647,0.14147883653640747,0.12246352434158325,0.26466667652130127,0.12349505722522736,0.24698495864868164,0.2477465271949768,0.20000368356704712,-0.06354409456253052,0.1494513899087906
disobedience,0.27056485414505005,0.21453623473644257,0.5442691445350647,1.0,0.20047374069690704,0.1861807405948639,0.3054615259170532,0.17442788183689117,0.31932318210601807,0.30963727831840515,0.2703973650932312,0.027719656005501747,0.19890835881233215
is,0.22544461488723755,1.0,0.16941262781620026,0.21453623473644257,0.3483496606349945,0.2622792422771454,0.5394441485404968,0.2946256697177887,0.4854315221309662,0.5823672413825989,0.20740796625614166,0.02396530658006668,0.22961433231830597
usually,0.36801108717918396,0.4230746626853943,0.1792614609003067,0.24451304972171783,0.7066826820373535,0.28605547547340393,0.28848564624786377,0.25232842564582825,0.33931583166122437,0.36782920360565186,0.05624006688594818,0.08620650321245193,0.19435347616672516
defined,0.22723962366580963,0.2622792422771454,0.12246352434158325,0.1861807405948639,0.297812819480896,1.0,0.2143561989068985,0.21941857039928436,0.2659633457660675,0.2634572982788086,0.19808568060398102,-0.09917864948511124,0.22494901716709137
as,0.33782753348350525,0.43216490745544434,0.18100082874298096,0.25773370265960693,0.31947922706604004,0.35916298627853394,0.3887844979763031,0.16347207129001617,0.3886612355709076,0.48381632566452026,0.15908487141132355,-0.05775856226682663,0.27043893933296204
pertaining,0.2802329361438751,0.22727306187152863,0.17966154217720032,0.3411206603050232,0.3100249171257019,0.3238986134529114,0.29039934277534485,0.24840985238552094,0.33765938878059387,0.28831788897514343,0.16167697310447693,-0.055463869124650955,0.2915913462638855
to,0.44169697165489197,0.42745086550712585,0.2019355595111847,0.30665844678878784,0.3589242696762085,0.21911276876926422,0.45010748505592346,0.31829091906547546,0.41548454761505127,0.535392165184021,0.19583012163639069,0.03782717138528824,0.29463258385658264
a,0.29312583804130554,0.658733606338501,0.21693918108940125,0.25352153182029724,0.37909039855003357,0.25929558277130127,0.539380669593811,0.29948776960372925,0.5052502155303955,0.5829201340675354,0.24434110522270203,0.04866964742541313,0.23916715383529663
citizen,0.17161525785923004,0.20740796625614166,0.20000368356704712,0.2703973650932312,0.08907166123390198,0.19808568060398102,0.29731956124305725,0.11568140983581543,0.19158314168453217,0.21445687115192413,0.9999999403953552,0.0021561807952821255,0.1601516604423523
's,-0.026164190843701363,0.02396530658006668,-0.06354409456253052,0.027719656005501747,0.06449899077415466,-0.09917864948511124,-0.037580832839012146,0.06428909301757812,-0.03817026689648628,-0.01540423184633255,0.0021561807952821255,0.9999999403953552,-0.023395681753754616
relation,0.3784523010253906,0.2880297899246216,0.18419675529003143,0.282622754573822,0.24421115219593048,0.3884366452693939,0.22537265717983246,0.43666213750839233,0.29761821031570435,0.2734622061252594,0.1544649749994278,-0.07036784291267395,0.1898830384016037
to,0.44169697165489197,0.42745086550712585,0.2019355595111847,0.30665844678878784,0.3589242696762085,0.21911276876926422,0.45010748505592346,0.31829091906547546,0.41548454761505127,0.535392165184021,0.19583012163639069,0.03782717138528824,0.29463258385658264
the,0.33890387415885925,0.5823672413825989,0.2477465271949768,0.30963727831840515,0.33345210552215576,0.2634572982788086,0.6662389636039734,0.29966840147972107,0.733189046382904,1.0,0.21445687115192413,-0.01540423184633255,0.22068053483963013
state,0.15028610825538635,0.2627358138561249,0.2531958818435669,0.25511521100997925,0.1865025758743286,0.17293711006641388,0.33316072821617126,0.15734830498695374,0.34253445267677307,0.3097178041934967,0.23078426718711853,0.038451772183179855,0.1160883978009224
and,0.33647966384887695,0.3859752118587494,0.25259146094322205,0.3041999638080597,0.3137528598308563,0.2678177058696747,0.4954058527946472,0.30564460158348083,0.5116966962814331,0.5171257257461548,0.2220301777124405,0.06895173341035843,0.20544172823429108
its,0.22449488937854767,0.4447362422943115,0.15427452325820923,0.15781542658805847,0.271512508392334,0.2791011929512024,0.3793783485889435,0.22341084480285645,0.48690423369407654,0.559237003326416,0.10096251219511032,0.03202139586210251,0.15103481709957123
laws,0.295886754989624,0.17527072131633759,0.2589532434940338,0.4583999514579773,0.15452608466148376,0.2604888081550598,0.2591988444328308,0.2031402736902237,0.2539142072200775,0.2587076723575592,0.27929431200027466,-0.02741883508861065,0.17911791801452637
",",0.22659391164779663,0.4691906273365021,0.24795588850975037,0.2878543734550476,0.18964512646198273,0.2234039455652237,0.5201468467712402,0.2535572052001953,0.4946078956127167,0.4933079481124878,0.23887503147125244,-0.0016132977325469255,0.31091248989105225
as,0.33782753348350525,0.43216490745544434,0.18100082874298096,0.25773370265960693,0.31947922706604004,0.35916298627853394,0.3887844979763031,0.16347207129001617,0.3886612355709076,0.48381632566452026,0.15908487141132355,-0.05775856226682663,0.27043893933296204
distinguished,0.10479097813367844,0.14144428074359894,0.22997857630252838,0.26259133219718933,0.25059595704078674,0.2748264968395233,0.23769603669643402,0.17807359993457794,0.2957158386707306,0.23548999428749084,0.17047011852264404,-0.0967182144522667,0.08062640577554703
from,0.22939439117908478,0.27355384826660156,0.11420916765928268,0.1641564965248108,0.1662861853837967,0.13716351985931396,0.4274188280105591,0.17342080175876617,0.4249346852302551,0.40150508284568787,0.17294445633888245,-0.01936490088701248,0.19969791173934937
a,0.29312583804130554,0.658733606338501,0.21693918108940125,0.25352153182029724,0.37909039855003357,0.25929558277130127,0.539380669593811,0.29948776960372925,0.5052502155303955,0.5829201340675354,0.24434110522270203,0.04866964742541313,0.23916715383529663
constitutional,0.1929270476102829,0.2099083513021469,0.31163451075553894,0.42238739132881165,0.19410263001918793,0.2288283109664917,0.278969407081604,0.1501602977514267,0.3563419580459595,0.2926941215991974,0.3138251304626465,-0.05937647446990013,0.2199033498764038
impasse,0.24886654317378998,0.25153279304504395,0.20988640189170837,0.29124635457992554,0.19896866381168365,0.20365501940250397,0.24801252782344818,0.31805580854415894,0.26428720355033875,0.28826791048049927,0.16170132160186768,0.08642824739217758,0.1774221956729889
