,who,was,the,mayor,of,san,francisco,during,super,bowl,50,?
san,0.19863182306289673,0.2675222158432007,0.2858080565929413,0.197418674826622,0.25237205624580383,0.9999999403953552,0.8108479976654053,0.2061726599931717,0.15279507637023926,0.18508543074131012,0.02022494748234749,0.10952327400445938
francisco,0.21818988025188446,0.24025709927082062,0.25086042284965515,0.19277431070804596,0.19117538630962372,0.8108479976654053,1.0,0.21331526339054108,0.1658499836921692,0.20152677595615387,-0.012375159189105034,0.1020219698548317
mayor,0.2059774100780487,0.22558841109275818,0.21459873020648956,0.9999999403953552,0.17262716591358185,0.197418674826622,0.19277431070804596,0.130120187997818,0.1194583848118782,0.18705610930919647,-0.003688708646222949,0.10846361517906189
ed,0.1637633740901947,0.20469819009304047,0.21412420272827148,0.21809647977352142,0.19821499288082123,0.11730891466140747,0.13562557101249695,0.17674122750759125,0.04474417120218277,0.09711064398288727,0.04605382680892944,0.16764874756336212
lee,0.23078079521656036,0.23897704482078552,0.16821028292179108,0.12286806106567383,0.15092487633228302,0.19368495047092438,0.18004612624645233,0.16214972734451294,0.11501801013946533,0.12521614134311676,0.011536733247339725,0.19113655388355255
said,0.391315758228302,0.43711766600608826,0.3024602234363556,0.17973849177360535,0.29014745354652405,0.18634335696697235,0.2120273858308792,0.26283612847328186,0.13930010795593262,0.11201606690883636,0.050420407205820084,0.28991883993148804
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.17262716591358185,1.0,0.25237205624580383,0.19117538630962372,0.3869180977344513,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.21459873020648956,0.733189046382904,0.2858080565929413,0.25086042284965515,0.4838213622570038,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
highly,0.24307133257389069,0.2408236265182495,0.2051282376050949,0.07633187621831894,0.21906863152980804,0.08391272276639938,0.08559433370828629,0.2375098317861557,0.17935004830360413,0.14153088629245758,-0.04842277616262436,0.1542806625366211
visible,0.09921871870756149,0.13441361486911774,0.3234308958053589,0.07408163696527481,0.27322983741760254,0.10108970105648041,0.08800604939460754,0.17816062271595,0.15817585587501526,0.18022921681404114,0.060751330107450485,0.16810297966003418
homeless,0.3711029589176178,0.15999077260494232,0.22855409979820251,0.2404218465089798,0.238710418343544,0.2357410043478012,0.23531705141067505,0.27355849742889404,0.06115500628948212,0.12145574390888214,0.009998593479394913,0.17883339524269104
presence,0.19076025485992432,0.17283804714679718,0.34114351868629456,0.07571002840995789,0.2917717397212982,0.09966897964477539,0.10600627213716507,0.24668066203594208,0.16783221065998077,0.13651223480701447,-0.06513630598783493,0.08592845499515533
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.19987569749355316,0.5696388483047485,0.2617562413215637,0.21278683841228485,0.4627237319946289,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.20430970191955566
this,0.3345087468624115,0.3638818562030792,0.6274310946464539,0.09553465247154236,0.45148900151252747,0.16386784613132477,0.15735197067260742,0.34351885318756104,0.1776810586452484,0.17725728452205658,-0.036046914756298065,0.3155723512172699
area,0.23362743854522705,0.24981513619422913,0.37834644317626953,0.2546080946922302,0.3409860134124756,0.22260162234306335,0.2213580310344696,0.2682478725910187,0.09147491306066513,0.19680163264274597,0.004881815519183874,0.12640461325645447
``,0.02397952415049076,-0.012679691426455975,0.029072100296616554,-0.02933327853679657,0.06780257821083069,-0.013664762489497662,-0.016306333243846893,0.007871326059103012,0.012585706077516079,-0.004176590591669083,0.05617367848753929,0.0685480609536171
they,0.47879111766815186,0.3300964832305908,0.49925389885902405,0.10752719640731812,0.3426007330417633,0.16093860566616058,0.17780284583568573,0.31528279185295105,0.1988932192325592,0.18658970296382904,0.059837549924850464,0.2753053903579712
are,0.27294138073921204,0.3076191842556,0.40399202704429626,0.05907309800386429,0.39081433415412903,0.13921020925045013,0.1310940682888031,0.2297976016998291,0.14630910754203796,0.139107808470726,0.08529071509838104,0.24591213464736938
going,0.29604148864746094,0.28732410073280334,0.38693177700042725,0.14465323090553284,0.2849585711956024,0.12790636718273163,0.15053260326385498,0.23487302660942078,0.18184003233909607,0.16571998596191406,0.050441041588783264,0.3252600431442261
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.16660037636756897,0.41548454761505127,0.21651452779769897,0.21318043768405914,0.2828781306743622,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.29463258385658264
have,0.39246654510498047,0.2863433063030243,0.40389683842658997,0.08583125472068787,0.3802283704280853,0.1570361703634262,0.15268315374851227,0.27574852108955383,0.19903038442134857,0.19536113739013672,0.10407739877700806,0.32991164922714233
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.16660037636756897,0.41548454761505127,0.21651452779769897,0.21318043768405914,0.2828781306743622,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.29463258385658264
leave,0.27963167428970337,0.18728552758693695,0.32171857357025146,0.11667417734861374,0.22741928696632385,0.10633793473243713,0.08268532156944275,0.1904001235961914,0.08979872614145279,0.10313909500837326,-0.04262147843837738,0.23890845477581024
'',0.024401003494858742,0.04456103965640068,0.041273195296525955,-0.02934269979596138,0.13035868108272552,0.10309749841690063,0.04776419699192047,-0.08359146863222122,-0.02655862085521221,-0.008809788152575493,0.08711730688810349,0.018684765323996544
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.22149251401424408,0.5352458953857422,0.24563752114772797,0.2233876734972,0.3485563397407532,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
