,who,was,kaidu,'s,grandfather,?
instability,0.14495883882045746,0.18647463619709015,0.19692590832710266,-0.06303582340478897,0.11855936795473099,0.18248671293258667
troubled,0.2632541060447693,0.274991512298584,0.17732447385787964,0.010978799313306808,0.24820564687252045,0.17563851177692413
the,0.3733934462070465,0.48711544275283813,0.3133460581302643,-0.01540423184633255,0.25235381722450256,0.22068053483963013
early,0.23985694348812103,0.4148794412612915,0.18552540242671967,0.03384959325194359,0.1995982825756073,0.15272949635982513
years,0.29867154359817505,0.35855233669281006,0.22771260142326355,0.05563735216856003,0.24247509241104126,0.1914375126361847
of,0.2827862501144409,0.4069072902202606,0.27094969153404236,-0.03817026689648628,0.22528615593910217,0.1826142966747284
kublai,0.2874084413051605,0.3139400780200958,0.46869194507598877,-0.017352506518363953,0.2952738404273987,0.14562560617923737
khan,0.2616176903247833,0.23483267426490784,0.41461390256881714,0.05307086929678917,0.24044451117515564,0.12862591445446014
's,0.05599616840481758,0.008974763564765453,0.07480481266975403,0.9999999403953552,0.03629804030060768,-0.023395681753754616
reign,0.21089372038841248,0.2893977761268616,0.28123873472213745,-0.0300701055675745,0.30691325664520264,0.16399922966957092
.,0.3541337847709656,0.40146201848983765,0.27552521228790283,-0.003708066651597619,0.21154266595840454,0.4130953550338745
