,what,do,pyrenoids,store,?
pyrenoids,0.2458954006433487,0.29148098826408386,1.0,0.19126710295677185,0.22295637428760529
are,0.29724663496017456,0.41111594438552856,0.4052199423313141,0.20947717130184174,0.24591213464736938
roughly,0.2731170356273651,0.12251774221658707,0.2347828894853592,0.09907364845275879,0.09299357235431671
spherical,0.1481882929801941,0.13365162909030914,0.40708398818969727,0.11230053752660751,0.0753602683544159
and,0.31309178471565247,0.276123583316803,0.3173755705356598,0.24101662635803223,0.20544172823429108
highly,0.22724121809005737,0.21016843616962433,0.24403999745845795,0.06492302566766739,0.1542806625366211
refractive,0.20772241055965424,0.17617744207382202,0.3044629693031311,0.17035086452960968,0.1356421560049057
bodies,0.1688588559627533,0.23864081501960754,0.39663591980934143,0.17980557680130005,0.18285469710826874
which,0.5261979103088379,0.31153854727745056,0.3649875223636627,0.25919073820114136,0.25814583897590637
are,0.29724663496017456,0.41111594438552856,0.4052199423313141,0.20947717130184174,0.24591213464736938
a,0.3320399522781372,0.26237669587135315,0.2546619474887848,0.25129345059394836,0.23916715383529663
site,0.21561308205127716,0.1286490112543106,0.12002509832382202,0.14111411571502686,0.2014765441417694
of,0.33290785551071167,0.26150479912757874,0.3220713138580322,0.21870145201683044,0.1826142966747284
starch,0.23971526324748993,0.2514069080352783,0.4221072196960449,0.3659400939941406,0.1948019117116928
accumulation,0.24889037013053894,0.24445994198322296,0.32640671730041504,0.24892756342887878,0.1650637835264206
in,0.30808621644973755,0.23402775824069977,0.24915309250354767,0.3481425344944,0.20430970191955566
plants,0.25144460797309875,0.2695476710796356,0.42793962359428406,0.29044583439826965,0.1473488062620163
that,0.6297725439071655,0.44533252716064453,0.3161837160587311,0.22256715595722198,0.32716336846351624
contain,0.1832355558872223,0.31365397572517395,0.33105218410491943,0.34616079926490784,0.18853069841861725
them,0.4994642734527588,0.4653012752532959,0.43005722761154175,0.23386360704898834,0.35435691475868225
.,0.3567904531955719,0.3613996207714081,0.257334440946579,0.2638673484325409,0.4130953550338745
