,what,is,the,clarity,of,liquid,oxygen,?
both,0.3361809551715851,0.31409940123558044,0.4931981563568115,0.29547885060310364,0.3565710783004761,0.17828090488910675,0.21540284156799316,0.19455738365650177
liquid,0.24017377197742462,0.2801579535007477,0.25047987699508667,0.24530653655529022,0.2296105921268463,1.0,0.4322830140590668,0.18412289023399353
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2597419321537018,0.5116966962814331,0.23888376355171204,0.22261030972003937,0.20544172823429108
solid,0.2455693930387497,0.22751952707767487,0.21678750216960907,0.1891685426235199,0.23000986874103546,0.5483253002166748,0.2977547347545624,0.2297065705060959
o,0.1489914506673813,0.18684464693069458,0.19071193039417267,0.15882183611392975,0.16054381430149078,0.11546910554170609,0.2476140707731247,0.23868927359580994
2,-0.049862053245306015,-0.07940074801445007,-0.019434669986367226,-0.0458088144659996,-0.013777675107121468,0.11703944951295853,0.04063820466399193,0.001977203879505396
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.26148083806037903,0.39081433415412903,0.25044044852256775,0.24342744052410126,0.24591213464736938
clear,0.4239453375339508,0.22241374850273132,0.3209454417228699,0.2697612941265106,0.25915294885635376,0.37302446365356445,0.18844756484031677,0.2738020122051239
substances,0.2663726210594177,0.25203269720077515,0.27348068356513977,0.24199596047401428,0.2613070607185364,0.5479626059532166,0.4463045597076416,0.19339443743228912
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.22159415483474731,0.41827285289764404,0.21199610829353333,0.200663760304451,0.2433311939239502
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.25663551688194275,0.5052502155303955,0.2669180929660797,0.21662019193172455,0.23916715383529663
light,0.22953972220420837,0.2457275241613388,0.2649136185646057,0.23989948630332947,0.18257063627243042,0.3261308968067169,0.3018748164176941,0.17429810762405396
sky-blue,0.20255239307880402,0.24849218130111694,0.28630179166793823,0.2628043591976166,0.21767202019691467,0.22878824174404144,0.17967721819877625,0.259736567735672
color,0.2746529281139374,0.1656665951013565,0.21895472705364227,0.17752601206302643,0.1876296103000641,0.22957932949066162,0.17682895064353943,0.21299609541893005
caused,0.22264783084392548,0.16288428008556366,0.24990202486515045,0.2050071358680725,0.29665443301200867,0.16051970422267914,0.2115125060081482,0.20679491758346558
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.168589785695076,0.3646814823150635,0.1749679148197174,0.1292176991701126,0.17966607213020325
absorption,0.30722007155418396,0.2923133373260498,0.28147438168525696,0.3268773853778839,0.24516046047210693,0.4947317838668823,0.5097312331199646,0.13895578682422638
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.23189184069633484,0.5696388483047485,0.19967526197433472,0.1672476977109909,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.29360896348953247,0.733189046382904,0.25047987699508667,0.20428593456745148,0.22068053483963013
red,0.16784515976905823,0.22996017336845398,0.2817947566509247,0.17222994565963745,0.22367064654827118,0.21021601557731628,0.2600528597831726,0.1495664119720459
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2305251508951187,0.35032153129577637,0.12606212496757507,0.189798504114151,0.40561532974243164
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.23189184069633484,0.5696388483047485,0.19967526197433472,0.1672476977109909,0.20430970191955566
contrast,0.2773490250110626,0.2659924328327179,0.25799670815467834,0.242979496717453,0.3046875298023224,0.1850118190050125,0.19667121767997742,0.15469981729984283
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.22159415483474731,0.41827285289764404,0.21199610829353333,0.200663760304451,0.2433311939239502
the,0.42745697498321533,0.5823672413825989,1.0,0.29360896348953247,0.733189046382904,0.25047987699508667,0.20428593456745148,0.22068053483963013
blue,0.17981211841106415,0.25002479553222656,0.2734997570514679,0.21226604282855988,0.23528409004211426,0.20927883684635162,0.2056434154510498,0.15668673813343048
color,0.2746529281139374,0.1656665951013565,0.21895472705364227,0.17752601206302643,0.1876296103000641,0.22957932949066162,0.17682895064353943,0.21299609541893005
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2607928216457367,1.0,0.2296105921268463,0.16848602890968323,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.29360896348953247,0.733189046382904,0.25047987699508667,0.20428593456745148,0.22068053483963013
