,what,was,the,pedestrian,mall,renamed,?
renamed,0.16309694945812225,0.36580079793930054,0.2855224609375,0.1714089959859848,0.17380847036838531,1.0000001192092896,0.13648955523967743
the,0.42745697498321533,0.48711544275283813,1.0,0.2353980541229248,0.24676764011383057,0.2855224609375,0.22068053483963013
fulton,0.15712673962116241,0.3036448061466217,0.2509615123271942,0.15281559526920319,0.25514447689056396,0.14158350229263306,0.11802370846271515
mall,0.16073396801948547,0.15435482561588287,0.24676764011383057,0.39174503087997437,1.0,0.17380847036838531,0.11636045575141907
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.17570722103118896,0.20413163304328918,0.2471216917037964,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.2353980541229248,0.24676764011383057,0.2855224609375,0.22068053483963013
area,0.21965408325195312,0.24981513619422913,0.37834644317626953,0.3181498348712921,0.33081069588661194,0.17896442115306854,0.12640461325645447
contains,0.14236655831336975,0.13731783628463745,0.2846323549747467,0.17838048934936523,0.1748359501361847,0.06733191758394241,0.15215006470680237
the,0.42745697498321533,0.48711544275283813,1.0,0.2353980541229248,0.24676764011383057,0.2855224609375,0.22068053483963013
densest,0.24429737031459808,0.1819337159395218,0.33367452025413513,0.26503124833106995,0.2587132751941681,0.12789425253868103,0.16027288138866425
collection,0.215459942817688,0.1743653565645218,0.25281965732574463,0.17168451845645905,0.22754575312137604,0.0725320354104042,0.20069393515586853
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.18429170548915863,0.19005939364433289,0.1758238822221756,0.1826142966747284
historic,0.18988226354122162,0.17231665551662445,0.2829611599445343,0.325680136680603,0.3281833827495575,0.22831352055072784,0.09992891550064087
buildings,0.17147983610630035,0.2350262999534607,0.25566717982292175,0.3583679497241974,0.36006349325180054,0.15139390528202057,0.11192528158426285
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.17758093774318695,0.2939794063568115,0.22127023339271545,0.20430970191955566
fresno,0.159109428524971,0.2749030292034149,0.22571885585784912,0.1653708666563034,0.21993760764598846,0.1478012502193451,0.13224096596240997
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.17671437561511993,0.22373902797698975,0.18444307148456573,0.4130953550338745
