,what,was,the,capital,of,the,ottoman,empire,?
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.13558538258075714,0.41827285289764404,0.4223487675189972,0.13219141960144043,0.16165103018283844,0.2433311939239502
istanbul,0.10602179169654846,0.23884418606758118,0.24611219763755798,0.2266307771205902,0.18771512806415558,0.24611219763755798,0.4993304908275604,0.3206022083759308,0.09701293706893921
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.19028405845165253,0.3886612355709076,0.48381632566452026,0.2189406156539917,0.21108263731002808,0.27043893933296204
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.2783217430114746,0.48690423369407654,0.559237003326416,0.18237708508968353,0.22907911241054535,0.15103481709957123
capital,0.17967931926250458,0.21907466650009155,0.3049491047859192,0.9999999403953552,0.30823585391044617,0.3049491047859192,0.2683047652244568,0.30879515409469604,0.0907452180981636
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.218168243765831,0.5116966962814331,0.5171257257461548,0.24569445848464966,0.27479609847068787,0.20544172823429108
control,0.2821830213069916,0.19347785413265228,0.32841500639915466,0.1472814679145813,0.2817542552947998,0.32841500639915466,0.24831551313400269,0.27420011162757874,0.1620711386203766
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.239910289645195,0.30522286891937256,0.1826142966747284
lands,0.16376858949661255,0.22538143396377563,0.3190511167049408,0.20036599040031433,0.2730972170829773,0.3190511167049408,0.28787505626678467,0.34306687116622925,0.10082722455263138
around,0.27475327253341675,0.24039418995380402,0.40085816383361816,0.2417919784784317,0.3296394646167755,0.40085816383361816,0.18536536395549774,0.22903133928775787,0.14729668200016022
the,0.42745697498321533,0.48711544275283813,1.0,0.3049491047859192,0.733189046382904,1.0,0.2623080313205719,0.32532164454460144,0.22068053483963013
mediterranean,0.18149876594543457,0.1871383637189865,0.33625227212905884,0.23974139988422394,0.272215873003006,0.33625227212905884,0.411944180727005,0.346299946308136,0.15430885553359985
basin,0.1565224826335907,0.1841808706521988,0.24553915858268738,0.19954176247119904,0.2557278275489807,0.24553915858268738,0.1993301659822464,0.254042387008667,0.14685653150081635
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28033894300460815,0.4946078956127167,0.4933079481124878,0.22751282155513763,0.27646857500076294,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.3049491047859192,0.733189046382904,1.0,0.2623080313205719,0.32532164454460144,0.22068053483963013
ottoman,0.2063559740781784,0.21196036040782928,0.2623080313205719,0.2683047652244568,0.239910289645195,0.2623080313205719,0.9999999403953552,0.5869483351707458,0.14455440640449524
empire,0.21723191440105438,0.30602675676345825,0.32532164454460144,0.30879515409469604,0.30522286891937256,0.32532164454460144,0.5869483351707458,1.0000001192092896,0.14909450709819794
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.21907466650009155,0.4069072902202606,0.48711544275283813,0.21196036040782928,0.30602675676345825,0.18412111699581146
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.1734548956155777,0.42558613419532776,0.457212895154953,0.14614491164684296,0.18196320533752441,0.21978627145290375
the,0.42745697498321533,0.48711544275283813,1.0,0.3049491047859192,0.733189046382904,1.0,0.2623080313205719,0.32532164454460144,0.22068053483963013
center,0.1908310204744339,0.19517986476421356,0.29064592719078064,0.2583971917629242,0.24526838958263397,0.29064592719078064,0.18875136971473694,0.193034365773201,0.12538520991802216
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.239910289645195,0.30522286891937256,0.1826142966747284
interactions,0.32324331998825073,0.11691182851791382,0.24155202507972717,0.07273569703102112,0.24081720411777496,0.24155202507972717,0.09542582184076309,0.12986166775226593,0.21664206683635712
between,0.2462156116962433,0.24048170447349548,0.39067012071609497,0.19192959368228912,0.3737983703613281,0.39067012071609497,0.1274397224187851,0.15685386955738068,0.12887074053287506
the,0.42745697498321533,0.48711544275283813,1.0,0.3049491047859192,0.733189046382904,1.0,0.2623080313205719,0.32532164454460144,0.22068053483963013
eastern,0.2263268083333969,0.23346775770187378,0.3928247392177582,0.23946402966976166,0.33281487226486206,0.3928247392177582,0.2374490201473236,0.3146483600139618,0.20060817897319794
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.218168243765831,0.5116966962814331,0.5171257257461548,0.24569445848464966,0.27479609847068787,0.20544172823429108
western,0.2454150915145874,0.2864105999469757,0.37920868396759033,0.24413453042507172,0.32974064350128174,0.37920868396759033,0.25011542439460754,0.3127332925796509,0.17439141869544983
worlds,0.193426251411438,0.16167473793029785,0.2276933789253235,0.058925893157720566,0.18171288073062897,0.2276933789253235,0.13593608140945435,0.22256812453269958,0.17470955848693848
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.16425155103206635,0.4185989499092102,0.4739971458911896,0.12756021320819855,0.18193261325359344,0.264628142118454
six,0.1779850870370865,0.3042767345905304,0.3614266812801361,0.15505261719226837,0.3317931592464447,0.3614266812801361,0.15565215051174164,0.18810436129570007,0.15298804640769958
centuries,0.18983326852321625,0.27720052003860474,0.32166481018066406,0.18505200743675232,0.2695758044719696,0.32166481018066406,0.39221712946891785,0.3826601803302765,0.13179439306259155
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.23657599091529846,0.5352458953857422,0.5934505462646484,0.2524917721748352,0.2811720371246338,0.4130953550338745
