,when,was,luther,called,by,von,staupitz,to,wittenberg,?
in,0.4431333839893341,0.45514053106307983,0.20523880422115326,0.40847352147102356,0.370934396982193,0.20116294920444489,0.3445225656032562,0.45010748505592346,0.2511049211025238,0.20430970191955566
1507,0.06306873261928558,-0.09137868881225586,0.01006355695426464,0.0051031517796218395,-0.030324889346957207,-0.06677025556564331,-0.0008841657545417547,0.044053319841623306,0.016648050397634506,0.11784149706363678
",",0.36674630641937256,0.45456063747406006,0.23255878686904907,0.26549121737480164,0.3680937886238098,0.1878369003534317,0.4054238498210907,0.44245919585227966,0.23876431584358215,0.31091248989105225
he,0.39115971326828003,0.5410010814666748,0.2454872578382492,0.23139433562755585,0.2485479861497879,0.1780691146850586,0.29025623202323914,0.385390967130661,0.21938884258270264,0.2089974731206894
was,0.37326499819755554,1.0000001192092896,0.19185513257980347,0.33927658200263977,0.4752357602119446,0.2042967826128006,0.3587733209133148,0.3636345863342285,0.23245899379253387,0.18412111699581146
ordained,0.20135775208473206,0.3402421176433563,0.3277236521244049,0.2076091766357422,0.1810382753610611,0.16693232953548431,0.26973438262939453,0.1870241016149521,0.30751273036003113,0.2412128895521164
to,0.5423505902290344,0.3636345863342285,0.18029534816741943,0.2987143397331238,0.33534231781959534,0.17537063360214233,0.2077639251947403,1.0,0.20284001529216766,0.29463258385658264
the,0.5091903209686279,0.48711544275283813,0.1759674996137619,0.489897221326828,0.4408751428127289,0.21817399561405182,0.3482396900653839,0.535392165184021,0.31221258640289307,0.22068053483963013
priesthood,0.22015932202339172,0.2585322856903076,0.27669933438301086,0.2171071171760559,0.16257326304912567,0.1796518713235855,0.2304881066083908,0.2506139576435089,0.23262429237365723,0.17457331717014313
",",0.36674630641937256,0.45456063747406006,0.23255878686904907,0.26549121737480164,0.3680937886238098,0.1878369003534317,0.4054238498210907,0.44245919585227966,0.23876431584358215,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.20796556770801544,0.3251761794090271,0.4289871156215668,0.2179601788520813,0.35333406925201416,0.48971283435821533,0.2583361864089966,0.20544172823429108
in,0.4431333839893341,0.45514053106307983,0.20523880422115326,0.40847352147102356,0.370934396982193,0.20116294920444489,0.3445225656032562,0.45010748505592346,0.2511049211025238,0.20430970191955566
1508,-0.0033881282433867455,-0.06700889766216278,-0.043351780623197556,0.08291815966367722,-0.08133715391159058,-0.13185207545757294,-0.15166029334068298,-0.006584841292351484,-0.12640099227428436,0.005418457556515932
",",0.36674630641937256,0.45456063747406006,0.23255878686904907,0.26549121737480164,0.3680937886238098,0.1878369003534317,0.4054238498210907,0.44245919585227966,0.23876431584358215,0.31091248989105225
von,0.15501481294631958,0.2042967826128006,0.30416905879974365,0.15054292976856232,0.2298409640789032,1.0,0.4687179625034332,0.17537063360214233,0.41582897305488586,0.13907472789287567
staupitz,0.23552720248699188,0.3587733209133148,0.34837332367897034,0.2623620629310608,0.311933308839798,0.4687179625034332,1.0000001192092896,0.2077639251947403,0.42413774132728577,0.23673401772975922
",",0.36674630641937256,0.45456063747406006,0.23255878686904907,0.26549121737480164,0.3680937886238098,0.1878369003534317,0.4054238498210907,0.44245919585227966,0.23876431584358215,0.31091248989105225
first,0.4282494783401489,0.5022147297859192,0.20517638325691223,0.39303290843963623,0.3877052962779999,0.20212386548519135,0.2833474278450012,0.3792489171028137,0.1916581392288208,0.18701928853988647
dean,0.1485844850540161,0.21749737858772278,0.2561274468898773,0.139304980635643,0.20466949045658112,0.20303058624267578,0.27945947647094727,0.1386713683605194,0.19323913753032684,0.13287632167339325
of,0.3757161796092987,0.4069072902202606,0.1719115972518921,0.4222904443740845,0.3646814823150635,0.19899946451187134,0.3266022205352783,0.41548454761505127,0.296735942363739,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.1759674996137619,0.489897221326828,0.4408751428127289,0.21817399561405182,0.3482396900653839,0.535392165184021,0.31221258640289307,0.22068053483963013
newly,0.39933258295059204,0.39056387543678284,0.1337652951478958,0.17581821978092194,0.3245653510093689,0.16470502316951752,0.2178773283958435,0.28304818272590637,0.23864968121051788,0.08549588173627853
founded,0.16657374799251556,0.36917948722839355,0.11605305224657059,0.3132394254207611,0.264241099357605,0.09496863931417465,0.1931326687335968,0.15697255730628967,0.18137714266777039,0.09119737893342972
university,0.20851898193359375,0.290752112865448,0.2046351283788681,0.22025726735591888,0.1929011344909668,0.11131808161735535,0.27943167090415955,0.20192374289035797,0.23033910989761353,0.11887256056070328
of,0.3757161796092987,0.4069072902202606,0.1719115972518921,0.4222904443740845,0.3646814823150635,0.19899946451187134,0.3266022205352783,0.41548454761505127,0.296735942363739,0.1826142966747284
wittenberg,0.19582515954971313,0.23245899379253387,0.42518264055252075,0.16249458491802216,0.22712822258472443,0.41582897305488586,0.42413774132728577,0.20284001529216766,1.0000001192092896,0.15716047585010529
",",0.36674630641937256,0.45456063747406006,0.23255878686904907,0.26549121737480164,0.3680937886238098,0.1878369003534317,0.4054238498210907,0.44245919585227966,0.23876431584358215,0.31091248989105225
sent,0.34522485733032227,0.3192673325538635,0.16650304198265076,0.28565168380737305,0.2626555263996124,0.17943435907363892,0.21768541634082794,0.34694167971611023,0.17862269282341003,0.10903520882129669
for,0.43402108550071716,0.3863949179649353,0.12958186864852905,0.29870352149009705,0.3248702883720398,0.10186543315649033,0.24222691357135773,0.4451248347759247,0.14358381927013397,0.264628142118454
luther,0.14516782760620117,0.19185513257980347,1.0,0.09754475206136703,0.15382802486419678,0.30416905879974365,0.34837332367897034,0.18029534816741943,0.42518264055252075,0.1732746809720993
",",0.36674630641937256,0.45456063747406006,0.23255878686904907,0.26549121737480164,0.3680937886238098,0.1878369003534317,0.4054238498210907,0.44245919585227966,0.23876431584358215,0.31091248989105225
to,0.5423505902290344,0.3636345863342285,0.18029534816741943,0.2987143397331238,0.33534231781959534,0.17537063360214233,0.2077639251947403,1.0,0.20284001529216766,0.29463258385658264
teach,0.22142930328845978,0.14618994295597076,0.21748284995555878,0.19236013293266296,0.14033691585063934,0.12787185609340668,0.11780393868684769,0.36650484800338745,0.19397470355033875,0.24188745021820068
theology,0.18232505023479462,0.21140047907829285,0.3810495138168335,0.2019328624010086,0.12718012928962708,0.16715313494205475,0.2601979672908783,0.23310686647891998,0.2539619207382202,0.1560962051153183
.,0.475719153881073,0.40146201848983765,0.24907569587230682,0.300344854593277,0.3936232924461365,0.20990465581417084,0.36448901891708374,0.4645031690597534,0.30842825770378113,0.4130953550338745
