,what,promoted,the,growrth,of,mnemiposis,in,the,black,sea,?
the,0.42745697498321533,0.2648380994796753,1.0,0.3545756936073303,0.733189046382904,0.3310061991214752,0.6662389636039734,1.0,0.28466513752937317,0.30363768339157104,0.22068053483963013
situation,0.4481324255466461,0.26993289589881897,0.29657405614852905,0.16983070969581604,0.22593308985233307,0.3351075351238251,0.2606582045555115,0.29657405614852905,0.15406477451324463,0.1525353193283081,0.2714049518108368
was,0.22111038863658905,0.3110249936580658,0.48711544275283813,0.2541818618774414,0.4069072902202606,0.18782858550548553,0.45514053106307983,0.48711544275283813,0.1419273465871811,0.18031850457191467,0.18412111699581146
aggravated,0.24395930767059326,0.24328495562076569,0.24636386334896088,0.16961489617824554,0.2852970063686371,0.39057260751724243,0.26126304268836975,0.24636386334896088,0.20036815106868744,0.13041511178016663,0.22278966009616852
by,0.2455483376979828,0.22634795308113098,0.4408751428127289,0.13774611055850983,0.3646814823150635,0.23531661927700043,0.370934396982193,0.4408751428127289,0.1966358721256256,0.19145366549491882,0.17966607213020325
other,0.341873437166214,0.1563291698694229,0.44152235984802246,0.20469698309898376,0.38583824038505554,0.3260108232498169,0.39989137649536133,0.44152235984802246,0.1947280913591385,0.2263188511133194,0.24682199954986572
factors,0.2665930688381195,0.1435544639825821,0.2769666314125061,0.22469986975193024,0.30045145750045776,0.5016873478889465,0.19490711390972137,0.2769666314125061,0.12368496507406235,0.15233629941940308,0.2019491046667099
",",0.3087472915649414,0.28000184893608093,0.4933079481124878,0.3110830783843994,0.4946078956127167,0.3409036695957184,0.5201468467712402,0.4933079481124878,0.23807229101657867,0.30078184604644775,0.31091248989105225
such,0.23989605903625488,0.12591029703617096,0.3575236201286316,0.11891061067581177,0.3209529519081116,0.3022988438606262,0.2704046070575714,0.3575236201286316,0.1693110167980194,0.17438937723636627,0.17851735651493073
as,0.31749409437179565,0.30216291546821594,0.48381632566452026,0.21217243373394012,0.3886612355709076,0.2687497138977051,0.3887844979763031,0.48381632566452026,0.19815593957901,0.1931508332490921,0.27043893933296204
over-fishing,0.28502699732780457,0.22069239616394043,0.2979597747325897,0.2882339358329773,0.27952834963798523,0.29578089714050293,0.2585441470146179,0.2979597747325897,0.20648826658725739,0.3768700957298279,0.24325308203697205
and,0.31309178471565247,0.2072608917951584,0.5171257257461548,0.356890469789505,0.5116966962814331,0.2963620722293854,0.4954058527946472,0.5171257257461548,0.24407927691936493,0.30105236172676086,0.20544172823429108
long-term,0.2285422384738922,0.1795063018798828,0.3756130039691925,0.3013535141944885,0.341103732585907,0.4005814790725708,0.3143702447414398,0.3756130039691925,0.23001354932785034,0.2631135582923889,0.2383396476507187
environmental,0.16198831796646118,0.17607510089874268,0.23935803771018982,0.22920829057693481,0.29166820645332336,0.3202311098575592,0.2718023955821991,0.23935803771018982,0.10809268057346344,0.21901080012321472,0.19728143513202667
changes,0.2740466892719269,0.17403148114681244,0.3427845537662506,0.20149321854114532,0.25827232003211975,0.25233739614486694,0.226434126496315,0.3427845537662506,0.14248621463775635,0.15254008769989014,0.21264225244522095
that,0.6297725439071655,0.22392258048057556,0.5473989248275757,0.2371327430009842,0.41498205065727234,0.3657282590866089,0.435920387506485,0.5473989248275757,0.22347763180732727,0.2267688512802124,0.32716336846351624
promoted,0.18223430216312408,1.0,0.2648380994796753,0.18775399029254913,0.1760295182466507,0.14516174793243408,0.21842949092388153,0.2648380994796753,0.12087082117795944,0.12693041563034058,0.2079106867313385
the,0.42745697498321533,0.2648380994796753,1.0,0.3545756936073303,0.733189046382904,0.3310061991214752,0.6662389636039734,1.0,0.28466513752937317,0.30363768339157104,0.22068053483963013
growth,0.1739405393600464,0.1383552849292755,0.2912366986274719,0.6299166679382324,0.2679378092288971,0.34237709641456604,0.2819603681564331,0.2912366986274719,0.12546543776988983,0.13875634968280792,0.07547862827777863
of,0.33290785551071167,0.1760295182466507,0.733189046382904,0.3244953155517578,1.0,0.3357733190059662,0.5696388483047485,0.733189046382904,0.23966942727565765,0.2707739472389221,0.1826142966747284
the,0.42745697498321533,0.2648380994796753,1.0,0.3545756936073303,0.733189046382904,0.3310061991214752,0.6662389636039734,1.0,0.28466513752937317,0.30363768339157104,0.22068053483963013
mnemiopsis,0.3030424118041992,0.12753325700759888,0.23440246284008026,0.28131338953971863,0.264727383852005,0.7201864123344421,0.19060823321342468,0.23440246284008026,0.20939147472381592,0.24282921850681305,0.3170430064201355
population,0.2000674307346344,0.200426384806633,0.32044094800949097,0.33025670051574707,0.3060894012451172,0.24088819324970245,0.3268454372882843,0.32044094800949097,0.17196610569953918,0.21054494380950928,0.14449454843997955
.,0.3567904531955719,0.2785767912864685,0.5934505462646484,0.34336739778518677,0.5352458953857422,0.32649973034858704,0.5591574311256409,0.5934505462646484,0.24577875435352325,0.2680719196796417,0.4130953550338745
