,where,was,tesla,'s,property,sent,?
in,0.5344807505607605,0.45514053106307983,0.17097744345664978,-0.037580832839012146,0.19798405468463898,0.25609636306762695,0.20430970191955566
1952,0.06642761081457138,0.025524726137518883,-0.02867387793958187,0.07119292765855789,-0.0332513265311718,-0.053777068853378296,-0.04863175377249718
",",0.3149496018886566,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.19562678039073944,0.2487054318189621,0.31091248989105225
following,0.2838563919067383,0.16493390500545502,0.0097203329205513,-0.005975736305117607,0.1790473759174347,0.18891046941280365,0.1555173695087433
pressure,0.2295641452074051,0.17634209990501404,0.24299317598342896,0.024452058598399162,0.16038738191127777,0.1708909571170807,0.142023503780365
from,0.3713873624801636,0.31171464920043945,0.10324860364198685,-0.01936490088701248,0.1392105519771576,0.2365139275789261,0.19969791173934937
tesla,0.12761090695858002,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.21715743839740753,0.09155386686325073,0.10250775516033173
's,0.0007701900321990252,0.008974763564765453,0.06449045985937119,0.9999999403953552,-0.06713251024484634,0.06689035892486572,-0.023395681753754616
nephew,0.21582858264446259,0.2694432735443115,0.06770788133144379,-0.05431913584470749,0.1861221045255661,0.23803450167179108,0.15075847506523132
",",0.3149496018886566,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.19562678039073944,0.2487054318189621,0.31091248989105225
sava,0.22062678635120392,0.13533982634544373,0.21308568120002747,0.054593123495578766,0.141898050904274,0.07855800539255142,0.10729890316724777
kosanović,0.18899618089199066,0.20652851462364197,0.390461802482605,0.02000981569290161,0.07467051595449448,0.09963762015104294,0.2019146829843521
",",0.3149496018886566,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.19562678039073944,0.2487054318189621,0.31091248989105225
tesla,0.12761090695858002,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.21715743839740753,0.09155386686325073,0.10250775516033173
's,0.0007701900321990252,0.008974763564765453,0.06449045985937119,0.9999999403953552,-0.06713251024484634,0.06689035892486572,-0.023395681753754616
entire,0.29618456959724426,0.2562327980995178,0.07866550981998444,0.032588254660367966,0.2506944239139557,0.16278398036956787,0.17068447172641754
estate,0.21449214220046997,0.2563432455062866,0.17303715646266937,0.024537378922104836,0.4442300796508789,0.12148844450712204,0.10328271985054016
was,0.20731619000434875,1.0000001192092896,0.16455206274986267,0.008974763564765453,0.14319737255573273,0.3192673325538635,0.18412111699581146
shipped,0.194931760430336,0.35293206572532654,0.17725609242916107,0.008676218800246716,0.14684225618839264,0.36092692613601685,0.2201380878686905
to,0.47735077142715454,0.3636345863342285,0.17548894882202148,0.03782717138528824,0.26292115449905396,0.34694167971611023,0.29463258385658264
belgrade,0.1799953132867813,0.20001906156539917,0.35501888394355774,0.02935701236128807,0.08295782655477524,0.12780268490314484,0.10098983347415924
in,0.5344807505607605,0.45514053106307983,0.17097744345664978,-0.037580832839012146,0.19798405468463898,0.25609636306762695,0.20430970191955566
80,0.08891365677118301,-0.17281471192836761,-0.17835018038749695,0.03830239921808243,-0.011042188853025436,0.008998392149806023,0.04445207491517067
trunks,0.2332567572593689,0.09608510136604309,0.10018414258956909,0.03499723598361015,0.16112838685512543,0.15271319448947906,0.10389585793018341
marked,0.2636503577232361,0.2595137357711792,0.0779033675789833,-0.04582768306136131,0.12071151286363602,0.13252434134483337,0.1466940939426422
n.t,-0.027162181213498116,-0.04810304939746857,-0.04267964884638786,0.0736619159579277,-0.12976419925689697,0.0698169395327568,0.10420702397823334
.,0.41390106081962585,0.40146201848983765,0.17949827015399933,-0.003708066651597619,0.22922755777835846,0.27534595131874084,0.4130953550338745
