,when,did,the,court,of,justice,rule,that,the,commission,could,only,propose,that,there,must,be,some,criminal,sanctions,?
however,0.5574322938919067,0.5603718757629395,0.49814513325691223,0.262631356716156,0.3800618350505829,0.15645621716976166,0.30715328454971313,0.6336373090744019,0.49814513325691223,0.18386517465114594,0.48913729190826416,0.616029679775238,0.3609384298324585,0.6336373090744019,0.4319024085998535,0.3928605616092682,0.5002188086509705,0.5966196060180664,0.2123553454875946,0.3419177830219269,0.2152075469493866
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.24410836398601532,0.4946078956127167,0.22630788385868073,0.24230371415615082,0.4137537479400635,0.4933079481124878,0.19528092443943024,0.27399855852127075,0.4220978021621704,0.25586456060409546,0.4137537479400635,0.4587128460407257,0.2231246829032898,0.39254459738731384,0.42400437593460083,0.25536465644836426,0.25075680017471313,0.31091248989105225
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.2793687880039215,0.5696388483047485,0.2678598463535309,0.2128441035747528,0.435920387506485,0.6662389636039734,0.21326816082000732,0.29357993602752686,0.42992329597473145,0.18900464475154877,0.435920387506485,0.5361666083335876,0.18276341259479523,0.3481820821762085,0.4010399878025055,0.26195183396339417,0.1741596907377243,0.20430970191955566
october,0.273419588804245,0.2746104896068573,0.2621108889579773,0.15463969111442566,0.20846129953861237,0.1724017858505249,0.1560562700033188,0.21538101136684418,0.2621108889579773,0.1763385683298111,0.2040565013885498,0.25526031851768494,0.21883989870548248,0.21538101136684418,0.1823807954788208,0.11286671459674835,0.21323566138744354,0.12960298359394073,0.17504657804965973,0.14765137434005737,0.29706719517707825
2007,-0.1582726538181305,-0.2447822093963623,-0.23657195270061493,-0.25508373975753784,-0.21244128048419952,-0.20391060411930084,-0.21278123557567596,-0.18422195315361023,-0.23657195270061493,-0.21928374469280243,-0.19542168080806732,-0.1924220770597458,-0.21492931246757507,-0.18422195315361023,-0.233750119805336,-0.08394330739974976,-0.07821867614984512,-0.12801440060138702,-0.17904223501682281,-0.2255297750234604,-0.1664225310087204
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.24410836398601532,0.4946078956127167,0.22630788385868073,0.24230371415615082,0.4137537479400635,0.4933079481124878,0.19528092443943024,0.27399855852127075,0.4220978021621704,0.25586456060409546,0.4137537479400635,0.4587128460407257,0.2231246829032898,0.39254459738731384,0.42400437593460083,0.25536465644836426,0.25075680017471313,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.2812081575393677,0.733189046382904,0.23470892012119293,0.29894936084747314,0.5473989248275757,1.0,0.24418850243091583,0.35393214225769043,0.5497692227363586,0.2302119880914688,0.5473989248275757,0.47025805711746216,0.2713140547275543,0.4248143136501312,0.4566698372364044,0.25219881534576416,0.28428736329078674,0.22068053483963013
court,0.23927445709705353,0.23020441830158234,0.2812081575393677,1.0,0.28835242986679077,0.5483176112174988,0.2673744857311249,0.2474849969148636,0.2812081575393677,0.36450091004371643,0.2330874651670456,0.22516009211540222,0.1314980387687683,0.2474849969148636,0.21166393160820007,0.18451771140098572,0.20228137075901031,0.1834004670381546,0.421926349401474,0.26994699239730835,0.17100423574447632
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.28835242986679077,1.0,0.2658293545246124,0.25175079703330994,0.41498205065727234,0.733189046382904,0.2698368728160858,0.29043012857437134,0.49632513523101807,0.2539187967777252,0.41498205065727234,0.44397735595703125,0.24322323501110077,0.33904364705085754,0.4300730526447296,0.22688241302967072,0.23423455655574799,0.1826142966747284
justice,0.15634077787399292,0.10621706396341324,0.23470892012119293,0.5483176112174988,0.2658293545246124,1.0,0.1936732977628708,0.23929592967033386,0.23470892012119293,0.3890712857246399,0.16897235810756683,0.16321352124214172,0.14265933632850647,0.23929592967033386,0.1235368549823761,0.20069235563278198,0.1579141616821289,0.13603055477142334,0.40695130825042725,0.26935380697250366,0.19269752502441406
